,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2540870570704619714,2540870570704619714_10603189757,1617115453,2,480.0,600.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/165754438_482342056142742_3670412204405320861_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=s0ciq_w5S9sAX_3J1BM&ccb=7-4&oh=a9216fbb44f9c26e0e6e2310870793a3&oe=608CAEA1&_nc_sid=6136e7&ig_cache_key=MjU0MDg3MDU3MDcwNDYxOTcxNA%3D%3D.2-ccb7-4,,
1,2539883733584394968,2539883733584394968_10603189757,1616998052,2,480.0,600.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/166035748_236242991524411_4412419071008386032_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=bDYoD4gwuiYAX8X_vQ9&ccb=7-4&oh=4fd1cebae57bb85072986e275805e4c2&oe=608D0396&_nc_sid=6136e7&ig_cache_key=MjUzOTg4MzczMzU4NDM5NDk2OA%3D%3D.2-ccb7-4,,
2,2539795781906781434,2539795781906781434_10603189757,1616987272,1,1080.0,1307.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165923358_357301402241552_5944793589523264319_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=aCkhLXDPpkIAX_wfoYS&ccb=7-4&oh=5aabbf65a40f72332c55e320e3648d0d&oe=608DDE9A&_nc_sid=6136e7&ig_cache_key=MjUzOTc5NTc4MTkwNjc4MTQzNA%3D%3D.2-ccb7-4,,
3,2539184199224989120,2539184199224989120_10603189757,1616914406,2,480.0,600.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165707360_501610544176973_914306851342181484_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=nXCu9V7ECZcAX8k_b8h&ccb=7-4&oh=38cd6db3fb84e429cab22e3665698f3a&oe=608D39BE&_nc_sid=6136e7&ig_cache_key=MjUzOTE4NDE5OTIyNDk4OTEyMA%3D%3D.2-ccb7-4,,
4,2539065491588404327,2539065491588404327_10603189757,1616900215,1,1080.0,1080.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/164920794_817674848827110_1863661729157490002_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=9s-1g4j3LRsAX8vzypH&ccb=7-4&oh=8be99e7784caf66a15bf1ac091884fbc&oe=608E0400&_nc_sid=6136e7&ig_cache_key=MjUzOTA2NTQ5MTU4ODQwNDMyNw%3D%3D.2-ccb7-4,,
5,2539065195889975874,2539065195889975874_10603189757,1616900198,2,480.0,480.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/s480x480/164797387_714345665911948_9200583811198450520_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=5cXVnqa3KVMAX8RfTfb&ccb=7-4&oh=28cb3b5d21e64819439ac174cf9ad59c&oe=608EE543&_nc_sid=6136e7&ig_cache_key=MjUzOTA2NTE5NTg4OTk3NTg3NA%3D%3D.2-ccb7-4,,
6,2538461822912524664,2538461822912524664_10603189757,1616828252,1,1080.0,1205.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/164797387_112761420903175_8325758409493816907_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=5RnDLEjlw4oAX_mQ9xd&ccb=7-4&oh=8d60b984e787b929c0e4a064eebc7360&oe=608BA6DF&_nc_sid=6136e7&ig_cache_key=MjUzODQ2MTgyMjkxMjUyNDY2NA%3D%3D.2-ccb7-4,,
7,2538392922510204339,2538392922510204339_10603189757,1616820083,2,480.0,853.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/164809838_782666095715658_7992320710168154657_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=EaGTAmJoQSkAX8Fsq85&ccb=7-4&oh=73690786f952a36b1bf71b62abe1e4e3&oe=608BA2DB&_nc_sid=6136e7&ig_cache_key=MjUzODM5MjkyMjUxMDIwNDMzOQ%3D%3D.2-ccb7-4,,
8,2538391617779727507,2538391617779727507_10603189757,1616819883,1,1080.0,1305.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/164531979_4266627420027938_5534716115490721191_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=onOxYKXiBmQAX99zufe&ccb=7-4&oh=d575c7b0932daafe41ffc18590774243&oe=608CF486&_nc_sid=6136e7&ig_cache_key=MjUzODM5MTYxNzc3OTcyNzUwNw%3D%3D.2-ccb7-4,,
9,2537920655724583631,2537920655724583631_10603189757,1616763803,2,480.0,480.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/s480x480/164106139_453759512507137_634729017251536153_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=VVMhooHQPlAAX9OgRn8&ccb=7-4&oh=7febc7f8c84f5e6317c2357fba9a7b79&oe=608CB20E&_nc_sid=6136e7&ig_cache_key=MjUzNzkyMDY1NTcyNDU4MzYzMQ%3D%3D.2-ccb7-4,,
10,2537780619968387304,2537780619968387304_10603189757,1616747046,1,1080.0,1350.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/164341894_1543345389193480_6470972301464554946_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=5c1SqmpuDMYAX-yFf_9&ccb=7-4&oh=305c6bb00daee6ea1c4bdba0ad570b6a&oe=608C42DC&_nc_sid=6136e7&ig_cache_key=MjUzNzc4MDYxOTk2ODM4NzMwNA%3D%3D.2-ccb7-4,,
11,2537684789869445346,2537684789869445346_10603189757,1616735622,1,810.0,810.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/164406440_446087490020233_2612950954218741846_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=eeCm8qEcUOIAX9RiSek&ccb=7-4&oh=e6fc437bac22b46879dc1c66e503e241&oe=608D6F3A&_nc_sid=6136e7&ig_cache_key=MjUzNzY4NDc4OTg2OTQ0NTM0Ng%3D%3D.2-ccb7-4,,
12,2537684581437737948,2537684581437737948_10603189757,1616735617,2,480.0,360.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/s480x480/164696084_1395785594104463_1122347925460778108_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=Solsmv9j3hIAX-tFF6A&ccb=7-4&oh=d43ff220922e6ec5e42aaf104f245805&oe=608E767E&_nc_sid=6136e7&ig_cache_key=MjUzNzY4NDU4MTQzNzczNzk0OA%3D%3D.2-ccb7-4,,
13,2537082637434451310,2537082637434451310_10603189757,1616663840,1,1080.0,1204.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/164082856_462649984953015_7731372437590511157_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=nm-uDEN1uIgAX-FmtPr&ccb=7-4&oh=cb6ddbbb8368037138beeb9cfe7c8f1c&oe=608D7475&_nc_sid=6136e7&ig_cache_key=MjUzNzA4MjYzNzQzNDQ1MTMxMA%3D%3D.2-ccb7-4,,
14,2537015596492852425,2537015596492852425_10603189757,1616655848,8,,,,,
