,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2187467319952219426,2187467319952219426_1595662200,1574986446,1,720,886,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/75207280_162829881603489_1687449142863058922_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=R_Gesiq7BHEAX_uxCSj&ccb=7-4&oh=57719593d0b1d84408096b940b2dfe8e&oe=60886C31&_nc_sid=6136e7&ig_cache_key=MjE4NzQ2NzMxOTk1MjIxOTQyNg%3D%3D.2-ccb7-4,,
1,2187146792205220919,2187146792205220919_1595662200,1574948236,8,,,,,
2,2186883391943954836,2186883391943954836_1595662200,1574916837,1,720,900,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/75349294_487393882124418_3253311242463487546_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=NNHTa-ci8k8AX_OljXN&ccb=7-4&oh=777411f8e3f90896b0d21cd549043001&oe=608A3A16&_nc_sid=6136e7&ig_cache_key=MjE4Njg4MzM5MTk0Mzk1NDgzNg%3D%3D.2-ccb7-4,,
3,2172649779409320806,2172649779409320806_1595662200,1573220058,1,1080,1351,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/74670535_560578998062339_1276364995721796919_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=yIvpuIZsSm8AX_hvnCq&ccb=7-4&oh=8c5300b137f56cdcfce59560f94b26e6&oe=60887988&_nc_sid=6136e7&ig_cache_key=MjE3MjY0OTc3OTQwOTMyMDgwNg%3D%3D.2-ccb7-4,,
4,2172075207484173878,2172075207484173878_1595662200,1573151564,1,1080,1079,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/71317518_177136530093023_6371958776917360738_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=EYzHIydC_igAX-JtPHc&ccb=7-4&oh=4733ba518ad074ca5ca537e8d8077323&oe=6088CDE0&_nc_sid=6136e7&ig_cache_key=MjE3MjA3NTIwNzQ4NDE3Mzg3OA%3D%3D.2-ccb7-4,,
5,2171649655003150791,2171649655003150791_1595662200,1573100834,1,1080,1351,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/74607471_466438083990623_1362627246175404896_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=rB8aJGpg1PQAX-HMrrh&ccb=7-4&oh=67fa1db1f1375c18d5e2050d038783c7&oe=60882258&_nc_sid=6136e7&ig_cache_key=MjE3MTY0OTY1NTAwMzE1MDc5MQ%3D%3D.2-ccb7-4,55.75,37.616666944444
6,2171191350015093959,2171191350015093959_1595662200,1573046200,1,1080,1163,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/72924686_2515756275371927_8680171745873988881_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=bx-vqxOt0s4AX-MOujA&ccb=7-4&oh=2109d778ef4745e2318d23397ddbbaee&oe=60880C7C&_nc_sid=6136e7&ig_cache_key=MjE3MTE5MTM1MDAxNTA5Mzk1OQ%3D%3D.2-ccb7-4,,
7,2171190300751323591,2171190300751323591_1595662200,1573046074,8,,,,,
8,2170454951741233067,2170454951741233067_1595662200,1572958414,1,720,812,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/72541270_100796038023979_1553624944503487022_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=4bG4SOB9ke4AX8bzn8K&ccb=7-4&oh=4e66699f3a7819484d9f4bf26428593d&oe=6088BB69&_nc_sid=6136e7&ig_cache_key=MjE3MDQ1NDk1MTc0MTIzMzA2Nw%3D%3D.2-ccb7-4,,
9,2169735623957927396,2169735623957927396_1595662200,1572872663,1,1073,1341,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/75367537_155378635676215_616539838116056584_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=G8ZkWUdxf2QAX9rsEZa&ccb=7-4&oh=51ec9a8969a7a41cc71c1e1ec180b3b4&oe=608ABC5A&_nc_sid=6136e7&ig_cache_key=MjE2OTczNTYyMzk1NzkyNzM5Ng%3D%3D.2-ccb7-4,,
10,2169167492722185211,2169167492722185211_1595662200,1572804937,1,865,1024,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/73385920_2524611364448517_6238344708541104696_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=hyz3iECzOOMAX8apbN6&ccb=7-4&oh=6475a8de935733faeace77ab4c2e3aff&oe=608B351A&_nc_sid=6136e7&ig_cache_key=MjE2OTE2NzQ5MjcyMjE4NTIxMQ%3D%3D.2-ccb7-4,,
