,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2492315937941662480,2492315937941662480_1743356083,1611327234,1,1080,1350,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/140478948_1321035328255843_7622416972922699893_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=yb4QngVWKyMAX9Y90Hy&ccb=7-4&oh=8a19a291b777f35f6c76e6dd6caeca07&oe=607F612C&ig_cache_key=MjQ5MjMxNTkzNzk0MTY2MjQ4MA%3D%3D.2-ccb7-4,,
1,2017307508403387868,2017307508403387868_1743356083,1554701816,1,1080,1350,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/56616343_280203509538894_4185395557586263053_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=lQSbxt2xleAAX8ISv3U&ccb=7-4&oh=ca3b7bda3e5e73a1d8ba0964d529ee81&oe=607F053F&ig_cache_key=MjAxNzMwNzUwODQwMzM4Nzg2OA%3D%3D.2-ccb7-4,,
2,1747139932182270763,1747139932182270763_1743356083,1522495331,1,720,900,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/29718167_2105171846432130_8535448632587976704_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=Woi2AaynBGcAX-8wYgP&ccb=7-4&oh=8d2b09f6d9634779b9680ff7b5e8b43f&oe=6080FF77&ig_cache_key=MTc0NzEzOTkzMjE4MjI3MDc2Mw%3D%3D.2-ccb7-4,,
3,1747139333520800161,1747139333520800161_1743356083,1522495260,1,720,895,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/29717373_1981414358841849_255362249860841472_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=idfIzj4eWagAX_iTyDX&ccb=7-4&oh=4068c600e6bc7a785630d277e0705085&oe=60812AED&ig_cache_key=MTc0NzEzOTMzMzUyMDgwMDE2MQ%3D%3D.2-ccb7-4,31.0,74.0
4,1744118787124088961,1744118787124088961_1743356083,1522135183,1,720,880,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/29094101_356752064830884_3852355462854868992_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=70PVeWXp4iAAX_hr7As&ccb=7-4&oh=6ce472037c3458bd88b4a697845f5b80&oe=607F2553&ig_cache_key=MTc0NDExODc4NzEyNDA4ODk2MQ%3D%3D.2-ccb7-4,31.0,74.0
5,1742661644323867719,1742661644323867719_1743356083,1521961478,1,720,881,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/29096229_1605760066198030_2304290893932265472_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=UepbLs155oIAX8hNIXP&ccb=7-4&oh=a15ffe51c8525af2084790f5b8fd5a0e&oe=608067FF&ig_cache_key=MTc0MjY2MTY0NDMyMzg2NzcxOQ%3D%3D.2-ccb7-4,,
6,1742659888688734949,1742659888688734949_1743356083,1521961268,1,720,900,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/29089536_156814501668439_6554175868141305856_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=92bEhuTMhAwAX8E7D7h&ccb=7-4&oh=37b8cd02e3e9b9c98b9756376dd62293&oe=6080C91D&ig_cache_key=MTc0MjY1OTg4ODY4ODczNDk0OQ%3D%3D.2-ccb7-4,31.0,74.0
7,1742505678735344463,1742505678735344463_1743356083,1521942885,1,720,720,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/29401518_2055229514731845_3614118591927943168_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=IIjMTSZ3VAAAX9XJLca&ccb=7-4&oh=d383e1cd2416d8f343bed6e5a70dc16a&oe=60802312&ig_cache_key=MTc0MjUwNTY3ODczNTM0NDQ2Mw%3D%3D.2-ccb7-4,,
8,1742505294319040428,1742505294319040428_1743356083,1521942839,1,720,821,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/29089693_183555772426169_2709351321202327552_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=btxHtIkTAUYAX_4OLYc&ccb=7-4&oh=271d06ddebee1127b471834070abac85&oe=60812846&ig_cache_key=MTc0MjUwNTI5NDMxOTA0MDQyOA%3D%3D.2-ccb7-4,,
9,1742160575713959414,1742160575713959414_1743356083,1521901746,1,720,861,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/29095803_199020784025845_842452449221410816_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=UecACYgX-l0AX9tVJOH&ccb=7-4&oh=01dfb56e7e820928380e91fe90d26a1f&oe=6080FEF7&ig_cache_key=MTc0MjE2MDU3NTcxMzk1OTQxNA%3D%3D.2-ccb7-4,,
10,1742139829679648431,1742139829679648431_1743356083,1521899273,1,720,900,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/29094425_252440765298849_2535162445702365184_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=zRL0WWcPvYgAX8GNxsQ&ccb=7-4&oh=6362cbff78600bf34715f195c56d3405&oe=60807E71&ig_cache_key=MTc0MjEzOTgyOTY3OTY0ODQzMQ%3D%3D.2-ccb7-4,,
11,1742139410316274694,1742139410316274694_1743356083,1521899223,1,720,842,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/29087463_624884221176731_1792860529220386816_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=zL1oFsrqBz4AX8OnGG0&ccb=7-4&oh=4cb2cbe04e58d697820266df44662ead&oe=6080B31D&ig_cache_key=MTc0MjEzOTQxMDMxNjI3NDY5NA%3D%3D.2-ccb7-4,,
12,1742056546866542090,1742056546866542090_1743356083,1521889345,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/29095467_418680578593110_8836241508907614208_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=W9f5gCGaKSsAX91bgNK&ccb=7-4&oh=8a25de480babdf4b9a4a58ab5ac0ccb9&oe=607F8CE2&ig_cache_key=MTc0MjA1NjU0Njg2NjU0MjA5MA%3D%3D.2-ccb7-4,,
13,1741992525790399243,1741992525790399243_1743356083,1521881713,1,720,900,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/29087899_2124022087828536_1174492312131076096_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=-atYYQRnHUUAX-86QL1&ccb=7-4&oh=9aaf778fe4e437b98be512da9860458c&oe=607E279E&ig_cache_key=MTc0MTk5MjUyNTc5MDM5OTI0Mw%3D%3D.2-ccb7-4,,
14,1741947264619761586,1741947264619761586_1743356083,1521876317,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/29095848_148459435982325_4339356440134156288_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=pLKju62l2roAX9bYQLT&ccb=7-4&oh=5384209c7a0987e7f89b8b705c21aca8&oe=608190D1&ig_cache_key=MTc0MTk0NzI2NDYxOTc2MTU4Ng%3D%3D.2-ccb7-4,,
15,1741891916432939632,1741891916432939632_1743356083,1521869719,1,720,720,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/29415260_989360047930741_6051436528666673152_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=B54u4mBgNm0AX8nD4X-&ccb=7-4&oh=3d3dbd5947ef3846364028dad8934868&oe=608042E7&ig_cache_key=MTc0MTg5MTkxNjQzMjkzOTYzMg%3D%3D.2-ccb7-4,,
