,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2541018966572407978,2541018966572407978_1911748237,1617133087,1,712,876,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166025836_1093401497812797_1088613939293495287_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=Gi67bwyeQiQAX_NOcN3&ccb=7-4&oh=1fec623c94a442a04116c4841abd90bb&oe=6088AA2D&_nc_sid=6136e7&ig_cache_key=MjU0MTAxODk2NjU3MjQwNzk3OA%3D%3D.2-ccb7-4,,
1,2540286144178269859,2540286144178269859_1911748237,1617045728,1,916,1146,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166336313_103585878442076_836672297345098109_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=tmi9zzWDrFsAX8Wx3JN&ccb=7-4&oh=b648ba71887918f122394f832367fe76&oe=60892FFF&_nc_sid=6136e7&ig_cache_key=MjU0MDI4NjE0NDE3ODI2OTg1OQ%3D%3D.2-ccb7-4,,
2,2539579479384600418,2539579479384600418_1911748237,1616961487,1,824,960,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166669798_1086931691815835_4749730313134264006_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=f1nRZDSOSnwAX-eItGi&ccb=7-4&oh=ac8f0f84ff26bc4f78cf5804a9a481df&oe=608B3D60&_nc_sid=6136e7&ig_cache_key=MjUzOTU3OTQ3OTM4NDYwMDQxOA%3D%3D.2-ccb7-4,,
3,2538852692795043864,2538852692795043864_1911748237,1616874847,1,742,928,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165301042_446022466604673_1123114847670854424_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=qdeScMFq7CUAX8sh2Bs&ccb=7-4&oh=2a7cab351efcd2085e9f0064a5f049e5&oe=608B1433&_nc_sid=6136e7&ig_cache_key=MjUzODg1MjY5Mjc5NTA0Mzg2NA%3D%3D.2-ccb7-4,,
4,2538126913500878885,2538126913500878885_1911748237,1616788327,1,1080,1048,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/164899691_1113681219112643_2485397613104479889_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=vEN0AXXNF6wAX_R-U1c&ccb=7-4&oh=25a00ad1ea19289686f6ab3575483c50&oe=608A4051&_nc_sid=6136e7&ig_cache_key=MjUzODEyNjkxMzUwMDg3ODg4NQ%3D%3D.2-ccb7-4,,
5,2537400632383791363,2537400632383791363_1911748237,1616701748,1,992,1120,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/164455000_288238679354149_4902782545507033307_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=eizwZmgXCzAAX_UPp0H&ccb=7-4&oh=38132d2c85e3e79c4414ec29fbf81c1e&oe=60889658&_nc_sid=6136e7&ig_cache_key=MjUzNzQwMDYzMjM4Mzc5MTM2Mw%3D%3D.2-ccb7-4,,
6,2536672829547808326,2536672829547808326_1911748237,1616614987,1,1080,1218,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/164106134_479786449818746_451868518000000110_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=535vMPKyjO4AX9rG_gi&ccb=7-4&oh=bb6d660be1276c05fcf44ace45f3ba13&oe=608A38ED&_nc_sid=6136e7&ig_cache_key=MjUzNjY3MjgyOTU0NzgwODMyNg%3D%3D.2-ccb7-4,,
7,2535944028492903804,2535944028492903804_1911748237,1616528107,1,1080,1351,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/163592757_755414581776935_5564030783480376900_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=UG-8TEaj3M8AX8Quzoe&ccb=7-4&oh=d94f3dbcae5ab62b555fe214eeb9068e&oe=608B3B94&_nc_sid=6136e7&ig_cache_key=MjUzNTk0NDAyODQ5MjkwMzgwNA%3D%3D.2-ccb7-4,,
8,2535275116075916355,2535275116075916355_1911748237,1616448367,1,750,750,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/163300761_718058798868171_424238064219523100_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=3VArvsm-9n8AX_llrly&ccb=7-4&oh=d5a9e75ae65522533ad91a7ef1b57e70&oe=6087FA58&_nc_sid=6136e7&ig_cache_key=MjUzNTI3NTExNjA3NTkxNjM1NQ%3D%3D.2-ccb7-4,,
9,2530872140309673828,2530872140309673828_1911748237,1615923491,1,1080,1350,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/161655089_314167083502670_5948834804140778768_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=CYTlJz5krGIAX_5VAsO&ccb=7-4&oh=f2e8c3756f580a4b7c9269d7640ea503&oe=608A40D5&_nc_sid=6136e7&ig_cache_key=MjUzMDg3MjE0MDMwOTY3MzgyOA%3D%3D.2-ccb7-4,,
