,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2540798700054150112,2540798700054150112_1925050123,1617106829,1,912,1077,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166413752_115512337280447_3290730409992627413_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=tRtgjzi13DkAX-ITLza&ccb=7-4&oh=b78ba3354f16193651da993f1c904076&oe=608D811C&_nc_sid=6136e7&ig_cache_key=MjU0MDc5ODcwMDA1NDE1MDExMg%3D%3D.2-ccb7-4,,
1,2540223252165440815,2540223252165440815_1925050123,1617038230,8,,,,,
2,2540050237914081962,2540050237914081962_1925050123,1617017606,1,1080,1336,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165522391_266001648453469_4060786817078646026_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=LkTTZGSjQP8AX_2c-4o&ccb=7-4&oh=37f55f0af459ea0e39fe08fe1c0be566&oe=608E1712&_nc_sid=6136e7&ig_cache_key=MjU0MDA1MDIzNzkxNDA4MTk2Mg%3D%3D.2-ccb7-4,,
3,2539578937915215577,2539578937915215577_1925050123,1616961422,8,,,,,
4,2539347157153093436,2539347157153093436_1925050123,1616933792,1,1080,1350,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/164911192_1099028417244538_8044923246742945994_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=xgF20KYQhg0AX9HdQj9&ccb=7-4&oh=307668da4c6253b7d677e22e607b97d9&oe=608D734D&_nc_sid=6136e7&ig_cache_key=MjUzOTM0NzE1NzE1MzA5MzQzNg%3D%3D.2-ccb7-4,,
5,2538615911305402423,2538615911305402423_1925050123,1616846620,8,,,,,
6,2537886933636402816,2537886933636402816_1925050123,1616759720,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165276293_453978055927391_8896361773595842468_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=5v-66Kp3ohUAX-3s426&ccb=7-4&oh=822fe85636ab9b814922da457b0a41ee&oe=608D8310&_nc_sid=6136e7&ig_cache_key=MjUzNzg4NjkzMzYzNjQwMjgxNg%3D%3D.2-ccb7-4,,
7,2537359370983897981,2537359370983897981_1925050123,1616696829,8,,,,,
8,2537148219083843321,2537148219083843321_1925050123,1616671658,1,1080,1085,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165219974_132076925583923_5641038099884582312_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=1RKwWODwjmkAX-zkTFz&ccb=7-4&oh=11fa7a781d0a881fd1d31afaf792ea4e&oe=608CDCA4&_nc_sid=6136e7&ig_cache_key=MjUzNzE0ODIxOTA4Mzg0MzMyMQ%3D%3D.2-ccb7-4,,
9,2536428044000853674,2536428044000853674_1925050123,1616585806,1,1080,1350,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/163540898_168050218475053_3214416416637910033_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=JxxPakJ0dW0AX_XVkYQ&ccb=7-4&oh=0b9b390339be035f51284beeef54316a&oe=608EF50E&_nc_sid=6136e7&ig_cache_key=MjUzNjQyODA0NDAwMDg1MzY3NA%3D%3D.2-ccb7-4,,
