,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2540924359265388259,2540924359265388259_1987625695,1617121809,1,1080.0,1253.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165978320_739027450114382_646147168453108128_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=XUgZNP_uzq8AX_7J61e&ccb=7-4&oh=61cb1c6fddf7b4c6eda53092a87be709&oe=608B38F6&_nc_sid=6136e7&ig_cache_key=MjU0MDkyNDM1OTI2NTM4ODI1OQ%3D%3D.2-ccb7-4,,
1,2540763235622453631,2540763235622453631_1987625695,1617102623,2,480.0,480.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/s480x480/166688830_915396395942305_2375838773811034117_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=V5qZuuBnwpwAX9-0o2_&ccb=7-4&oh=bf2a6e3fc2da6c05f4f596662e829886&oe=608BEAE1&_nc_sid=6136e7&ig_cache_key=MjU0MDc2MzIzNTYyMjQ1MzYzMQ%3D%3D.2-ccb7-4,,
2,2540678918577628347,2540678918577628347_1987625695,1617092599,2,480.0,600.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/166245296_110818001004782_3962033787812620784_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=S5GiV-3UFTcAX9r8ANi&ccb=7-4&oh=a20ddca72e69d559e2d75d7622e64312&oe=608D2A3B&_nc_sid=6136e7&ig_cache_key=MjU0MDY3ODkxODU3NzYyODM0Nw%3D%3D.2-ccb7-4,,
3,2540667773154238487,2540667773154238487_1987625695,1617091221,1,720.0,836.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165971658_776303669675391_7597721541600422476_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=Swyidz0qtxMAX_0FfWv&ccb=7-4&oh=035642ed2228dc89655c3b1cafbb51ba&oe=608CEC40&_nc_sid=6136e7&ig_cache_key=MjU0MDY2Nzc3MzE1NDIzODQ4Nw%3D%3D.2-ccb7-4,31.6331,74.8656
4,2540211935037965633,2540211935037965633_1987625695,1617036907,2,480.0,600.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/165747546_4134524936559665_4170341786491430773_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=W6kQmRPz690AX-stLaU&ccb=7-4&oh=191b5119502fbc4c0ee50fab54dfa9f2&oe=608BE07D&_nc_sid=6136e7&ig_cache_key=MjU0MDIxMTkzNTAzNzk2NTYzMw%3D%3D.2-ccb7-4,,
5,2540170100731279407,2540170100731279407_1987625695,1617031894,1,633.0,633.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165790676_312946933586772_7101193812343996055_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=dacQo86BMzEAX8s_1El&ccb=7-4&oh=301951f3a0c540db3c6cfc77cac27f51&oe=608D2F00&_nc_sid=6136e7&ig_cache_key=MjU0MDE3MDEwMDczMTI3OTQwNw%3D%3D.2-ccb7-4,30.8736,75.5035
6,2539941679841212628,2539941679841212628_1987625695,1617004690,2,480.0,853.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/166948735_2277549999041906_8152049338012211057_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=wYbwwYoBmEMAX8T_ZoT&ccb=7-4&oh=86d81abc2362f49544630484a75e8721&oe=608BDAEB&_nc_sid=6136e7&ig_cache_key=MjUzOTk0MTY3OTg0MTIxMjYyOA%3D%3D.2-ccb7-4,,
7,2539885067659305454,2539885067659305454_1987625695,1616998478,2,480.0,1013.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/166062761_743854262979086_1667600139203966544_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=EWRbr8jYtfoAX-Jjtof&ccb=7-4&oh=9398d8c8cf58f2fb010c7e0837dfbb62&oe=608BF6C6&_nc_sid=6136e7&ig_cache_key=MjUzOTg4NTA2NzY1OTMwNTQ1NA%3D%3D.2-ccb7-4,,
8,2539884989158660849,2539884989158660849_1987625695,1616997906,1,1080.0,1350.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165557322_261137485661052_7561175919946758276_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=yoP-Z6IyiXcAX-sbnuu&ccb=7-4&oh=590124a992b2a16f6ae54711e1972f54&oe=608D96AE&_nc_sid=6136e7&ig_cache_key=MjUzOTg4NDk4OTE1ODY2MDg0OQ%3D%3D.2-ccb7-4,,
9,2539392239036347182,2539392239036347182_1987625695,1616939189,2,480.0,853.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/165840939_756911211628476_5901115612209851418_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=RAnu_Pj-nM8AX-tibXx&ccb=7-4&oh=0e3448d9e5c8fb502a6283fa7231a1fc&oe=608DF866&_nc_sid=6136e7&ig_cache_key=MjUzOTM5MjIzOTAzNjM0NzE4Mg%3D%3D.2-ccb7-4,,
