,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2534098468671348667,2534098468671348667_22006899470,1616308216,2,480,854,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/162659114_300742761479885_8363684936662726491_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=w1VqWOKFqMAAX93jBxO&ccb=7-4&oh=b1d022ebbb4dde41a2ce838f181843b8&oe=6081E470&ig_cache_key=MjUzNDA5ODQ2ODY3MTM0ODY2Nw%3D%3D.2-ccb7-4,,
1,2527795784385324440,2527795784385324440_22006899470,1615556761,1,480,480,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/160059487_868066973971099_8585771625183674892_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=OnW3hAh6Xd4AX9lnHoC&ccb=7-4&oh=0ed13ffb8d41560a0cc3f7bef1ef14bf&oe=608094E6&ig_cache_key=MjUyNzc5NTc4NDM4NTMyNDQ0MA%3D%3D.2-ccb7-4,,
2,2527544980265049204,2527544980265049204_22006899470,1615526863,1,634,634,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/158915019_172785264658633_2254995541582344097_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=HdolNHrxw8cAX_LkOoX&ccb=7-4&oh=82d6700d10076989b6defc32c96132e9&oe=6080C540&ig_cache_key=MjUyNzU0NDk4MDI2NTA0OTIwNA%3D%3D.2-ccb7-4,,
3,2522658868518200267,2522658868518200267_22006899470,1614944393,1,480,600,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/156974068_3800136726766344_1900717812395186522_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=2K678aRPIXYAX9-Z1jK&ccb=7-4&oh=67ea6ca3b72f65ff858b58888f663db1&oe=607F808B&ig_cache_key=MjUyMjY1ODg2ODUxODIwMDI2Nw%3D%3D.2-ccb7-4,,
4,2477500534463146313,2477500534463146313_22006899470,1609561100,1,480,600,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/135380357_212928720537441_2055191961012084056_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=BDBVhLAUacYAX82UTuT&ccb=7-4&oh=5a5af154d8b3048938841ae33eb49c5e&oe=607F7F5E&ig_cache_key=MjQ3NzUwMDUzNDQ2MzE0NjMxMw%3D%3D.2-ccb7-4,,
5,2471999955326472395,2471999955326472395_22006899470,1608905474,2,480,854,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/132327545_134470118361566_4955661860400618408_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=jmQWDY44XWwAX_wD6rP&ccb=7-4&oh=4b5dd7da2f435633c68edc23b09adea4&oe=607F96F0&ig_cache_key=MjQ3MTk5OTk1NTMyNjQ3MjM5NQ%3D%3D.2-ccb7-4,,
6,2466865195986036319,2466865195986036319_22006899470,1608293269,1,480,600,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/131448507_1290716134654667_8296565215357442615_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=fFVM496132QAX_Ya549&ccb=7-4&oh=c5f48510129309dfca710f1a45e54826&oe=60817803&ig_cache_key=MjQ2Njg2NTE5NTk4NjAzNjMxOQ%3D%3D.2-ccb7-4,,
7,2466862154150920876,2466862154150920876_22006899470,1608292955,2,480,848,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e15/p480x480/131539788_171874667963860_6106651256406758064_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=eXgvtZAm7-IAX8rL-uk&ccb=7-4&oh=1cdac09f00c162aaad3bcdb0224cba67&oe=607FE88E&ig_cache_key=MjQ2Njg2MjE1NDE1MDkyMDg3Ng%3D%3D.2-ccb7-4,,
8,2463748023898256239,2463748023898256239_22006899470,1607921673,1,480,600,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/130926015_430875984594008_2716929421761677472_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=gnGQcfqYeHwAX9wVMSd&ccb=7-4&oh=3a4ece6811d0c43ba5b50dba18c7c357&oe=607FD22E&ig_cache_key=MjQ2Mzc0ODAyMzg5ODI1NjIzOQ%3D%3D.2-ccb7-4,,
9,2463289578577235004,2463289578577235004_22006899470,1607867022,1,480,480,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/131342736_1263475690739453_4725955537755856355_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=HkhoiPZaWbUAX9e7-YJ&ccb=7-4&oh=9d388392e6b35b7e50490b0114267816&oe=60816DEA&ig_cache_key=MjQ2MzI4OTU3ODU3NzIzNTAwNA%3D%3D.2-ccb7-4,,
10,2461053998892307933,2461053998892307933_22006899470,1607600542,2,480,864,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/129780519_1396417330744946_2803353673557788509_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=WTSLgfQPEtMAX8hJJwx&ccb=7-4&oh=80cae2cf1a3baceff366fc82ab31a647&oe=607F8599&ig_cache_key=MjQ2MTA1Mzk5ODg5MjMwNzkzMw%3D%3D.2-ccb7-4,,
