,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2540889519278690415,2540889519278690415_2309144947,1617117656,8,,,,33.4482,-112.0777
1,2540882091292117566,2540882091292117566_2309144947,1617116770,1,1080.0,1350.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/167472405_220685813139881_1891243760643170209_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=GODnZorpC7IAX_ZHqUH&ccb=7-4&oh=3bbcc12dfe2f3579565d2f99dc2e9024&oe=608CBA22&_nc_sid=6136e7&ig_cache_key=MjU0MDg4MjA5MTI5MjExNzU2Ng%3D%3D.2-ccb7-4,30.7229,76.7807
2,2540869449055857372,2540869449055857372_2309144947,1617115263,8,,,,30.335622869231,76.3850632
3,2540846207159034871,2540846207159034871_2309144947,1617112492,8,,,,30.901237563037,75.832730694963
4,2540690853519538866,2540690853519538866_2309144947,1617094015,2,480.0,853.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/166659300_1397338740598810_7154260598977725810_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=2QGudE7ABBwAX8SUFut&ccb=7-4&oh=2c5c3e59f280da1c91e02f7cfc3017a9&oe=608E8977&_nc_sid=6136e7&ig_cache_key=MjU0MDY5MDg1MzUxOTUzODg2Ng%3D%3D.2-ccb7-4,,
5,2540507887040294754,2540507887040294754_2309144947,1617072162,8,,,,35.1258,-117.985
6,2540204534968119080,2540204534968119080_2309144947,1617035999,8,,,,33.4482,-112.0777
7,2540120304645032379,2540120304645032379_2309144947,1617029734,2,480.0,853.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/165597741_1005347349998214_3402844880241221080_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=9kuE2yH9JoUAX9UXDQ8&ccb=7-4&oh=b6c367933f204440755898fb47609364&oe=608B90C7&_nc_sid=6136e7&ig_cache_key=MjU0MDEyMDMwNDY0NTAzMjM3OQ%3D%3D.2-ccb7-4,,
8,2540084071126476112,2540084071126476112_2309144947,1617021649,2,480.0,853.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/166120431_195037635459867_3369123854067237628_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=wYwrn9a-zkUAX9sbNgj&ccb=7-4&oh=a431c80807ccdc2ecf05166bb1a95aa9&oe=608D84E0&_nc_sid=6136e7&ig_cache_key=MjU0MDA4NDA3MTEyNjQ3NjExMg%3D%3D.2-ccb7-4,,
9,2540035982818603942,2540035982818603942_2309144947,1617015927,2,480.0,853.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/165757025_602759854013292_4120868790684324603_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=lCx8lOPPaXwAX86VNsB&ccb=7-4&oh=b3eba39faca067c78751014f261ef2ed&oe=608C047B&_nc_sid=6136e7&ig_cache_key=MjU0MDAzNTk4MjgxODYwMzk0Mg%3D%3D.2-ccb7-4,,
10,2540003653912055347,2540003653912055347_2309144947,1617012077,2,480.0,853.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/165592293_259603695903744_3191839038870406016_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=1HnsnblhDhgAX88Qmiq&ccb=7-4&oh=10a266de0a8007f38a7a1fb2ea9bde98&oe=608DE41D&_nc_sid=6136e7&ig_cache_key=MjU0MDAwMzY1MzkxMjA1NTM0Nw%3D%3D.2-ccb7-4,,
11,2539987783949101527,2539987783949101527_2309144947,1617010256,2,480.0,853.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/166029376_453203389335429_4530169279364908689_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=QvFF1jCQo5oAX9f_DxX&ccb=7-4&oh=315ae3580b8f8006d1ad2e515fbf630d&oe=608BA241&_nc_sid=6136e7&ig_cache_key=MjUzOTk4Nzc4Mzk0OTEwMTUyNw%3D%3D.2-ccb7-4,,
12,2539947936266035236,2539947936266035236_2309144947,1617005453,2,480.0,853.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/166013402_170867341547138_1274886398100841122_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=zprTlOV_rHkAX_18LO8&ccb=7-4&oh=6e576df8e1dd63e2bfe1e555579287bf&oe=608DDA7C&_nc_sid=6136e7&ig_cache_key=MjUzOTk0NzkzNjI2NjAzNTIzNg%3D%3D.2-ccb7-4,,
13,2539882181893784092,2539882181893784092_2309144947,1616997572,8,,,,35.1258,-117.985
14,2539471170065825329,2539471170065825329_2309144947,1616948575,1,1080.0,1350.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165288781_110403634372547_7304680760198051550_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=vUc59XM4NskAX8zVTYu&ccb=7-4&oh=c7c247f79cb534a5fdd31b520ff4305f&oe=608C63D7&_nc_sid=6136e7&ig_cache_key=MjUzOTQ3MTE3MDA2NTgyNTMyOQ%3D%3D.2-ccb7-4,33.4482,-112.0777
15,2539096355811179173,2539096355811179173_2309144947,1616903894,1,1080.0,1350.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165436848_217116470208659_7452325278224284640_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=zN4rbSPlYEoAX8sc2uP&ccb=7-4&oh=a946d0e9a2e4214263714ac3cf087b3a&oe=608DACBE&_nc_sid=6136e7&ig_cache_key=MjUzOTA5NjM1NTgxMTE3OTE3Mw%3D%3D.2-ccb7-4,,
16,2539093890776941837,2539093890776941837_2309144947,1616903620,2,480.0,600.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/165314645_205251861391878_8738639252033983916_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=zVAkpgAAQJ4AX82sWnL&ccb=7-4&oh=93e4137bc54f7a4b8e0c59043e6b5c8d&oe=608C1ACD&_nc_sid=6136e7&ig_cache_key=MjUzOTA5Mzg5MDc3Njk0MTgzNw%3D%3D.2-ccb7-4,,
17,2538721904657564958,2538721904657564958_2309144947,1616859287,2,480.0,853.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/164542947_908340189727239_1867736960595507078_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=8tARoWkGzMIAX_t8Vjr&ccb=7-4&oh=d90a962d4520c343ff32d050fc9ed21a&oe=608EEF0A&_nc_sid=6136e7&ig_cache_key=MjUzODcyMTkwNDY1NzU2NDk1OA%3D%3D.2-ccb7-4,,
18,2538656219071929211,2538656219071929211_2309144947,1616851426,8,,,,43.648,-79.3872
19,2538608650035662813,2538608650035662813_2309144947,1616845755,8,,,,30.901237563037,75.832730694963
20,2538586700823508199,2538586700823508199_2309144947,1616843226,2,480.0,853.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/165076942_789115145292802_1419757381551869713_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=ZaBuTrg-qSkAX_P7net&ccb=7-4&oh=bb7ca81a94b1f371135d3886b4b01053&oe=608E8D8B&_nc_sid=6136e7&ig_cache_key=MjUzODU4NjcwMDgyMzUwODE5OQ%3D%3D.2-ccb7-4,,
21,2538515387396357183,2538515387396357183_2309144947,1616834647,2,480.0,853.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/164813889_1158537131264999_7639497535484455492_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=zeXYEAL2tP4AX9Hda58&ccb=7-4&oh=797b705a8fc00656d541089147c8801d&oe=608E2118&_nc_sid=6136e7&ig_cache_key=MjUzODUxNTM4NzM5NjM1NzE4Mw%3D%3D.2-ccb7-4,,
22,2538339641503743146,2538339641503743146_2309144947,1616813687,8,,,,35.1258,-117.985
23,2538335154311343432,2538335154311343432_2309144947,1616813165,2,480.0,853.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/165602399_1008543826341463_5268431208996619244_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=osOQwdFUYs4AX-XAXiw&ccb=7-4&oh=7bea280dae667b6679e87c60f300eb84&oe=608DDC10&_nc_sid=6136e7&ig_cache_key=MjUzODMzNTE1NDMxMTM0MzQzMg%3D%3D.2-ccb7-4,,
24,2537994607025576124,2537994607025576124_2309144947,1616772555,8,,,,33.4482,-112.0777
25,2537974008563742074,2537974008563742074_2309144947,1616770304,2,480.0,853.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/164176059_445664909878798_9136366525039742833_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=Px95SMHtZiQAX9idj1V&ccb=7-4&oh=118b85e9778c2a54ef9226f664c2041a&oe=608E176C&_nc_sid=6136e7&ig_cache_key=MjUzNzk3NDAwODU2Mzc0MjA3NA%3D%3D.2-ccb7-4,,
26,2537636885532944722,2537636885532944722_2309144947,1616729911,8,,,,35.1258,-117.985
27,2537289175743253126,2537289175743253126_2309144947,1616688518,2,480.0,853.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/164349464_1419362908426396_2735633002880639780_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=OZlkqD6ojU4AX-S3RuH&ccb=7-4&oh=b99ac80badf9f110dbf6ce6715dee823&oe=608DD563&_nc_sid=6136e7&ig_cache_key=MjUzNzI4OTE3NTc0MzI1MzEyNg%3D%3D.2-ccb7-4,,
28,2537266099814978250,2537266099814978250_2309144947,1616685710,8,,,,30.2981,75.3689
