,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2521105545773412032,2521105545773412032_2396243069,1614759222,1,827.0,827.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/156081079_924338421439181_6477961145353552662_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=oZeagucmmfEAX8VK3LW&ccb=7-4&oh=84bda5362b24b12c6b09faed198ff8da&oe=608122F6&ig_cache_key=MjUyMTEwNTU0NTc3MzQxMjAzMg%3D%3D.2-ccb7-4,,
1,2504921300935728473,2504921300935728473_2396243069,1612829910,1,881.0,1034.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/148109132_107123314736652_2567692925694791226_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=mFJU6gncp20AX8jqxiP&ccb=7-4&oh=ba95e684890ed2824586b5bef04ecf45&oe=608026F4&ig_cache_key=MjUwNDkyMTMwMDkzNTcyODQ3Mw%3D%3D.2-ccb7-4,37.9828063,-122.0772753
2,2503734150148100271,2503734150148100271_2396243069,1612688390,1,750.0,750.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/147679908_3700061670112426_4935395272217261157_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=B0b_Pm-KImYAX8LOSMU&ccb=7-4&oh=5d68201d24b8fc3cb6ed0312dea51bfd&oe=6081D13E&ig_cache_key=MjUwMzczNDE1MDE0ODEwMDI3MQ%3D%3D.2-ccb7-4,,
3,2497885213855912164,2497885213855912164_2396243069,1611991143,1,942.0,942.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/145001657_786233048903230_6474469947668901813_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=mOifD5hlWvgAX8AbIM_&ccb=7-4&oh=6fc5c164d55841c5428d247a68b4f537&oe=60809BB1&ig_cache_key=MjQ5Nzg4NTIxMzg1NTkxMjE2NA%3D%3D.2-ccb7-4,,
4,2488324087090561498,2488324087090561498_2396243069,1610851368,1,750.0,750.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/139524529_244509687253627_5241062754386584682_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=HtPe_vFeAXUAX-tcnn3&ccb=7-4&oh=2672c48e159cbc1063eaf5bf8cbfd28e&oe=607FB623&ig_cache_key=MjQ4ODMyNDA4NzA5MDU2MTQ5OA%3D%3D.2-ccb7-4,37.9828063,-122.0772753
5,2487766162785902473,2487766162785902473_2396243069,1610784858,1,911.0,1108.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/139247320_156521409373515_6327349665752706813_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=KaNctkXeEY8AX_zkiP4&ccb=7-4&oh=9f930f5f61517e33a3739db465554981&oe=6080D660&ig_cache_key=MjQ4Nzc2NjE2Mjc4NTkwMjQ3Mw%3D%3D.2-ccb7-4,37.9828063,-122.0772753
6,2483460614586315250,2483460614586315250_2396243069,1610271597,1,749.0,749.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/137292337_162159249029907_3858052735709011233_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=wWatcnhmMxQAX_Xbvzb&ccb=7-4&oh=54d6fd872857de4e780600c0e446dd82&oe=608092B7&ig_cache_key=MjQ4MzQ2MDYxNDU4NjMxNTI1MA%3D%3D.2-ccb7-4,37.9828063,-122.0772753
7,2480560661006153579,2480560661006153579_2396243069,1609925895,1,874.0,1019.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/136199994_2880294425534951_7553972665965721481_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=9qcs0CNw3boAX9Rkh7S&ccb=7-4&oh=c349d42df5b5304153165abe0a46a6a7&oe=608177F0&ig_cache_key=MjQ4MDU2MDY2MTAwNjE1MzU3OQ%3D%3D.2-ccb7-4,,
8,2477672877434312962,2477672877434312962_2396243069,1609581645,1,750.0,750.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/134555134_432927014537599_1206052439627403238_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=1hc7Pgtr4tEAX-01Yd4&ccb=7-4&oh=909899b066cb0c0ec1b90d1f17e83e34&oe=607FA3A0&ig_cache_key=MjQ3NzY3Mjg3NzQzNDMxMjk2Mg%3D%3D.2-ccb7-4,,
9,2473979100911645757,2473979100911645757_2396243069,1609141312,1,858.0,983.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/133579132_470479270613019_6182734273489980534_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=24HZsKO96VQAX8feCRJ&ccb=7-4&oh=c7e6fa6fe3030ba503b177cb78e4616e&oe=607EE3DB&ig_cache_key=MjQ3Mzk3OTEwMDkxMTY0NTc1Nw%3D%3D.2-ccb7-4,,
