,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2540942027492612646,2540942027492612646_24122132542,1617123915,1,1080.0,1323.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166565205_120406990066775_7172304787633276086_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=VRG3194KT9sAX8le2YU&ccb=7-4&oh=3b3637cfd119c7e1bc45ba42b867566c&oe=608ECE15&_nc_sid=6136e7&ig_cache_key=MjU0MDk0MjAyNzQ5MjYxMjY0Ng%3D%3D.2-ccb7-4,,
1,2540891593671229247,2540891593671229247_24122132542,1617117903,8,,,,,
2,2540831762352488923,2540831762352488923_24122132542,1617110770,1,720.0,871.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166417816_203245057836625_7732222846926782579_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=jXaAh3r5pHcAX8goTve&ccb=7-4&oh=0bb01af7d52c12b84811c7f518be5da4&oe=608CD19A&_nc_sid=6136e7&ig_cache_key=MjU0MDgzMTc2MjM1MjQ4ODkyMw%3D%3D.2-ccb7-4,,
3,2540797505223613513,2540797505223613513_24122132542,1617106687,8,,,,,
4,2540754167200009251,2540754167200009251_24122132542,1617101520,1,1080.0,1080.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166025836_171066968184426_7608627796668312278_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=64qtVTrFgE8AX-vUGpN&ccb=7-4&oh=ad2f6f5433e2e80d5c1f58efe014be93&oe=608C775F&_nc_sid=6136e7&ig_cache_key=MjU0MDc1NDE2NzIwMDAwOTI1MQ%3D%3D.2-ccb7-4,,
5,2540625234915979461,2540625234915979461_24122132542,1617086150,1,1080.0,1350.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166441878_190900399257161_6263846378201477690_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=wvzwrzCcbsYAX-wE6WH&ccb=7-4&oh=5c7c5a0e0d6839186195f6b6639d9025&oe=608D8513&_nc_sid=6136e7&ig_cache_key=MjU0MDYyNTIzNDkxNTk3OTQ2MQ%3D%3D.2-ccb7-4,,
6,2540535398393586522,2540535398393586522_24122132542,1617075441,1,1010.0,1262.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165934535_922392135241835_8942304171294430094_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=oY8caq2i9I8AX92NB0M&ccb=7-4&oh=55dd4776dc256f08a2bc22cc87531feb&oe=608C4C90&_nc_sid=6136e7&ig_cache_key=MjU0MDUzNTM5ODM5MzU4NjUyMg%3D%3D.2-ccb7-4,,
7,2540468012638510713,2540468012638510713_24122132542,1617067408,1,1033.0,1280.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165704260_1597544513771924_4273754339008700601_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=JlfxW3NzB40AX8NwalT&ccb=7-4&oh=ce1bc125aec37cc0d3a76b7c7a24a861&oe=608BAAC7&_nc_sid=6136e7&ig_cache_key=MjU0MDQ2ODAxMjYzODUxMDcxMw%3D%3D.2-ccb7-4,,
8,2540190599534754825,2540190599534754825_24122132542,1617034338,1,1010.0,1038.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166701648_212435633968792_1080696222706093296_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=0spPS--ryhYAX8QraQz&ccb=7-4&oh=eb144b97def49ebfe40663b1feac50cc&oe=608CA8D4&_nc_sid=6136e7&ig_cache_key=MjU0MDE5MDU5OTUzNDc1NDgyNQ%3D%3D.2-ccb7-4,,
9,2540136429100341142,2540136429100341142_24122132542,1617027880,1,1008.0,1260.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165608689_2851833411741169_5050379585440516152_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=_nJv228ok-MAX9vK22L&ccb=7-4&oh=e4892441465e587259c7fcce892841b5&oe=608B5291&_nc_sid=6136e7&ig_cache_key=MjU0MDEzNjQyOTEwMDM0MTE0Mg%3D%3D.2-ccb7-4,,
