,pk,id,taken_at,media_type,width,height,url,lat,lng
0,1428253380844823065,1428253380844823065_3027754017,1484481092,1,987,987,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/15875827_241267752980256_170121348197122048_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=Z8dnh3DBFcgAX8L_KML&ccb=7-4&oh=bb98dc3d1e0df4deb2330b97473ee2e5&oe=608096CB&ig_cache_key=MTQyODI1MzM4MDg0NDgyMzA2NQ%3D%3D.2-ccb7-4,,
1,1428250128598172513,1428250128598172513_3027754017,1484480704,1,1080,1350,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/15876993_684578841722890_6857800085686714368_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=fFoK8PjpdHYAX-d3rNo&ccb=7-4&oh=0dbb2b666ac426943cd4a0e119f945d7&oe=6082A768&ig_cache_key=MTQyODI1MDEyODU5ODE3MjUxMw%3D%3D.2-ccb7-4,,
2,1428235811584751045,1428235811584751045_3027754017,1484478998,1,1080,720,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/15875682_1059441137515567_713100416656605184_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=DwOv6ZzKPrcAX-eiWYH&ccb=7-4&oh=d22f6a56cd02a965dbe143a7615e6ed6&oe=60812E3A&ig_cache_key=MTQyODIzNTgxMTU4NDc1MTA0NQ%3D%3D.2-ccb7-4,,
3,1398985312432078018,1398985312432078018_3027754017,1480992066,1,937,1171,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/15276617_1305669396144456_3914382676169064448_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=lP7nxeMFW34AX_g5Izk&ccb=7-4&oh=e9097b4657c62e3cb75e988541acc590&oe=6081F377&ig_cache_key=MTM5ODk4NTMxMjQzMjA3ODAxOA%3D%3D.2-ccb7-4,,
4,1397546962781285292,1397546962781285292_3027754017,1480820602,1,1080,718,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/15275684_1786593771605881_1748787520449019904_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=ZF6AGLZPj1sAX8-a3kA&ccb=7-4&oh=506ab9b5a45d64fdf3a5dcfe76743599&oe=60826BB6&ig_cache_key=MTM5NzU0Njk2Mjc4MTI4NTI5Mg%3D%3D.2-ccb7-4,,
5,1394950862316679772,1394950862316679772_3027754017,1480511122,1,1040,1301,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/15306085_220118665096583_8711138551913250816_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=7rJ7VrxCysMAX_putVO&ccb=7-4&oh=aa42081dbe2876773f8d6861bd2608bd&oe=6081A9E3&ig_cache_key=MTM5NDk1MDg2MjMxNjY3OTc3Mg%3D%3D.2-ccb7-4,,
6,1391030504366586864,1391030504366586864_3027754017,1480043779,1,750,750,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/15101746_365208973826929_5125948939840782336_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=ejnP_6jm5IcAX8WvDG2&ccb=7-4&oh=d25cbd1deb773d135d1b4563f819ff38&oe=6080F5F9&ig_cache_key=MTM5MTAzMDUwNDM2NjU4Njg2NA%3D%3D.2-ccb7-4,,
7,1382420050299939723,1382420050299939723_3027754017,1479017333,1,1080,1350,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/14624582_1720355358292150_8310539058065440768_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=AyDRYPqOPosAX9kenIl&ccb=7-4&oh=2c789787aef1ecae3c522b2e9b40fa2e&oe=60811C15&ig_cache_key=MTM4MjQyMDA1MDI5OTkzOTcyMw%3D%3D.2-ccb7-4,,
8,1382415748537985573,1382415748537985573_3027754017,1479016820,1,1054,1054,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/15035653_1103896756394132_8878390986510696448_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=dKqldzYxKoEAX9iFxFM&ccb=7-4&oh=111734d50510191ea22d83171d41ec5f&oe=60809C22&ig_cache_key=MTM4MjQxNTc0ODUzNzk4NTU3Mw%3D%3D.2-ccb7-4,,
9,1382308457696339194,1382308457696339194_3027754017,1479004030,1,612,612,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/14624275_818176888323278_6692628549859278848_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=wLz_qJCMIRsAX8rx68C&ccb=7-4&oh=5bc4ad0e8093b1098d8e20ca3ecd477b&oe=6080CDE5&ig_cache_key=MTM4MjMwODQ1NzY5NjMzOTE5NA%3D%3D.2-ccb7-4,,
