,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2537313074133592456,2537313074133592456_32400280361,1616691310,1,1170.0,1463.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/164406440_191769925797653_2711140886175840884_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=6KQAb1Et9lEAX-Kk4RT&ccb=7-4&oh=8a3f37a4a16ea8663d342c3e6e84d711&oe=608D554B&_nc_sid=6136e7&ig_cache_key=MjUzNzMxMzA3NDEzMzU5MjQ1Ng%3D%3D.2-ccb7-4,28.631747,77.219672
1,2537311261019858348,2537311261019858348_32400280361,1616691094,8,,,,28.631747,77.219672
2,2537307386120327195,2537307386120327195_32400280361,1616690632,1,320.0,400.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/164129931_746926642852182_6151264479015098740_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=-ENxpCblIbkAX9pAwLh&ccb=7-4&oh=79730a263b4f07f9a8cf39472bc08926&oe=608CD91B&_nc_sid=6136e7&ig_cache_key=MjUzNzMwNzM4NjEyMDMyNzE5NQ%3D%3D.2-ccb7-4,28.631747,77.219672
3,2537306790520813842,2537306790520813842_32400280361,1616690561,8,,,,28.631747,77.219672
4,2537305739872729884,2537305739872729884_32400280361,1616690436,1,768.0,960.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/164458274_176557200946184_8685589680571496552_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=accMDBOYbjUAX_ka_6i&ccb=7-4&oh=862aad3b0cec80438a15ee7d77a92159&oe=608F0771&_nc_sid=6136e7&ig_cache_key=MjUzNzMwNTczOTg3MjcyOTg4NA%3D%3D.2-ccb7-4,28.631747,77.219672
5,2533353128580758208,2533353128580758208_32400280361,1616219248,8,,,,28.631747,77.219672
6,2531308946588486105,2531308946588486105_32400280361,1615975562,1,375.0,469.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/161431385_454137965826943_4434446618221559868_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=j4QgijCbA1wAX9X8DKM&ccb=7-4&oh=31e22ad9b18a31b96cf16b74aa2eb2f3&oe=607EF77A&ig_cache_key=MjUzMTMwODk0NjU4ODQ4NjEwNQ%3D%3D.2-ccb7-4,28.631747,77.219672
7,2531306377325814183,2531306377325814183_32400280361,1615975256,1,720.0,900.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/160605517_1452955311763195_5136841983253054444_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=Y6Q1BRe1EEoAX-5qXnj&ccb=7-4&oh=d886d6b7481ec1a59867839c4243b71a&oe=60803FFA&ig_cache_key=MjUzMTMwNjM3NzMyNTgxNDE4Mw%3D%3D.2-ccb7-4,28.631747,77.219672
8,2531305338136625531,2531305338136625531_32400280361,1615975132,8,,,,28.631747,77.219672
9,2529690900128267930,2529690900128267930_32400280361,1615782676,8,,,,28.631747,77.219672
