,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2539234738935503340,2539234738935503340_33761686753,1616920390,1,1440.0,1799.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165848608_367961854345647_939185363652905940_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=Sz3wBtuStDEAX_CenfJ&ccb=7-4&oh=90cfc1e5a692ad45f15d855995b2bdfc&oe=608B7AA4&_nc_sid=6136e7&ig_cache_key=MjUzOTIzNDczODkzNTUwMzM0MA%3D%3D.2-ccb7-4,30.73996,76.78257
1,2537612262082187398,2537612262082187398_33761686753,1616726976,1,1440.0,1799.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/163677742_155622899676650_2428965244083507760_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=mYdowKSw5DQAX9T30SP&ccb=7-4&oh=8f0c29808a980ad22e19c043587cbabd&oe=608D153D&_nc_sid=6136e7&ig_cache_key=MjUzNzYxMjI2MjA4MjE4NzM5OA%3D%3D.2-ccb7-4,31.634337567445,74.867953062057
2,2535805771759220218,2535805771759220218_33761686753,1616511626,1,1440.0,1713.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/163017795_906123583516924_8309874910066007093_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=2QE34wmoEVoAX_B_60h&ccb=7-4&oh=ced3befe38a6a643aad0b84d76a6fb68&oe=608CEB3B&_nc_sid=6136e7&ig_cache_key=MjUzNTgwNTc3MTc1OTIyMDIxOA%3D%3D.2-ccb7-4,30.8736,75.5035
3,2534679671180004332,2534679671180004332_33761686753,1616377384,1,1268.0,1489.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/163248646_2927106074283217_3029065944710511814_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=PqLzB61FeToAX82_ije&ccb=7-4&oh=f0b7f7a7c30e6e87590afd053cd90b57&oe=60812887&ig_cache_key=MjUzNDY3OTY3MTE4MDAwNDMzMg%3D%3D.2-ccb7-4,30.68409,76.74368
4,2531269595358482112,2531269595358482112_33761686753,1615970871,1,1206.0,1206.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/161365147_358117778717218_7763073682783375786_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=NliYLL1pkp0AX9OhdFB&ccb=7-4&oh=026bde35272baac26c498176424df4e7&oe=607E0AEE&ig_cache_key=MjUzMTI2OTU5NTM1ODQ4MjExMg%3D%3D.2-ccb7-4,30.7229,76.7807
5,2529031466324957194,2529031466324957194_33761686753,1615704066,1,1189.0,1189.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/159566526_911593289413488_4608378777339937135_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=LcT8J2mVvAsAX-mO0to&ccb=7-4&oh=9005243d6b2cc68f8203c4c79c20240c&oe=607EDCC6&ig_cache_key=MjUyOTAzMTQ2NjMyNDk1NzE5NA%3D%3D.2-ccb7-4,31.634337567445,74.867953062057
6,2528882662846167562,2528882662846167562_33761686753,1615686327,1,1440.0,1775.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/159779873_302487441398270_4000368653017759312_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=994ZgOGqr4MAX99EsUS&ccb=7-4&oh=ddd3e7c2981d63a0abb1e2a5ea5e271e&oe=608138A1&ig_cache_key=MjUyODg4MjY2Mjg0NjE2NzU2Mg%3D%3D.2-ccb7-4,31.634337567445,74.867953062057
7,2527610830184569835,2527610830184569835_33761686753,1615534713,1,1217.0,1217.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/158894315_213919417158761_549591068978459290_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=1iefQ4FQxVcAX9Hrp3z&ccb=7-4&oh=6c107df932ccee557e1d9a2cb32fc4f3&oe=6080E6FA&ig_cache_key=MjUyNzYxMDgzMDE4NDU2OTgzNQ%3D%3D.2-ccb7-4,30.212470475962,74.953107833862
8,2524014074389595563,2524014074389595563_33761686753,1615105946,1,890.0,890.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/157292046_284328056464723_6641023721474327521_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=LdniqS0VD0QAX-DCwuV&ccb=7-4&oh=87e0c8fa7b474c65911c927c7e841a25&oe=6081610D&ig_cache_key=MjUyNDAxNDA3NDM4OTU5NTU2Mw%3D%3D.2-ccb7-4,30.68409,76.74368
9,2521690892924201846,2521690892924201846_33761686753,1614829001,1,1428.0,1643.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/155982455_258546929090881_1231246381285868147_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=ubt2VTQyTpUAX8Z8M3f&ccb=7-4&oh=7939d38b7482529df04770031613f57e&oe=607E4613&ig_cache_key=MjUyMTY5MDg5MjkyNDIwMTg0Ng%3D%3D.2-ccb7-4,30.2129,74.9333
