,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2491354971356591391,2491354971356591391_34625020000,1611212677,1,720,883,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/140603648_2476070836030038_2137893264764782829_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=5i-qxUnFDFwAX-g8nkV&ccb=7-4&oh=ce16b0c80761b000aa13915e961d5e1d&oe=6081C541&ig_cache_key=MjQ5MTM1NDk3MTM1NjU5MTM5MQ%3D%3D.2-ccb7-4,21.2396299,81.65377
1,2490576553824439103,2490576553824439103_34625020000,1611119883,1,720,900,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/139929886_113748077229863_4029112744459697169_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=2HqbXdTLopsAX8Jq86T&ccb=7-4&oh=0a5e43bc72564c3d494af1a0a8fe9757&oe=6081CF16&ig_cache_key=MjQ5MDU3NjU1MzgyNDQzOTEwMw%3D%3D.2-ccb7-4,21.1612637,81.2407868
2,2485437760267959084,2485437760267959084_34625020000,1610507291,1,696,696,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/137379295_766289134240234_7427924788239421760_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=uTou-cM4GGcAX-hA3GS&ccb=7-4&oh=a3f84568f94fb5089b1a1f98272748c1&oe=60809FED&ig_cache_key=MjQ4NTQzNzc2MDI2Nzk1OTA4NA%3D%3D.2-ccb7-4,21.2437,81.63543
3,2484022183037192759,2484022183037192759_34625020000,1610338541,1,877,877,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/137277478_1341959579489245_1304013550682657600_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=5hxJseXVLN0AX_cu0gd&ccb=7-4&oh=d10a9353da6666933277de1248fa0b51&oe=60823A7F&ig_cache_key=MjQ4NDAyMjE4MzAzNzE5Mjc1OQ%3D%3D.2-ccb7-4,21.2437,81.63543
4,2483378307024577074,2483378307024577074_34625020000,1610261785,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/136970877_1051597108643302_1057493481494378701_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=ZlSIwy3TJ6kAX_yC2ew&ccb=7-4&oh=c92f4d8d45dd3406cc64c56e7add643b&oe=608291C5&ig_cache_key=MjQ4MzM3ODMwNzAyNDU3NzA3NA%3D%3D.2-ccb7-4,21.2396299,81.65377
5,2409484764867008726,2409484764867008726_34625020000,1601452988,1,887,887,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/120265871_1035333323594482_8686722970410133896_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=0AuLlMifvasAX8PSlfD&ccb=7-4&oh=914140230a819b424ca2fc2a672479e9&oe=6082DA31&ig_cache_key=MjQwOTQ4NDc2NDg2NzAwODcyNg%3D%3D.2-ccb7-4,21.0,77.0
6,2408732714818364330,2408732714818364330_34625020000,1601363337,1,669,837,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/120603536_798810317538763_6839453482501424302_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=gFQIPQWKW54AX9DEOot&ccb=7-4&oh=7901eab0fe848027937125e5f1a56d0c&oe=6081B18B&ig_cache_key=MjQwODczMjcxNDgxODM2NDMzMA%3D%3D.2-ccb7-4,21.0,77.0
7,2407178277670937002,2407178277670937002_34625020000,1601178034,1,882,882,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/120144406_1238385013180346_3168671111507867548_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=EGdzhEawWs4AX-fTeWD&ccb=7-4&oh=487024b79209f0c867c9531c117295cf&oe=607F2ADB&ig_cache_key=MjQwNzE3ODI3NzY3MDkzNzAwMg%3D%3D.2-ccb7-4,21.0,77.0
8,2405726199534624660,2405726199534624660_34625020000,1601004932,1,712,712,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/120038558_381878359503670_1149341378348198335_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=fA8s7Oi__sgAX9brp66&ccb=7-4&oh=86d23d1ac01f37fac0d0d38f5d8249e4&oe=6080C924&ig_cache_key=MjQwNTcyNjE5OTUzNDYyNDY2MA%3D%3D.2-ccb7-4,21.0,77.0
9,2404391782103092123,2404391782103092123_34625020000,1600845857,1,652,815,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/120065656_813465259433023_1476510612180350191_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=rWEWNHDRt1wAX_Xyte3&ccb=7-4&oh=a0ca1978cf0fa8b30835d6f656ae71c1&oe=6082402E&ig_cache_key=MjQwNDM5MTc4MjEwMzA5MjEyMw%3D%3D.2-ccb7-4,21.0,77.0
10,2400707207698923657,2400707207698923657_34625020000,1600406622,1,885,885,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/119738098_1028753507561960_9064175570145377371_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=BJILbJEy3O0AX86KDQl&ccb=7-4&oh=8b4a30a19c39a753233ebd25c7fb2c50&oe=60813161&ig_cache_key=MjQwMDcwNzIwNzY5ODkyMzY1Nw%3D%3D.2-ccb7-4,21.0,77.0
