,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2482851278540865930,2482851278540865930_3591878499,1610198958,1,720.0,900.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/135740006_1362469790759392_2069626208453406557_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=JiZCszKt_1sAX99Ez9D&ccb=7-4&oh=5d13fbba73faf0c3b56802390708268c&oe=607F222F&ig_cache_key=MjQ4Mjg1MTI3ODU0MDg2NTkzMA%3D%3D.2-ccb7-4,,
1,2475415739605410852,2475415739605410852_3591878499,1609312573,1,720.0,900.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/134493474_701334187236436_2748122972952201172_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=xNB4FbRaUEUAX9F7LyS&ccb=7-4&oh=2df2f6a3f3afd110eb3143576a7ff342&oe=608121B1&ig_cache_key=MjQ3NTQxNTczOTYwNTQxMDg1Mg%3D%3D.2-ccb7-4,,
2,2475415228093284042,2475415228093284042_3591878499,1609312512,1,720.0,900.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/133713214_2843475582604242_5549846451414699689_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=yV2QiV13DXMAX8EHbbF&ccb=7-4&oh=a52d397f6313a38ceadd5f6471b4e89e&oe=6080849F&ig_cache_key=MjQ3NTQxNTIyODA5MzI4NDA0Mg%3D%3D.2-ccb7-4,,
3,1848001494625121962,1848001494625121962_3591878499,1534518966,1,720.0,900.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/39056920_602153770210898_7848288418239873024_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=QS47NH_Nef0AX9M73Nj&ccb=7-4&oh=bcdf7effb9d2f5f5de625999f48bbd65&oe=607F8B8A&ig_cache_key=MTg0ODAwMTQ5NDYyNTEyMTk2Mg%3D%3D.2-ccb7-4,,
4,1842689824843402294,1842689824843402294_3591878499,1533885766,1,720.0,724.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/38879299_228558411183491_4243763919962767360_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=yFz12V9ddy8AX_Ut89i&ccb=7-4&oh=409a65fb3144125cbd37a227c6c07cf3&oe=607F8905&ig_cache_key=MTg0MjY4OTgyNDg0MzQwMjI5NA%3D%3D.2-ccb7-4,,
5,1821168420391833819,1821168420391833819_3591878499,1531320215,1,1080.0,1080.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/36552100_252687758658379_4785862468586962944_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=Ik2MtrMarjoAX__tQfb&ccb=7-4&oh=0700fc5d5b3369a23a5427bdece2dee4&oe=60804F96&ig_cache_key=MTgyMTE2ODQyMDM5MTgzMzgxOQ%3D%3D.2-ccb7-4,,
6,1762539270362178345,1762539270362178345_3591878499,1524331075,1,799.0,999.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/30589923_1635337579913574_2667560696706760704_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=eAFqljUU1RcAX_GGkmM&ccb=7-4&oh=c0c5378e825f74494c1abd37bb4155e1&oe=607F8D42&ig_cache_key=MTc2MjUzOTI3MDM2MjE3ODM0NQ%3D%3D.2-ccb7-4,,
7,1741226336774791687,1741226336774791687_3591878499,1521790376,8,,,,,
8,1738607654722538889,1738607654722538889_3591878499,1521478205,1,480.0,600.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/29088446_155144555178421_3818929836924076032_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=e8fNItVdAyUAX-nPLMz&ccb=7-4&oh=a3ae51be82f6e6ba5ab14a93eccda8bc&oe=607FC8E5&ig_cache_key=MTczODYwNzY1NDcyMjUzODg4OQ%3D%3D.2-ccb7-4,,
9,1738266649838336353,1738266649838336353_3591878499,1521437554,1,480.0,567.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/28762992_796471323870548_8163822970939113472_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=XJ4UHyihN1YAX8KK9GZ&ccb=7-4&oh=3f97551048704118e89b02a1f273626b&oe=6080F40A&ig_cache_key=MTczODI2NjY0OTgzODMzNjM1Mw%3D%3D.2-ccb7-4,,
