,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2540979089622017443,2540979089622017443_36752453348,1617128333,1,1080.0,1273.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166301190_791036401808299_7394832174002227059_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=c7L8e_UTbRYAX9A6Xs8&ccb=7-4&oh=627e3bfca9935e7b91817e61096baefc&oe=608CC360&_nc_sid=6136e7&ig_cache_key=MjU0MDk3OTA4OTYyMjAxNzQ0Mw%3D%3D.2-ccb7-4,,
1,2540901227703454792,2540901227703454792_36752453348,1617119051,1,719.0,887.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166183934_171209474829950_5674315842363559417_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=chNjHibWtT0AX-OmXyX&ccb=7-4&oh=1221c354dac56ea2a8a9cb69ebf41dbb&oe=608B9CCB&_nc_sid=6136e7&ig_cache_key=MjU0MDkwMTIyNzcwMzQ1NDc5Mg%3D%3D.2-ccb7-4,,
2,2540732265216680464,2540732265216680464_36752453348,1617098909,1,1080.0,1350.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166151337_923798168372337_3405852543486842170_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=e2xC7BicbmAAX_czY8O&ccb=7-4&oh=f05087672f7d9c01f6f813a18d19c994&oe=608DF23F&_nc_sid=6136e7&ig_cache_key=MjU0MDczMjI2NTIxNjY4MDQ2NA%3D%3D.2-ccb7-4,,
3,2540267749018298175,2540267749018298175_36752453348,1617043535,1,758.0,758.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165889276_193935878921160_670511758448834619_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=tPhTfdvnuNUAX98i_vg&ccb=7-4&oh=70064bb978cfab86e8cb55e0dd9fa573&oe=608E86EC&_nc_sid=6136e7&ig_cache_key=MjU0MDI2Nzc0OTAxODI5ODE3NQ%3D%3D.2-ccb7-4,,
4,2540169725441091448,2540169725441091448_36752453348,1617031850,1,736.0,920.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166182138_816024885663595_4111878150496583018_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=aiIwSYD788QAX9NWHmj&ccb=7-4&oh=3807eaed8ef7df4aef22ad8b894c1b5e&oe=608B506B&_nc_sid=6136e7&ig_cache_key=MjU0MDE2OTcyNTQ0MTA5MTQ0OA%3D%3D.2-ccb7-4,,
5,2540081914566394931,2540081914566394931_36752453348,1617021382,1,1013.0,1013.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166070378_122349979867707_2291457502425417106_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=4htVvx7y1_4AX9gvUU_&ccb=7-4&oh=83614ff4d9840aafba964959d1c727b0&oe=608D757E&_nc_sid=6136e7&ig_cache_key=MjU0MDA4MTkxNDU2NjM5NDkzMQ%3D%3D.2-ccb7-4,,
6,2540004557180424524,2540004557180424524_36752453348,1617012160,1,1080.0,1350.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165480676_942202876584531_2084318894857421486_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=e2Ywr0KbTPoAX8a9J6z&ccb=7-4&oh=6a153ee9ae93e1b62edd06738bb4947d&oe=608EFFD1&_nc_sid=6136e7&ig_cache_key=MjU0MDAwNDU1NzE4MDQyNDUyNA%3D%3D.2-ccb7-4,,
7,2539524144276199956,2539524144276199956_36752453348,1616954890,1,1080.0,1350.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165480679_784619542158442_5438673168035538610_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=i-z64lmnbCQAX-GrreE&ccb=7-4&oh=d9c482412fcf1fff326f6b8cd5ecc050&oe=608E8263&_nc_sid=6136e7&ig_cache_key=MjUzOTUyNDE0NDI3NjE5OTk1Ng%3D%3D.2-ccb7-4,,
8,2539454008609516057,2539454008609516057_36752453348,1616946529,1,1080.0,1284.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165737656_4478052102216202_2158131428814042731_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=ed6CpL08OYAAX8_7aTT&ccb=7-4&oh=f1a025a80ea465148c7d2c613ec78c53&oe=608BC1F6&_nc_sid=6136e7&ig_cache_key=MjUzOTQ1NDAwODYwOTUxNjA1Nw%3D%3D.2-ccb7-4,,
9,2539440204769312474,2539440204769312474_36752453348,1616944884,8,,,,,
