,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2540957682581709279,2540957682581709279_37109878761,1617125781,1,1080.0,1080.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166886460_438405413910687_8975832817590397725_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=tRDv0Ovf3ZsAX_TSVEJ&ccb=7-4&oh=fd62c7e7286377e9f1e4c062ec65f1f9&oe=608BF62D&_nc_sid=6136e7&ig_cache_key=MjU0MDk1NzY4MjU4MTcwOTI3OQ%3D%3D.2-ccb7-4,34.0564,-118.2445
1,2540746463388250026,2540746463388250026_37109878761,1617100620,2,480.0,480.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/s480x480/165887502_761502977831750_7109039519806494167_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=52ffW3JzF7UAX9Mqyk_&ccb=7-4&oh=ebf02637aa79cee25f9a8ebdaca13b65&oe=608E094C&_nc_sid=6136e7&ig_cache_key=MjU0MDc0NjQ2MzM4ODI1MDAyNg%3D%3D.2-ccb7-4,34.0564,-118.2445
2,2540516442388200413,2540516442388200413_37109878761,1617073202,2,480.0,480.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/s480x480/165780225_266813054987722_2426783368578274657_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=99mPZFsH0YIAX8hsbAg&ccb=7-4&oh=08e4bd62adec076f94e3930b5d386a3a&oe=608B75D4&_nc_sid=6136e7&ig_cache_key=MjU0MDUxNjQ0MjM4ODIwMDQxMw%3D%3D.2-ccb7-4,34.0564,-118.2445
3,2540252895452123418,2540252895452123418_37109878761,1617041764,1,1080.0,1350.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166059083_1122065138294546_2840523683291286684_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=q5BHN5pXi4EAX_ubCwh&ccb=7-4&oh=b41ec10bde4e1df1243cef3b98f5a795&oe=608CC5F7&_nc_sid=6136e7&ig_cache_key=MjU0MDI1Mjg5NTQ1MjEyMzQxOA%3D%3D.2-ccb7-4,40.7142,-74.0064
4,2540203539810377325,2540203539810377325_37109878761,1617035895,2,480.0,271.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/s480x480/166595873_943490176400429_4859235111902766578_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=BLLcsWJm014AX8RfiMv&ccb=7-4&oh=77c49bb4eecd39c93f06072cb0a5f3f5&oe=608D0C98&_nc_sid=6136e7&ig_cache_key=MjU0MDIwMzUzOTgxMDM3NzMyNQ%3D%3D.2-ccb7-4,34.0564,-118.2445
5,2540045215294952114,2540045215294952114_37109878761,1617017051,2,480.0,270.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/s480x480/166011567_735346840418904_4393153481269338506_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=oMnAbBq7WkgAX-Mbmie&ccb=7-4&oh=90e2b0b65022ad8d07ee0277ecdbd982&oe=608ED640&_nc_sid=6136e7&ig_cache_key=MjU0MDA0NTIxNTI5NDk1MjExNA%3D%3D.2-ccb7-4,,
6,2539770472771767107,2539770472771767107_37109878761,1616984269,2,480.0,270.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/s480x480/165945822_282969559850786_5809597357113226416_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=wAl8UpSgEyoAX_0gmWZ&ccb=7-4&oh=9e4c211f743608d761e8cba421826175&oe=608EF1A6&_nc_sid=6136e7&ig_cache_key=MjUzOTc3MDQ3Mjc3MTc2NzEwNw%3D%3D.2-ccb7-4,34.0564,-118.2445
7,2539328142193269554,2539328142193269554_37109878761,1616931547,2,480.0,480.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/s480x480/165953541_192660239046238_5855432649963470548_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=SJKoVanWcxUAX_s7PF2&ccb=7-4&oh=8df0956ab5dac63561e8d74a8059d66f&oe=608CE412&_nc_sid=6136e7&ig_cache_key=MjUzOTMyODE0MjE5MzI2OTU1NA%3D%3D.2-ccb7-4,34.0564,-118.2445
8,2539166833187392026,2539166833187392026_37109878761,1616912295,1,1080.0,1338.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165986445_459793561996852_5269238471385643625_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=zNFVC1rUAOIAX8fuaWj&ccb=7-4&oh=e1f4e6548ce3b3c93e6de401d2212ac5&oe=608B37E0&_nc_sid=6136e7&ig_cache_key=MjUzOTE2NjgzMzE4NzM5MjAyNg%3D%3D.2-ccb7-4,34.0564,-118.2445
9,2538775322952154404,2538775322952154404_37109878761,1616865639,2,480.0,480.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/s480x480/164896073_1623901537793632_3752151890773945216_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=d8VDYxxeExgAX8GgwrN&ccb=7-4&oh=ac9a1859693a548fa44d80cd569f9dc9&oe=608BAF8B&_nc_sid=6136e7&ig_cache_key=MjUzODc3NTMyMjk1MjE1NDQwNA%3D%3D.2-ccb7-4,34.0564,-118.2445
