,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2533239558840503909,2533239558840503909_39866106966,1616205795,2,480.0,480.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/s480x480/162194571_129315582467877_8272500722119107863_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=y2Y5Ynjuc64AX9t7brf&ccb=7-4&oh=26e390ff57f90b802b6b3505f7cbcc45&oe=607FC8E8&ig_cache_key=MjUzMzIzOTU1ODg0MDUwMzkwOQ%3D%3D.2-ccb7-4,,
1,2503228708807820939,2503228708807820939_39866106966,1612628137,1,640.0,640.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/146133582_791650215036675_6852982362367899930_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=oaWbKBgiD5kAX89VWMB&ccb=7-4&oh=7141a21cbf24c16abfccb9ebe5249e79&oe=608193D6&ig_cache_key=MjUwMzIyODcwODgwNzgyMDkzOQ%3D%3D.2-ccb7-4,,
2,2503227236749732310,2503227236749732310_39866106966,1612627962,1,799.0,999.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/146921440_225825159179556_6298722859512426783_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=AwE0_Szn89AAX_nL2f_&ccb=7-4&oh=b94b92a8df482193caf2f75891ac1fde&oe=607F7220&ig_cache_key=MjUwMzIyNzIzNjc0OTczMjMxMA%3D%3D.2-ccb7-4,,
3,2481446160605578980,2481446160605578980_39866106966,1610031455,1,1080.0,1080.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/136096341_983378608856252_5280359654799431833_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=-8Y6ZGVH5vcAX-rztJO&ccb=7-4&oh=fc2d49c28caeecc39710239f540d67a3&oe=60810412&ig_cache_key=MjQ4MTQ0NjE2MDYwNTU3ODk4MA%3D%3D.2-ccb7-4,,
4,2471940131324921074,2471940131324921074_39866106966,1608898248,1,1080.0,1080.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/132424182_236366278022916_561115759551790079_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=GkzjGfdgMQgAX---oWp&ccb=7-4&oh=19bc6cbc321cd22fea5da5549f496868&oe=607E37CC&ig_cache_key=MjQ3MTk0MDEzMTMyNDkyMTA3NA%3D%3D.2-ccb7-4,,
5,2457175946900572388,2457175946900572388_39866106966,1607138220,1,1440.0,1440.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/129298361_438921587500498_7842907384164185323_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=HaS72t5wqwcAX_JmnGA&ccb=7-4&oh=c501cc6a86d39887653ede85fca4e527&oe=608186C2&ig_cache_key=MjQ1NzE3NTk0NjkwMDU3MjM4OA%3D%3D.2-ccb7-4,,
6,2451391818444037616,2451391818444037616_39866106966,1606448698,1,720.0,720.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/127642892_405269024005960_9121549020095413535_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=1lEyvYJncXIAX-bvERM&ccb=7-4&oh=f27e0c5ce7d3c88dea4e1afcb9bd9356&oe=607F00CA&ig_cache_key=MjQ1MTM5MTgxODQ0NDAzNzYxNg%3D%3D.2-ccb7-4,,
7,2447349577668653216,2447349577668653216_39866106966,1605966826,1,1080.0,1080.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/125804216_1144852699251030_2446746230922650905_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=TNYaYJzCMW0AX97WAqE&ccb=7-4&oh=e32acac9e3b55feec0ba5f82a09fafcc&oe=607EDCA3&ig_cache_key=MjQ0NzM0OTU3NzY2ODY1MzIxNg%3D%3D.2-ccb7-4,,
8,2443401711205908977,2443401711205908977_39866106966,1605496203,1,1080.0,1080.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/125457125_703354120292385_2324743209232348438_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=qh_THVwS4ngAX-_zrLK&ccb=7-4&oh=3aa45fa2c7837a941e08e052464c1382&oe=6080CD02&ig_cache_key=MjQ0MzQwMTcxMTIwNTkwODk3Nw%3D%3D.2-ccb7-4,,
9,2442193243941659224,2442193243941659224_39866106966,1605352143,1,750.0,938.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/124829325_3395747733884268_866734760958292028_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=fI27jiYt7mkAX8jq9Fi&ccb=7-4&oh=9c6e95adb55b26fe1a86f384781cf110&oe=607E459C&ig_cache_key=MjQ0MjE5MzI0Mzk0MTY1OTIyNA%3D%3D.2-ccb7-4,,
10,2441448883402886325,2441448883402886325_39866106966,1605263408,1,750.0,750.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/124614950_372154400560979_1515182440478476934_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=En3Cojc_ZR4AX-gZaS4&ccb=7-4&oh=b67aa8002104a75cd017a04eafbf5197&oe=607E2B85&ig_cache_key=MjQ0MTQ0ODg4MzQwMjg4NjMyNQ%3D%3D.2-ccb7-4,,
11,2440816298213605985,2440816298213605985_39866106966,1605187998,1,627.0,783.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/124601267_136540544473667_4335211597690971855_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=-4VX1E24J34AX-7z3NH&ccb=7-4&oh=5b4cd20fa77b49cb22639b4130ea71f6&oe=607E59AF&ig_cache_key=MjQ0MDgxNjI5ODIxMzYwNTk4NQ%3D%3D.2-ccb7-4,,
12,2438512549554219273,2438512549554219273_39866106966,1604913370,1,1080.0,1080.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/124568122_2306037926196786_5292235532902328218_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=U1wRHzZCpl4AX_qBISS&ccb=7-4&oh=3ac2f59c92ac59552eb3cc8d25c33f13&oe=607F5DC5&ig_cache_key=MjQzODUxMjU0OTU1NDIxOTI3Mw%3D%3D.2-ccb7-4,,
13,2438510224995260596,2438510224995260596_39866106966,1604913093,1,1080.0,1080.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/123594078_2849076468529211_3267491470151817137_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=LCGIu_tXsLEAX8pieNN&ccb=7-4&oh=de5e74a9b3da07de0d25787f5e32d8c3&oe=60811449&ig_cache_key=MjQzODUxMDIyNDk5NTI2MDU5Ng%3D%3D.2-ccb7-4,,
14,2438404301303906985,2438404301303906985_39866106966,1604900466,1,750.0,937.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/123697732_409761773525593_8562296153868592453_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=Dlt5EZEJMO4AX9qVEhN&ccb=7-4&oh=20a8032796ab840befab43eba7ac5d43&oe=6080FFDF&ig_cache_key=MjQzODQwNDMwMTMwMzkwNjk4NQ%3D%3D.2-ccb7-4,,
15,2437917863407992539,2437917863407992539_39866106966,1604842506,2,480.0,852.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/123852061_400613251134247_7336576232653095925_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=WjINlwEX-3sAX_5mah1&ccb=7-4&oh=eedabe7f87106bdba8a9a654d500c158&oe=607FF446&ig_cache_key=MjQzNzkxNzg2MzQwNzk5MjUzOQ%3D%3D.2-ccb7-4,,
16,2437587928893980980,2437587928893980980_39866106966,1604803146,1,1080.0,1080.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/123817289_406386483697553_3865534902079672629_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=KRY4hJqRwUgAX86_5By&ccb=7-4&oh=9fddd2b6c6ced6d199d3251bb9a17745&oe=6080C4E0&ig_cache_key=MjQzNzU4NzkyODg5Mzk4MDk4MA%3D%3D.2-ccb7-4,,
17,2437107826636881081,2437107826636881081_39866106966,1604745914,1,1080.0,1080.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/123664601_370931280784029_3232376074046943474_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=BmTUuzla_u4AX-x98zM&ccb=7-4&oh=28cacffb6d7c085d9c6ed4c75be418ff&oe=607F7DD4&ig_cache_key=MjQzNzEwNzgyNjYzNjg4MTA4MQ%3D%3D.2-ccb7-4,,
