,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2540832768734498069,2540832768734498069_3987433045,1617110954,2,480.0,854.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/165983979_3781137538665368_2143925110936246915_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=0qr8YoUePBwAX-DjnIB&ccb=7-4&oh=2dded7db05704f8a9452eb8589b014b0&oe=608B9DB3&_nc_sid=6136e7&ig_cache_key=MjU0MDgzMjc2ODczNDQ5ODA2OQ%3D%3D.2-ccb7-4,,
1,2540753276028538353,2540753276028538353_3987433045,1617101414,1,1440.0,1800.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166600292_463123638459451_3810447644615740941_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=PgHUyAma0LoAX915XuM&ccb=7-4&oh=043aa91197d9ec1d69ebd3e0510c5cbc&oe=608CF4F3&_nc_sid=6136e7&ig_cache_key=MjU0MDc1MzI3NjAyODUzODM1Mw%3D%3D.2-ccb7-4,,
2,2540640019561086596,2540640019561086596_3987433045,1617087936,2,480.0,854.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/166520482_154701839853881_5600950946879699561_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=7NbsVPBCeVQAX_Cjcda&ccb=7-4&oh=8384d1557fccd4e9ae56d76d93e94cde&oe=608D358E&_nc_sid=6136e7&ig_cache_key=MjU0MDY0MDAxOTU2MTA4NjU5Ng%3D%3D.2-ccb7-4,,
3,2540639164669865499,2540639164669865499_3987433045,1617087811,8,,,,,
4,2540498944053858549,2540498944053858549_3987433045,1617071104,2,480.0,854.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166431971_265163191945692_5001468284700813077_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=E4Ms4ZRGNY4AX_rBp_B&ccb=7-4&oh=2c6099a3fa01ca58ae7048972ba1c1f7&oe=608B5BC1&_nc_sid=6136e7&ig_cache_key=MjU0MDQ5ODk0NDA1Mzg1ODU0OQ%3D%3D.2-ccb7-4,,
5,2540496755692644524,2540496755692644524_3987433045,1617070835,8,,,,,
6,2540050746977819360,2540050746977819360_3987433045,1617017704,2,480.0,854.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/165512964_2816247058642950_5127004845526613348_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=Soe6aSPuVVsAX95MSaY&ccb=7-4&oh=19781caa30619b8fefadb655fa6c9ef1&oe=608D1A60&_nc_sid=6136e7&ig_cache_key=MjU0MDA1MDc0Njk3NzgxOTM2MA%3D%3D.2-ccb7-4,,
7,2540050242562626715,2540050242562626715_3987433045,1617017606,8,,,,,
8,2539910462868789346,2539910462868789346_3987433045,1617000961,2,480.0,854.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/165667579_228476742353256_4383072154411786362_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=TDK6OXR5N54AX9LwDrt&ccb=7-4&oh=0c9060a4529df6383e1253641868294c&oe=608E83CB&_nc_sid=6136e7&ig_cache_key=MjUzOTkxMDQ2Mjg2ODc4OTM0Ng%3D%3D.2-ccb7-4,,
9,2539909097370974338,2539909097370974338_3987433045,1617000780,1,1389.0,1716.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165311089_437140450724092_738529480841416753_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=6ctzH-vv9-0AX8dWE-D&ccb=7-4&oh=73056dabc300bc7f09146ed1072dbe86&oe=608E3DCC&_nc_sid=6136e7&ig_cache_key=MjUzOTkwOTA5NzM3MDk3NDMzOA%3D%3D.2-ccb7-4,,
