,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2540897448408566921,2540897448408566921_40344381008,1617118601,1,1080.0,1286.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166571363_288606832791959_1838351472150386757_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=cW1ex_Tqvc0AX8lTayp&ccb=7-4&oh=fff94f131ef526dfffc682477e00bd6f&oe=608DAB9C&_nc_sid=6136e7&ig_cache_key=MjU0MDg5NzQ0ODQwODU2NjkyMQ%3D%3D.2-ccb7-4,,
1,2540660660620253820,2540660660620253820_40344381008,1617090374,1,720.0,842.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166103773_476385190063234_6792164036730191221_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=N751QiVLpmgAX-F1vFL&ccb=7-4&oh=8d23f0d57f06b8175fa769aca96fe565&oe=608CC700&_nc_sid=6136e7&ig_cache_key=MjU0MDY2MDY2MDYyMDI1MzgyMA%3D%3D.2-ccb7-4,,
2,2540660502897647461,2540660502897647461_40344381008,1617090355,1,720.0,897.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166257426_772192163431786_979164554478101847_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=mmjmJnLe0XQAX9QaPlO&ccb=7-4&oh=455290439ba094c75822d808f2bf62e7&oe=608BCABF&_nc_sid=6136e7&ig_cache_key=MjU0MDY2MDUwMjg5NzY0NzQ2MQ%3D%3D.2-ccb7-4,,
3,2540506281661507664,2540506281661507664_40344381008,1617071970,1,1080.0,1350.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/167164812_487378542471706_4387178897740895403_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=XKjn0EHo__8AX9hua6K&ccb=7-4&oh=cfab01a0d27080642b6e7feb5ea56716&oe=608C5A58&_nc_sid=6136e7&ig_cache_key=MjU0MDUwNjI4MTY2MTUwNzY2NA%3D%3D.2-ccb7-4,,
4,2540506138442816442,2540506138442816442_40344381008,1617071953,1,853.0,1066.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165704259_783221232603949_2690879829630049961_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=NHsxYeNiSMAAX-a-Bwh&ccb=7-4&oh=053fdb30a521ea8f5546f5d0bd6239c4&oe=608BF81D&_nc_sid=6136e7&ig_cache_key=MjU0MDUwNjEzODQ0MjgxNjQ0Mg%3D%3D.2-ccb7-4,,
5,2540051279092480346,2540051279092480346_40344381008,1617017730,1,1080.0,1350.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165953540_736394043913258_4543014546400973037_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=Cojwyy6iBU8AX86crud&ccb=7-4&oh=72d8d20574665e807dc33847f6be3ee2&oe=608E9883&_nc_sid=6136e7&ig_cache_key=MjU0MDA1MTI3OTA5MjQ4MDM0Ng%3D%3D.2-ccb7-4,,
6,2540051125430044605,2540051125430044605_40344381008,1617017711,1,720.0,820.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166271985_454349762348756_1412940060784853865_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=qCqLXj14RlAAX_u-Agt&ccb=7-4&oh=9da5a8c0b676bbbf3eb766e1022791ad&oe=608BC6E2&_nc_sid=6136e7&ig_cache_key=MjU0MDA1MTEyNTQzMDA0NDYwNQ%3D%3D.2-ccb7-4,,
7,2539865033758194426,2539865033758194426_40344381008,1616995527,1,1080.0,1080.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165338535_263532558780714_8118304364845470994_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=bgJ9_Scz7zkAX8aZHI_&ccb=7-4&oh=db62d5b803d4d122a82259339e31e90f&oe=608E10F9&_nc_sid=6136e7&ig_cache_key=MjUzOTg2NTAzMzc1ODE5NDQyNg%3D%3D.2-ccb7-4,,
8,2539864634015851843,2539864634015851843_40344381008,1616995480,1,720.0,720.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165571053_2988305571454816_4058518120842785430_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=1Sm2rqBVT4AAX8iCgAr&ccb=7-4&oh=68f2e39a3e4860c70bd6c8d8aa7c0d49&oe=608BA129&_nc_sid=6136e7&ig_cache_key=MjUzOTg2NDYzNDAxNTg1MTg0Mw%3D%3D.2-ccb7-4,,
9,2539768364093752274,2539768364093752274_40344381008,1616984004,1,960.0,960.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165700109_1239517323131206_1981425707952942179_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=C9h26XAzuckAX-Adkxf&ccb=7-4&oh=e965da92523cd6c6f04bea677e23c75d&oe=608E2836&_nc_sid=6136e7&ig_cache_key=MjUzOTc2ODM2NDA5Mzc1MjI3NA%3D%3D.2-ccb7-4,,
