,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2540895411142845441,2540895411142845441_41098665100,1617118358,1,720.0,899.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166417818_348723439884518_3068216134593620206_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=dbcF94GOZwIAX8YMUwg&ccb=7-4&oh=a4cd1b1efe9bc595ff8791e725911f8e&oe=608D98DB&_nc_sid=6136e7&ig_cache_key=MjU0MDg5NTQxMTE0Mjg0NTQ0MQ%3D%3D.2-ccb7-4,31.6331,74.8656
1,2540803536666888028,2540803536666888028_41098665100,1617107406,1,720.0,900.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/167663358_464480951562215_4740949223338975448_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=DAv9V3AnzIoAX-O-2Xu&ccb=7-4&oh=bd9c20cca452734f91b5b31f90f8eef4&oe=608EA42D&_nc_sid=6136e7&ig_cache_key=MjU0MDgwMzUzNjY2Njg4ODAyOA%3D%3D.2-ccb7-4,31.6331,74.8656
2,2540712209757475928,2540712209757475928_41098665100,1617096519,1,720.0,720.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166359892_123623979740927_8327239563527541474_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=j-ajAEWH6BkAX-isW3s&ccb=7-4&oh=e99d629dde87d74bcfef79e486934450&oe=608EA6BC&_nc_sid=6136e7&ig_cache_key=MjU0MDcxMjIwOTc1NzQ3NTkyOA%3D%3D.2-ccb7-4,31.6331,74.8656
3,2540557981441319853,2540557981441319853_41098665100,1617078133,1,720.0,900.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166826622_157714412801862_2489025833812942401_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=0K9cBJz4U2YAX_kjlD0&ccb=7-4&oh=b2915add0fdd9738b68b7e64c26adc41&oe=608B5E5B&_nc_sid=6136e7&ig_cache_key=MjU0MDU1Nzk4MTQ0MTMxOTg1Mw%3D%3D.2-ccb7-4,31.6331,74.8656
4,2540463867232155906,2540463867232155906_41098665100,1617066914,1,720.0,720.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165678775_1408345716192218_5748118087118501154_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=_dXL0hsVoFgAX9zLKxV&ccb=7-4&oh=be78325069bfa4668e14965369886896&oe=608E0246&_nc_sid=6136e7&ig_cache_key=MjU0MDQ2Mzg2NzIzMjE1NTkwNg%3D%3D.2-ccb7-4,31.6331,74.8656
5,2540111020176246505,2540111020176246505_41098665100,1617024875,2,480.0,1040.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/166148251_284051749872559_6723996496333839647_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=F3X0TlkgSikAX9UFU5v&ccb=7-4&oh=0a3222f54c7bab2ee54c66f95448f7b8&oe=608EDEE1&_nc_sid=6136e7&ig_cache_key=MjU0MDExMTAyMDE3NjI0NjUwNQ%3D%3D.2-ccb7-4,,
6,2539959602932917062,2539959602932917062_41098665100,1617006814,2,480.0,1040.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/166041042_267371741597234_5790107567550727865_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=OxXT6WcKZV8AX_KOfUQ&ccb=7-4&oh=2ac177f74ce62f67239cab8adbccbf61&oe=608C8281&_nc_sid=6136e7&ig_cache_key=MjUzOTk1OTYwMjkzMjkxNzA2Mg%3D%3D.2-ccb7-4,,
7,2539921273301307564,2539921273301307564_41098665100,1617002232,1,720.0,720.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165478702_113499534055303_3688747868294046312_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=nTJCOgkU_O0AX-GLkKC&ccb=7-4&oh=f9eb3524f5fc13944b1d039fb3fcf2ad&oe=608E7E88&_nc_sid=6136e7&ig_cache_key=MjUzOTkyMTI3MzMwMTMwNzU2NA%3D%3D.2-ccb7-4,31.6331,74.8656
8,2539814585156183218,2539814585156183218_41098665100,1616989514,1,720.0,866.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166344049_369971727448432_2915646303353005417_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=aJF1o6X6dJ4AX9eSyBT&ccb=7-4&oh=d1dc117c55918b589bf8aa6e8de08c19&oe=608E2D65&_nc_sid=6136e7&ig_cache_key=MjUzOTgxNDU4NTE1NjE4MzIxOA%3D%3D.2-ccb7-4,31.6331,74.8656
9,2539403495121096419,2539403495121096419_41098665100,1616940508,1,720.0,749.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165450418_446739643069495_3797933414652079968_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=fRuAVwBr9DEAX_bQnkf&ccb=7-4&oh=0fbd87c84e3d91cc8259d84812e00210&oe=608C2E6B&_nc_sid=6136e7&ig_cache_key=MjUzOTQwMzQ5NTEyMTA5NjQxOQ%3D%3D.2-ccb7-4,31.6331,74.8656
10,2539217240426520065,2539217240426520065_41098665100,1616918317,2,480.0,1040.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/165762339_137663648282393_5246204103583110630_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=yi7BEioDnqQAX86S2l1&ccb=7-4&oh=0af05fb769401a44cccd058c013e5fd6&oe=608D6C2E&_nc_sid=6136e7&ig_cache_key=MjUzOTIxNzI0MDQyNjUyMDA2NQ%3D%3D.2-ccb7-4,,
11,2539216058839458986,2539216058839458986_41098665100,1616918164,1,720.0,804.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165176988_750075819215359_7691608894650531455_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=W5K63qRljGYAX8_s2-C&ccb=7-4&oh=1046cf89bf5259d3d4e351c42f631018&oe=608B36E8&_nc_sid=6136e7&ig_cache_key=MjUzOTIxNjA1ODgzOTQ1ODk4Ng%3D%3D.2-ccb7-4,31.6331,74.8656
12,2538724495789104351,2538724495789104351_41098665100,1616859565,1,720.0,900.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165196957_247869797034017_50109294442739655_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=p2qzQhYa_fgAX_DC_69&ccb=7-4&oh=ea7daeedb889db9d1bf1f3514527bd6e&oe=608C7F4C&_nc_sid=6136e7&ig_cache_key=MjUzODcyNDQ5NTc4OTEwNDM1MQ%3D%3D.2-ccb7-4,31.6331,74.8656
13,2538549070307742594,2538549070307742594_41098665100,1616838652,1,720.0,869.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165624453_898811940691016_2705611629714294662_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=-ZmLpw9kUA0AX8b--87&ccb=7-4&oh=10d4d5b16657bea9e1acf4e1d2e185e9&oe=608C2839&_nc_sid=6136e7&ig_cache_key=MjUzODU0OTA3MDMwNzc0MjU5NA%3D%3D.2-ccb7-4,31.6331,74.8656
14,2538018650949606092,2538018650949606092_41098665100,1616775438,2,480.0,1040.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/164896044_511827393314296_3138928044492089376_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=iACBguZzfHQAX8PyHxh&ccb=7-4&oh=7c171bcf083e50d0cec5d17be1919642&oe=608BA8C6&_nc_sid=6136e7&ig_cache_key=MjUzODAxODY1MDk0OTYwNjA5Mg%3D%3D.2-ccb7-4,,
15,2537902512559189356,2537902512559189356_41098665100,1616761588,2,480.0,1040.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/164520015_117562400391264_8341852959207767024_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=MK0_qMtrPWEAX-eGn_l&ccb=7-4&oh=f83e3d85a365d48e4f73ce7957b48a03&oe=608B7DAD&_nc_sid=6136e7&ig_cache_key=MjUzNzkwMjUxMjU1OTE4OTM1Ng%3D%3D.2-ccb7-4,,
16,2537901337968264632,2537901337968264632_41098665100,1616761437,1,720.0,866.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/164405258_368757174207322_8350852991238183265_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=xXZw2DyPcgQAX_MrPwK&ccb=7-4&oh=d19ec7bef3c0b19980f75124cf23cc46&oe=608B210F&_nc_sid=6136e7&ig_cache_key=MjUzNzkwMTMzNzk2ODI2NDYzMg%3D%3D.2-ccb7-4,31.6331,74.8656
