,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2540817222252906821,2540817222252906821_41425289977,1617109037,1,1080.0,1300.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166250041_102709725216183_7408199331781001459_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=kz6IsdOyx5QAX8LMIWa&ccb=7-4&oh=2024df369196e12b2d58cb399484618a&oe=608D7A53&_nc_sid=6136e7&ig_cache_key=MjU0MDgxNzIyMjI1MjkwNjgyMQ%3D%3D.2-ccb7-4,,
1,2540639670930718407,2540639670930718407_41425289977,1617087871,1,1080.0,1058.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165843211_194266655541746_297866068427164144_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=CGrMxBVE6egAX-gly1f&ccb=7-4&oh=5ced7531e526fc7dbb3fa21eb81a50c5&oe=608C139C&_nc_sid=6136e7&ig_cache_key=MjU0MDYzOTY3MDkzMDcxODQwNw%3D%3D.2-ccb7-4,,
2,2540561817434165532,2540561817434165532_41425289977,1617078591,1,720.0,880.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165982387_120505010055646_5112796918826875157_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=PhtIFDJWO0kAX-T0wAz&ccb=7-4&oh=0a9d0191135082d9184710de67e330a4&oe=608D4D00&_nc_sid=6136e7&ig_cache_key=MjU0MDU2MTgxNzQzNDE2NTUzMg%3D%3D.2-ccb7-4,,
3,2540475071946068696,2540475071946068696_41425289977,1617068250,1,1080.0,1205.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166938321_729409841058756_2338752131746786648_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=X8fhM7Y5WeUAX--BhHp&ccb=7-4&oh=6b11397bdf34debd1a96a0c67af30c6d&oe=608D1DFC&_nc_sid=6136e7&ig_cache_key=MjU0MDQ3NTA3MTk0NjA2ODY5Ng%3D%3D.2-ccb7-4,,
4,2540180442617056592,2540180442617056592_41425289977,1617033127,1,1034.0,1203.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165660381_765009091093600_1289502587761519315_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=z7R93Vz63R4AX_8WLZD&ccb=7-4&oh=d195767d8f4ef6a4c370cb71c8e12d18&oe=608B9107&_nc_sid=6136e7&ig_cache_key=MjU0MDE4MDQ0MjYxNzA1NjU5Mg%3D%3D.2-ccb7-4,,
5,2540071336061417374,2540071336061417374_41425289977,1617020121,1,720.0,720.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/164883468_1358167954545077_1427095752611926633_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=Y1WbzY_vh-QAX9oNzFE&ccb=7-4&oh=9f92b626f4d133e7330f7cac43ea87e1&oe=608DBFC2&_nc_sid=6136e7&ig_cache_key=MjU0MDA3MTMzNjA2MTQxNzM3NA%3D%3D.2-ccb7-4,,
6,2539886945313782377,2539886945313782377_41425289977,1616998140,1,1080.0,1110.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166054255_2820240131562989_1157901066425777926_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=CBUjos8Mwn0AX-pop89&ccb=7-4&oh=5f1b35ba74530abaf64242e82979a7e9&oe=608C7984&_nc_sid=6136e7&ig_cache_key=MjUzOTg4Njk0NTMxMzc4MjM3Nw%3D%3D.2-ccb7-4,,
7,2539762612109262879,2539762612109262879_41425289977,1616983318,1,1080.0,1276.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166314433_905801100273061_324309512796430482_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=IioHIwEqeUIAX-3QBlD&ccb=7-4&oh=1ba828ebb7f16371a1f801514c18a75d&oe=608BB201&_nc_sid=6136e7&ig_cache_key=MjUzOTc2MjYxMjEwOTI2Mjg3OQ%3D%3D.2-ccb7-4,,
8,2539350306153937585,2539350306153937585_41425289977,1616934167,1,1080.0,1327.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165554746_501289874220791_6607748906382875863_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=RO3NuHiqeroAX_0XtlH&ccb=7-4&oh=4281e7c96c0e938846a27b5ea2fc7809&oe=608B60AB&_nc_sid=6136e7&ig_cache_key=MjUzOTM1MDMwNjE1MzkzNzU4NQ%3D%3D.2-ccb7-4,,
9,2539232364967913308,2539232364967913308_41425289977,1616920107,1,1080.0,1266.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165312902_451506129430080_2505500809643522972_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=w3yG_gOFkUoAX9nL82j&ccb=7-4&oh=4d300a05863a6e795ce252f4f1d88487&oe=608DE7E5&_nc_sid=6136e7&ig_cache_key=MjUzOTIzMjM2NDk2NzkxMzMwOA%3D%3D.2-ccb7-4,,
