,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2540920920245279701,2540920920245279701_42308783661,1617121399,1,1080,1248,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/167617630_2768183733482000_8148348152242344410_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=4Ep-YSVwKIYAX8XDOgT&ccb=7-4&oh=9f848c69bb3ca26c71bb732bfefbc6fb&oe=608C9B78&_nc_sid=6136e7&ig_cache_key=MjU0MDkyMDkyMDI0NTI3OTcwMQ%3D%3D.2-ccb7-4,,
1,2540758823851076474,2540758823851076474_42308783661,1617102076,1,1080,1350,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165940427_269293271494302_3797498407370045269_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=RHSenusXa1kAX9m7Z_b&ccb=7-4&oh=7b2add02014d745cad914cd010227b3a&oe=608C84BB&_nc_sid=6136e7&ig_cache_key=MjU0MDc1ODgyMzg1MTA3NjQ3NA%3D%3D.2-ccb7-4,,
2,2540485557756570943,2540485557756570943_42308783661,1617069500,1,1076,1292,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165629414_1197379003993578_4227263283928852064_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=4Y-sPplhL_MAX8t-RL1&ccb=7-4&oh=1b350b2b2f70e32cff8f70153c37e17d&oe=608D22F9&_nc_sid=6136e7&ig_cache_key=MjU0MDQ4NTU1Nzc1NjU3MDk0Mw%3D%3D.2-ccb7-4,,
3,2540226193716017718,2540226193716017718_42308783661,1617038581,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166364220_267846504934585_8798334233213121667_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=y4e7-2RBpjAAX-y_dbU&ccb=7-4&oh=0941721af81a706ff961f09a85e7c51a&oe=608CF053&_nc_sid=6136e7&ig_cache_key=MjU0MDIyNjE5MzcxNjAxNzcxOA%3D%3D.2-ccb7-4,,
4,2540061714042777061,2540061714042777061_42308783661,1617018974,1,1076,1340,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165507981_890181481833212_1703150389691030289_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=k13bS69FdRwAX_GWMAR&ccb=7-4&oh=b9f97171b68e380f2db800442c47fc66&oe=608ED5DE&_nc_sid=6136e7&ig_cache_key=MjU0MDA2MTcxNDA0Mjc3NzA2MQ%3D%3D.2-ccb7-4,,
5,2539779695358333925,2539779695358333925_42308783661,1616985354,1,1072,1072,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165447424_922378875171663_3902011967150446553_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=m1EuNGzbrMsAX_C33Gq&ccb=7-4&oh=c23b159b92af666ba5a3545df797a7f4&oe=608D60E5&_nc_sid=6136e7&ig_cache_key=MjUzOTc3OTY5NTM1ODMzMzkyNQ%3D%3D.2-ccb7-4,,
6,2539454272061749781,2539454272061749781_42308783661,1616946561,1,1052,1315,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165704259_1090769891423512_8248104506116654541_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=fvYWSurMUw4AX_N6WmV&ccb=7-4&oh=8cef91a0ebd8e272625d0660defd3799&oe=608D844C&_nc_sid=6136e7&ig_cache_key=MjUzOTQ1NDI3MjA2MTc0OTc4MQ%3D%3D.2-ccb7-4,,
7,2539077864122642583,2539077864122642583_42308783661,1616901690,1,1076,1260,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166050227_3833578346763594_4427053235500351167_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=i28Zlo1V1KkAX8WZLA8&ccb=7-4&oh=042ba22b2e35d3887d3f65e5e1133887&oe=608D9713&_nc_sid=6136e7&ig_cache_key=MjUzOTA3Nzg2NDEyMjY0MjU4Mw%3D%3D.2-ccb7-4,,
8,2538743396983638446,2538743396983638446_42308783661,1616861818,1,1080,1324,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/163558626_1279673542429230_7426909464014125849_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=G1ThvSHixA0AX-t4557&ccb=7-4&oh=2314fad7bdb59309227a2b778dda1c1c&oe=608D7120&_nc_sid=6136e7&ig_cache_key=MjUzODc0MzM5Njk4MzYzODQ0Ng%3D%3D.2-ccb7-4,,
9,2538613489825939914,2538613489825939914_42308783661,1616846332,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/164705613_894660237773474_1299251572376429836_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=K4G-q7C1znEAX9MR68s&ccb=7-4&oh=56b52530c5653e629864d3bdb7c494dd&oe=608BCF0B&_nc_sid=6136e7&ig_cache_key=MjUzODYxMzQ4OTgyNTkzOTkxNA%3D%3D.2-ccb7-4,,
10,2538312842031276688,2538312842031276688_42308783661,1616810492,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165943725_467185811069411_3373088537075120590_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=QxE58U79anMAX8isEWH&ccb=7-4&oh=cf835613bc8f754f2359b161b5dfbedf&oe=608C3C42&_nc_sid=6136e7&ig_cache_key=MjUzODMxMjg0MjAzMTI3NjY4OA%3D%3D.2-ccb7-4,,
