,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2540890946978307274,2540890946978307274_4268828280,1617117826,8,,,,,
1,2540745585009867806,2540745585009867806_4268828280,1617100497,1,1080.0,1221.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166064178_820790102171300_1452001085499902678_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=v5U51SwefagAX9hw3li&ccb=7-4&oh=9333d53d410f571f236eef3b0703e212&oe=608E34A3&_nc_sid=6136e7&ig_cache_key=MjU0MDc0NTU4NTAwOTg2NzgwNg%3D%3D.2-ccb7-4,,
2,2540584676627050888,2540584676627050888_4268828280,1617081316,1,1080.0,1144.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165985349_5297802650292640_5413347785385532143_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=KLosf9237MgAX_ihlF5&ccb=7-4&oh=e50f08fa8a5d6145ad59aaf69c814c7d&oe=608DAEB5&_nc_sid=6136e7&ig_cache_key=MjU0MDU4NDY3NjYyNzA1MDg4OA%3D%3D.2-ccb7-4,,
3,2540085311298813559,2540085311298813559_4268828280,1617021787,1,1080.0,1105.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166103773_487168245651579_5008873314749143912_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=ZXj87mAbR1UAX_eKywS&ccb=7-4&oh=5c0d50db0b58d258ed557ede5ede9517&oe=608E0C90&_nc_sid=6136e7&ig_cache_key=MjU0MDA4NTMxMTI5ODgxMzU1OQ%3D%3D.2-ccb7-4,,
4,2539941210112690977,2539941210112690977_4268828280,1617004608,8,,,,,
5,2539805959143150157,2539805959143150157_4268828280,1616988485,8,,,,,
6,2539402223887377151,2539402223887377151_4268828280,1616940356,8,,,,,
7,2539273959638432327,2539273959638432327_4268828280,1616925066,8,,,,,
8,2539168591583202026,2539168591583202026_4268828280,1616912505,1,750.0,938.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165660683_172753091348762_8267287557283208018_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=2Xn9ujGy8JIAX_7A-GZ&ccb=7-4&oh=f48f1b0138bf75af1b0cc2cde64fe7e7&oe=608BBE9B&_nc_sid=6136e7&ig_cache_key=MjUzOTE2ODU5MTU4MzIwMjAyNg%3D%3D.2-ccb7-4,,
9,2539101442764237813,2539101442764237813_4268828280,1616904500,8,,,,,
10,2538651938759951215,2538651938759951215_4268828280,1616850915,1,1080.0,1080.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/164603314_4053002118064564_3688262426365734765_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=zBEmuFlPS20AX-RMSVg&ccb=7-4&oh=3a4d9d8ec9c2d9521e24c41684b817b1&oe=608EE5F9&_nc_sid=6136e7&ig_cache_key=MjUzODY1MTkzODc1OTk1MTIxNQ%3D%3D.2-ccb7-4,,
11,2538542486073473281,2538542486073473281_4268828280,1616837867,1,1080.0,1259.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165286119_268685591527423_3634808574443884070_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=a97VRBnKAbYAX_dDBnc&ccb=7-4&oh=0b38f756efa7e8bcc2bf34fbc9504399&oe=608DA489&_nc_sid=6136e7&ig_cache_key=MjUzODU0MjQ4NjA3MzQ3MzI4MQ%3D%3D.2-ccb7-4,,
12,2538399901480738389,2538399901480738389_4268828280,1616820870,8,,,,,
13,2537979269337059149,2537979269337059149_4268828280,1616770727,1,1080.0,1349.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/164349463_788437472053751_1862914690253121929_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=PxkKeoq3zasAX9MXPIX&ccb=7-4&oh=084e72374ae9a4d12b6a90f822aa2ecc&oe=608CC56E&_nc_sid=6136e7&ig_cache_key=MjUzNzk3OTI2OTMzNzA1OTE0OQ%3D%3D.2-ccb7-4,,
14,2537756382621775000,2537756382621775000_4268828280,1616744157,1,1080.0,1179.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/164538023_162816145587917_4250395136396867212_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=_GwPR6IS1R4AX_67IKu&ccb=7-4&oh=50bfd6245bae3c39381e481f66fa7e39&oe=608C2169&_nc_sid=6136e7&ig_cache_key=MjUzNzc1NjM4MjYyMTc3NTAwMA%3D%3D.2-ccb7-4,,
15,2537692285880445642,2537692285880445642_4268828280,1616736516,8,,,,,
