,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2540012214588074608,2540012214588074608_45998148970,1617013073,1,854,854,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166364220_229944491967628_829511272933377020_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=hNuCHeDil00AX-fwCfS&ccb=7-4&oh=32c3d81f77e5916f79bd74b57c551957&oe=608D0ED2&_nc_sid=6136e7&ig_cache_key=MjU0MDAxMjIxNDU4ODA3NDYwOA%3D%3D.2-ccb7-4,25.48673,81.87622
1,2539214583939080972,2539214583939080972_45998148970,1616917988,1,1080,1267,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165219974_442843473609550_7358259282140395853_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=bBCKKj3egIMAX9hC37a&ccb=7-4&oh=2fec5739e3b3c29b3720c45a5a5b0586&oe=608B32EC&_nc_sid=6136e7&ig_cache_key=MjUzOTIxNDU4MzkzOTA4MDk3Mg%3D%3D.2-ccb7-4,15.401944,74.043333
2,2538625865146617725,2538625865146617725_45998148970,1616847807,1,1080,1350,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165613768_467656374361900_1136786300632315746_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=OK_noUvtGrIAX8hJYoO&ccb=7-4&oh=1150672c3e8e5076f28a2248138a517f&oe=608E2F93&_nc_sid=6136e7&ig_cache_key=MjUzODYyNTg2NTE0NjYxNzcyNQ%3D%3D.2-ccb7-4,25.4330196,81.7975769
3,2537713202656737558,2537713202656737558_45998148970,1616739009,1,1080,1350,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/164170718_772587863662036_202989587692106589_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=ul1pzL5CDx4AX-82Cjn&ccb=7-4&oh=8a63c64061e80d848c8c74f0a29ea1c8&oe=608C52D6&_nc_sid=6136e7&ig_cache_key=MjUzNzcxMzIwMjY1NjczNzU1OA%3D%3D.2-ccb7-4,15.536570242546,73.763927572476
4,2537248281875789375,2537248281875789375_45998148970,1616683586,1,1075,1075,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165519354_134809565252938_392377585842222520_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=FHraejXUeIsAX95mpyy&ccb=7-4&oh=e86774d978f2c24a05d87c5770c110ba&oe=608C74B9&_nc_sid=6136e7&ig_cache_key=MjUzNzI0ODI4MTg3NTc4OTM3NQ%3D%3D.2-ccb7-4,15.401944,74.043333
5,2536140932695579713,2536140932695579713_45998148970,1616551580,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/164442674_1332196870494670_6085716975327919787_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=uU11wmRedEMAX-Gkj5e&ccb=7-4&oh=e44d96d2e79be3f26d0405d1fe0a1961&oe=608D1526&_nc_sid=6136e7&ig_cache_key=MjUzNjE0MDkzMjY5NTU3OTcxMw%3D%3D.2-ccb7-4,15.401944,74.043333
6,2535577769512535392,2535577769512535392_45998148970,1616484446,1,1080,1288,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/163337688_487411775975230_6737334254018523911_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=uPlxzzMoGDYAX_c15z1&ccb=7-4&oh=96c5e040f2dcd2d4451e721e21d769e5&oe=608CDBB4&_nc_sid=6136e7&ig_cache_key=MjUzNTU3Nzc2OTUxMjUzNTM5Mg%3D%3D.2-ccb7-4,15.401944,74.043333
7,2534801713716805896,2534801713716805896_45998148970,1616391933,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/161814849_260630212312591_4965031724333254015_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=5bw3VyNvBR8AX9fIusd&ccb=7-4&oh=7f2897073f3d35d38ae34909ba69bba8&oe=6083FE28&_nc_sid=6136e7&ig_cache_key=MjUzNDgwMTcxMzcxNjgwNTg5Ng%3D%3D.2-ccb7-4,15.401944,74.043333
8,2534116394642828801,2534116394642828801_45998148970,1616310236,1,1080,1236,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/162049633_198378784989885_6773868670617770993_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=YQfsCFVxWYgAX_wo8Qv&ccb=7-4&oh=643307364e9eb64ae6921424b003d4b0&oe=608113CF&_nc_sid=6136e7&ig_cache_key=MjUzNDExNjM5NDY0MjgyODgwMQ%3D%3D.2-ccb7-4,15.2993,74.124
9,2533488329369697490,2533488329369697490_45998148970,1616235365,1,702,702,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/162078023_279007303717067_1216132829599397417_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=SVYKxRR1dWcAX-sHixh&ccb=7-4&oh=6697b46001344d47f5541332ec58fab5&oe=6082B913&_nc_sid=6136e7&ig_cache_key=MjUzMzQ4ODMyOTM2OTY5NzQ5MA%3D%3D.2-ccb7-4,15.2993,74.124
10,2533241131276639621,2533241131276639621_45998148970,1616205897,1,892,892,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/162713768_464483634864948_5624720717194237921_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=uO96SkaTJ7EAX-6UA98&ccb=7-4&oh=811f87e9ca75a49943e6399d297655cd&oe=60842C8A&_nc_sid=6136e7&ig_cache_key=MjUzMzI0MTEzMTI3NjYzOTYyMQ%3D%3D.2-ccb7-4,28.685902492218,77.154852715969
11,2532556417381372200,2532556417381372200_45998148970,1616124272,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/162408067_234798031702316_692408525819168959_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=two5bNAGMPoAX8-RT4N&ccb=7-4&oh=9103d8caca34df0b20c8c922d67258bc&oe=60823701&_nc_sid=6136e7&ig_cache_key=MjUzMjU1NjQxNzM4MTM3MjIwMA%3D%3D.2-ccb7-4,24.5854,73.7125
12,2531796043618844789,2531796043618844789_45998148970,1616033629,1,1080,1268,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/161667199_273262827619245_4871607495947064978_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=hBFVw2Eo-ngAX8Tsurr&ccb=7-4&oh=fc029f0ce38e7de82108fc9b4c3a92a6&oe=6083BDFC&_nc_sid=6136e7&ig_cache_key=MjUzMTc5NjA0MzYxODg0NDc4OQ%3D%3D.2-ccb7-4,25.48673,81.87622
13,2531271935202416463,2531271935202416463_45998148970,1615971150,1,906,906,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/160647590_112651297562226_2029219376901269124_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=MWhTAu3SEyIAX-VwjfU&ccb=7-4&oh=138f68de3636808064cb2f6aa3925a6b&oe=6080CE4A&_nc_sid=6136e7&ig_cache_key=MjUzMTI3MTkzNTIwMjQxNjQ2Mw%3D%3D.2-ccb7-4,36.58364,36.16877
14,2530632170622820025,2530632170622820025_45998148970,1615894884,1,1080,1350,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/161269876_802161060652015_1980352473387030220_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=2aI8aPjGtIAAX8jf-dp&ccb=7-4&oh=77da84e1d85307fd06166d8a6002fc87&oe=608335D3&_nc_sid=6136e7&ig_cache_key=MjUzMDYzMjE3MDYyMjgyMDAyNQ%3D%3D.2-ccb7-4,25.4330196,81.7975769
15,2529320130625541472,2529320130625541472_45998148970,1615738477,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/160620922_231341838725780_2577755190500609279_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=KOC8IrX82AUAX_rFPDM&ccb=7-4&oh=94fda9bd6ebbc26fec17dd2813fcff2d&oe=60839133&_nc_sid=6136e7&ig_cache_key=MjUyOTMyMDEzMDYyNTU0MTQ3Mg%3D%3D.2-ccb7-4,29.022863888889,79.487941666667
16,2528553577090500651,2528553577090500651_45998148970,1615647097,1,1076,1076,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/160017334_939145510161982_3761260596323324127_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=ioCRe9iD7u4AX_hvhGu&ccb=7-4&oh=8a799096038f7af6b8c9dd9a74e29679&oe=608291CC&_nc_sid=6136e7&ig_cache_key=MjUyODU1MzU3NzA5MDUwMDY1MQ%3D%3D.2-ccb7-4,28.414624337635,77.036051837335
