,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2540493826484621698,2540493826484621698_4617950866,1617070485,1,1080.0,1350.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165950076_874464863111986_2655442683456968075_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=d_M0Z1aGlgUAX8IptRC&ccb=7-4&oh=8fcc410c131e1a0a42ca59f31ba98a0b&oe=608CEEEF&_nc_sid=6136e7&ig_cache_key=MjU0MDQ5MzgyNjQ4NDYyMTY5OA%3D%3D.2-ccb7-4,31.6331,74.8656
1,2540071651625696389,2540071651625696389_4617950866,1617020158,1,1080.0,1243.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166254511_797479831181794_4204577523922729022_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=9xFvdDFJ12UAX9hr1a1&ccb=7-4&oh=d4b57b04e37ec638009ee7272eb9bfbd&oe=608EB343&_nc_sid=6136e7&ig_cache_key=MjU0MDA3MTY1MTYyNTY5NjM4OQ%3D%3D.2-ccb7-4,31.6331,74.8656
2,2539943319647224459,2539943319647224459_4617950866,1617004860,1,1080.0,1350.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165347404_270952951428667_5752666103378766415_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=PADFPcVFaTEAX8KEmjF&ccb=7-4&oh=d181566e9de3e9eb3d2fea79a22dc85d&oe=608DB9BA&_nc_sid=6136e7&ig_cache_key=MjUzOTk0MzMxOTY0NzIyNDQ1OQ%3D%3D.2-ccb7-4,31.6331,74.8656
3,2539777611051128862,2539777611051128862_4617950866,1616985106,1,1080.0,1253.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165670080_180221897114656_6046657751435964651_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=XOaVmc-95j4AX9DXKHK&ccb=7-4&oh=702b2deba450bf233dd659ad94b72838&oe=608C6D14&_nc_sid=6136e7&ig_cache_key=MjUzOTc3NzYxMTA1MTEyODg2Mg%3D%3D.2-ccb7-4,31.6331,74.8656
4,2539238358655201137,2539238358655201137_4617950866,1616920822,1,1080.0,1350.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165235597_1162299507562250_2145511384386918918_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=N8dI2y8QDbIAX8DASPw&ccb=7-4&oh=30c38df50c1c6cf013504e3aa28c637e&oe=608E546A&_nc_sid=6136e7&ig_cache_key=MjUzOTIzODM1ODY1NTIwMTEzNw%3D%3D.2-ccb7-4,31.6331,74.8656
5,2539087043300163207,2539087043300163207_4617950866,1616902784,8,,,,31.6331,74.8656
6,2538310029492206386,2538310029492206386_4617950866,1616810156,8,,,,31.6331,74.8656
7,2537569519878016015,2537569519878016015_4617950866,1616721881,1,1080.0,1286.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/164168974_874013443440093_1526646294974710572_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=_OsYLfpiqHcAX-68VoD&ccb=7-4&oh=b70082cba8fc69838fdd7bf8106e9375&oe=608DEE39&_nc_sid=6136e7&ig_cache_key=MjUzNzU2OTUxOTg3ODAxNjAxNQ%3D%3D.2-ccb7-4,31.6331,74.8656
8,2537058486700751531,2537058486700751531_4617950866,1616660961,1,1080.0,1229.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/163677574_5993939647298277_715040856817005936_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=ng9uCrLEDkgAX99IbLA&ccb=7-4&oh=a19562d12f89865d4d65fca15983d739&oe=608D051B&_nc_sid=6136e7&ig_cache_key=MjUzNzA1ODQ4NjcwMDc1MTUzMQ%3D%3D.2-ccb7-4,31.6331,74.8656
9,2537045824113883243,2537045824113883243_4617950866,1616659451,1,1080.0,1266.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/163869318_252645403191578_7475860669657304143_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=CwJi-6BRReQAX9b8FXf&ccb=7-4&oh=f6bf0f40f1f37c5bacf9331fdd124586&oe=608D8DD9&_nc_sid=6136e7&ig_cache_key=MjUzNzA0NTgyNDExMzg4MzI0Mw%3D%3D.2-ccb7-4,31.6331,74.8656
