,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2540498033119300070,2540498033119300070_4619309310,1617071711,2,480.0,600.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/166059085_371314960601309_8638383381202672433_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=1ljR1JYuM_MAX80dw9Y&ccb=7-4&oh=030c5a59aae9597246348f4eea69a937&oe=608DDEC9&_nc_sid=6136e7&ig_cache_key=MjU0MDQ5ODAzMzExOTMwMDA3MA%3D%3D.2-ccb7-4,,
1,2540497082505325122,2540497082505325122_4619309310,1617070917,2,480.0,600.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/166421786_206450507915142_8006896318928910814_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=5IusFd2bc1AAX9PRRi9&ccb=7-4&oh=433e0911c17105d165a52e3003450461&oe=608E6C4B&_nc_sid=6136e7&ig_cache_key=MjU0MDQ5NzA4MjUwNTMyNTEyMg%3D%3D.2-ccb7-4,,
2,2540496728917227808,2540496728917227808_4619309310,1617070831,1,720.0,900.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166457896_850890085641127_5389979720503401218_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=AWxshiamG3QAX_KO9OF&ccb=7-4&oh=f4287c2ae25689c13cfb270e067d7ad7&oe=608CFA72&_nc_sid=6136e7&ig_cache_key=MjU0MDQ5NjcyODkxNzIyNzgwOA%3D%3D.2-ccb7-4,,
3,2540496328017304970,2540496328017304970_4619309310,1617070784,1,720.0,720.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166297419_1321049084943598_2823480585731791707_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=tqCgZrK746QAX_0XVgb&ccb=7-4&oh=fb49b8b81ed4599c98120a790126001d&oe=608B58AC&_nc_sid=6136e7&ig_cache_key=MjU0MDQ5NjMyODAxNzMwNDk3MA%3D%3D.2-ccb7-4,,
4,2539912709665084692,2539912709665084692_4619309310,1617001211,1,750.0,750.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165987383_448853996440264_8979549091033403443_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=ENE2-mPivjoAX9kXfsZ&ccb=7-4&oh=2da684d5b70533ca6683930bbed1ecd9&oe=608D58B0&_nc_sid=6136e7&ig_cache_key=MjUzOTkxMjcwOTY2NTA4NDY5Mg%3D%3D.2-ccb7-4,,
5,2539386020333744982,2539386020333744982_4619309310,1616938425,1,750.0,750.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165062957_116573297176026_2936352212381190969_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=wJdea7oyxskAX-xPWcn&ccb=7-4&oh=524a734b40efb186715b063700c15bd2&oe=608D8B18&_nc_sid=6136e7&ig_cache_key=MjUzOTM4NjAyMDMzMzc0NDk4Mg%3D%3D.2-ccb7-4,,
6,2538665297055197355,2538665297055197355_4619309310,1616852508,1,750.0,938.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/164676800_269141184710589_4214875087325070800_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=Bg8mD6uLWGwAX_ceRVo&ccb=7-4&oh=845f30a69e869e1ae65334325628a703&oe=608B174B&_nc_sid=6136e7&ig_cache_key=MjUzODY2NTI5NzA1NTE5NzM1NQ%3D%3D.2-ccb7-4,,
7,2538664583763398838,2538664583763398838_4619309310,1616852423,1,750.0,938.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165292932_1182169865559835_6403203276907062401_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=83tCsHbwNBsAX_bpKuT&ccb=7-4&oh=afd470b50de829e0f1a4e792b2e27642&oe=608EF31C&_nc_sid=6136e7&ig_cache_key=MjUzODY2NDU4Mzc2MzM5ODgzOA%3D%3D.2-ccb7-4,30.8736,75.5035
8,2538517639846144335,2538517639846144335_4619309310,1616834906,1,679.0,679.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165165983_1015584125512713_7874200650200321424_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=oPOxAoAU69UAX9zIWrJ&ccb=7-4&oh=69f5b3eb58a14c171a33fb667f666c60&oe=608C4B85&_nc_sid=6136e7&ig_cache_key=MjUzODUxNzYzOTg0NjE0NDMzNQ%3D%3D.2-ccb7-4,,
9,2538517172038500330,2538517172038500330_4619309310,1616834850,1,750.0,406.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165050857_865230997659318_2222898921910307670_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=5xPo-XhVaEsAX8xPTOT&ccb=7-4&oh=86c904fe6279d6ed7d85cc10386c4dc4&oe=608E6CD7&_nc_sid=6136e7&ig_cache_key=MjUzODUxNzE3MjAzODUwMDMzMA%3D%3D.2-ccb7-4,,
10,2538516974226823232,2538516974226823232_4619309310,1616834826,1,720.0,720.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/164494995_162600705720479_7216524794271782269_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=tE55kBWjClwAX9gPvWC&ccb=7-4&oh=033d5fbdd6e7b75945688d39a1d04f20&oe=608B92BF&_nc_sid=6136e7&ig_cache_key=MjUzODUxNjk3NDIyNjgyMzIzMg%3D%3D.2-ccb7-4,,
11,2538516279423524831,2538516279423524831_4619309310,1616834788,2,480.0,600.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/164832690_1227007451065121_3305606347505722910_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=N3o4U8CjXVoAX85m7S6&ccb=7-4&oh=05069cdfb411942e775656e443e92612&oe=608CC552&_nc_sid=6136e7&ig_cache_key=MjUzODUxNjI3OTQyMzUyNDgzMQ%3D%3D.2-ccb7-4,,
12,2538515597580827086,2538515597580827086_4619309310,1616834706,2,480.0,600.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/165013108_450151729543653_6323072961414711847_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=YysiyEs6eIoAX9La8IO&ccb=7-4&oh=cb5342c45a3d5315e7ff19d2f84a64d6&oe=608D1113&_nc_sid=6136e7&ig_cache_key=MjUzODUxNTU5NzU4MDgyNzA4Ng%3D%3D.2-ccb7-4,,
13,2538514094359028852,2538514094359028852_4619309310,1616834523,2,480.0,600.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/164736659_728602451153661_3836359958935036892_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=J5Xf3wYbWZUAX9iP2hb&ccb=7-4&oh=ae64cc0ceba833d35a6dcaae3e1cb1e8&oe=608D9F2E&_nc_sid=6136e7&ig_cache_key=MjUzODUxNDA5NDM1OTAyODg1Mg%3D%3D.2-ccb7-4,,
14,2537733540701105972,2537733540701105972_4619309310,1616741615,2,480.0,1067.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/164953703_3717891871581377_1623877709491940169_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=hcg2Kln11D8AX8QkKGs&ccb=7-4&oh=997c565fd27ba7e224eabfec586b693a&oe=608B3FB3&_nc_sid=6136e7&ig_cache_key=MjUzNzczMzU0MDcwMTEwNTk3Mg%3D%3D.2-ccb7-4,,
15,2537680255726310664,2537680255726310664_4619309310,1616735104,2,480.0,1067.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/164529581_103203948484651_1991483598986987151_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=G9H6qNuJFvYAX-q6hBe&ccb=7-4&oh=0b340d33474340fbb870bfdcb95c2f17&oe=608BF31D&_nc_sid=6136e7&ig_cache_key=MjUzNzY4MDI1NTcyNjMxMDY2NA%3D%3D.2-ccb7-4,,
16,2537217944699947480,2537217944699947480_4619309310,1616679970,1,750.0,750.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/164410150_5527202040653218_4676835514958566029_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=XcHjFyk2kBgAX-LpzmU&ccb=7-4&oh=ca9031b20c43d47ec7d22b86dd437f62&oe=608B5C89&_nc_sid=6136e7&ig_cache_key=MjUzNzIxNzk0NDY5OTk0NzQ4MA%3D%3D.2-ccb7-4,,
17,2536897626735116590,2536897626735116590_4619309310,1616641785,1,1280.0,1600.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/164822737_437576447523113_5045340995667531517_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=vUkyhCOhEgoAX_w8TGo&ccb=7-4&oh=d77d6124fc395d8fa3d2860821dd831a&oe=608F0921&_nc_sid=6136e7&ig_cache_key=MjUzNjg5NzYyNjczNTExNjU5MA%3D%3D.2-ccb7-4,,
18,2536877937816599476,2536877937816599476_4619309310,1616639438,1,720.0,720.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/164116768_469213060912049_4196399635026915952_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=usuGYtAIhpcAX9Av6SS&ccb=7-4&oh=7cd546219c6cb69e3118bff4a7bdd0c6&oe=608CD366&_nc_sid=6136e7&ig_cache_key=MjUzNjg3NzkzNzgxNjU5OTQ3Ng%3D%3D.2-ccb7-4,,
