,pk,id,taken_at,media_type,width,height,url,lat,lng
0,1611006394382148359,1611006394382148359_4724697689,1506266949,1,612,612,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/21980693_1781981892099727_5025559074343747584_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=2p2Yibg8YUkAX_KnbJH&ccb=7-4&oh=758511fd1fde61120b56bb919e36e053&oe=60804DA1&ig_cache_key=MTYxMTAwNjM5NDM4MjE0ODM1OQ%3D%3D.2-ccb7-4,,
1,1611000271218382105,1611000271218382105_4724697689,1506266219,1,562,562,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/21911371_127638461295132_2992821658114326528_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=eu8jXfGyN1oAX9ENMmM&ccb=7-4&oh=864929e9642c8666fe24bf577a375563&oe=60811B2D&ig_cache_key=MTYxMTAwMDI3MTIxODM4MjEwNQ%3D%3D.2-ccb7-4,,
2,1607705871163650317,1607705871163650317_4724697689,1505873496,1,640,640,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/21827805_115216002505630_5966088373079638016_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=G3gSzg3ub4EAX8VftGY&ccb=7-4&oh=66113b7c01782aff26e42bad4f0bfbd8&oe=60817014&ig_cache_key=MTYwNzcwNTg3MTE2MzY1MDMxNw%3D%3D.2-ccb7-4,,
3,1607705806479082771,1607705806479082771_4724697689,1505873488,1,640,640,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/21820284_1501185479968807_8120545695053643776_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=B3BClUrEufMAX9nIE2o&ccb=7-4&oh=bf2ba71edb6236f09d2e161c8e3fff97&oe=607EF266&ig_cache_key=MTYwNzcwNTgwNjQ3OTA4Mjc3MQ%3D%3D.2-ccb7-4,,
4,1607705637289419000,1607705637289419000_4724697689,1505873468,1,640,640,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/21820184_483253095374029_8351764615188709376_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=u0CyeGN_f7oAX_GIAP5&ccb=7-4&oh=78ab6d90ecd835ef75a0c15767b3a634&oe=607EC37B&ig_cache_key=MTYwNzcwNTYzNzI4OTQxOTAwMA%3D%3D.2-ccb7-4,,
5,1604456454222571060,1604456454222571060_4724697689,1505486135,1,640,640,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/21576557_118062272174573_7942314443579326464_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=q8BP2QebQYoAX9yAYP4&ccb=7-4&oh=2f29173dad0dbcd9784dd701f8bda072&oe=607E72DF&ig_cache_key=MTYwNDQ1NjQ1NDIyMjU3MTA2MA%3D%3D.2-ccb7-4,,
6,1604456368155614557,1604456368155614557_4724697689,1505486125,1,640,640,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/21819603_138150860135677_2879149172462714880_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=b0cZJUlwJ9gAX9UigY3&ccb=7-4&oh=a7aec8d16b175ebd6ac7820397db6d1a&oe=60800831&ig_cache_key=MTYwNDQ1NjM2ODE1NTYxNDU1Nw%3D%3D.2-ccb7-4,,
7,1604456299343678437,1604456299343678437_4724697689,1505486117,1,640,640,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/21576905_1280850275358762_2756751623958036480_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=WNNLkaV-I_kAX_NHQ2f&ccb=7-4&oh=8f4d776482dd8f8360fc774bfc9134e8&oe=607F2DEF&ig_cache_key=MTYwNDQ1NjI5OTM0MzY3ODQzNw%3D%3D.2-ccb7-4,,
8,1604456236731325679,1604456236731325679_4724697689,1505486109,1,640,640,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/21689021_493291144367152_2249499824338501632_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=1TBUbpAEhdUAX-uLS6j&ccb=7-4&oh=e22192eb27f9112e25039fa89417d2a1&oe=607F0283&ig_cache_key=MTYwNDQ1NjIzNjczMTMyNTY3OQ%3D%3D.2-ccb7-4,,
9,1586724822090837047,1586724822090837047_4724697689,1503372360,1,937,1171,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/21041175_145923209327435_6275772226838986752_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=vhdKD5khuLgAX9_RM-M&ccb=7-4&oh=28553e63adfbff2fbaad3a1e4d8315ed&oe=6080C98D&ig_cache_key=MTU4NjcyNDgyMjA5MDgzNzA0Nw%3D%3D.2-ccb7-4,,
