,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2096988603171625465,2096988603171625465_5354927189,1564200543,1,720,720,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/66385122_2346030315480410_446250339727564418_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=7ShZBDL3H0EAX8balIU&ccb=7-4&oh=733aca479616db668d928e05fb30b862&oe=6082A12D&_nc_sid=6136e7&ig_cache_key=MjA5Njk4ODYwMzE3MTYyNTQ2NQ%3D%3D.2-ccb7-4,,
1,1996632976625427235,1996632976625427235_5354927189,1552237220,1,720,900,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/52801086_2167393103344599_5798557508614859862_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=gq7xsmfoTsIAX-AplRN&ccb=7-4&oh=f58145a1b7f3c24694e68fea73eeb0e3&oe=60809ADF&_nc_sid=6136e7&ig_cache_key=MTk5NjYzMjk3NjYyNTQyNzIzNQ%3D%3D.2-ccb7-4,19.0621,72.8764
2,1805758754223115079,1805758754223115079_5354927189,1529483239,1,720,882,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/34777324_216925119119946_5786296901720604672_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=9io0HxwklmQAX-OyN8f&ccb=7-4&oh=35faf4b38ae3f83d3cfd1596f0e7b8cd&oe=6080F496&_nc_sid=6136e7&ig_cache_key=MTgwNTc1ODc1NDIyMzExNTA3OQ%3D%3D.2-ccb7-4,,
3,1804204798724395293,1804204798724395293_5354927189,1529297993,1,688,688,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/35000984_170243537164378_6298605591539482624_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=jDZeAad7ODwAX9XJ-7i&ccb=7-4&oh=fb22f45a38af08bfece3acd5249760a8&oe=608358D3&_nc_sid=6136e7&ig_cache_key=MTgwNDIwNDc5ODcyNDM5NTI5Mw%3D%3D.2-ccb7-4,,
4,1795572855302097426,1795572855302097426_5354927189,1528268986,1,720,884,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/33638681_319812071884343_1895207276306759680_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=U600_5Qjp1cAX_HU9fw&ccb=7-4&oh=06098f4fabb3af34dc4f2e1921537316&oe=6083D0F3&_nc_sid=6136e7&ig_cache_key=MTc5NTU3Mjg1NTMwMjA5NzQyNg%3D%3D.2-ccb7-4,,
5,1795557309802285669,1795557309802285669_5354927189,1528267132,1,720,720,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/33941063_644508145891827_3902290101257895936_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=ZCsTAqIUizYAX8RvMqE&ccb=7-4&oh=cdcc0c0a055b8efb3ac295cc5c88774c&oe=608148A5&_nc_sid=6136e7&ig_cache_key=MTc5NTU1NzMwOTgwMjI4NTY2OQ%3D%3D.2-ccb7-4,,
6,1795507853044123643,1795507853044123643_5354927189,1528261237,8,,,,21.0,77.0
7,1794991599485160181,1794991599485160181_5354927189,1528199695,1,716,716,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/33790570_2124414294510999_6910183637132509184_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=4YDgzr2u7asAX_vV1Dv&ccb=7-4&oh=9f3fe67fd0e989f30b08db22f900b919&oe=6081C530&_nc_sid=6136e7&ig_cache_key=MTc5NDk5MTU5OTQ4NTE2MDE4MQ%3D%3D.2-ccb7-4,17.395,78.4676
8,1794245671610300606,1794245671610300606_5354927189,1528110773,1,720,831,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/33046625_201157970607791_5421272639165431808_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=Wf8nErXmZikAX9yvcJl&ccb=7-4&oh=576e7caef38760c819420cbb51db70e8&oe=6080D350&_nc_sid=6136e7&ig_cache_key=MTc5NDI0NTY3MTYxMDMwMDYwNg%3D%3D.2-ccb7-4,,
9,1794220123072946351,1794220123072946351_5354927189,1528107727,1,720,841,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/34393456_171489650186585_2491833467000586240_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=x5g1lVJVvzsAX8U_Qrj&ccb=7-4&oh=c5769f23a750401d6157f07149250197&oe=60837CA9&_nc_sid=6136e7&ig_cache_key=MTc5NDIyMDEyMzA3Mjk0NjM1MQ%3D%3D.2-ccb7-4,,
10,1793589153846533782,1793589153846533782_5354927189,1528032510,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/33351624_186939088630951_5995298699062804480_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=FUhre9jLm-8AX-FeKom&ccb=7-4&oh=fb697c1786a825ee9475a013fc59b44b&oe=60810D65&_nc_sid=6136e7&ig_cache_key=MTc5MzU4OTE1Mzg0NjUzMzc4Mg%3D%3D.2-ccb7-4,26.474305,72.924226685
11,1793568558221726834,1793568558221726834_5354927189,1528030055,1,720,900,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/33477646_476824736083645_7462860814760804352_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=RPfPi4U9UwoAX_kQZGu&ccb=7-4&oh=cdfef0a5c1f880b7204465a5a8707b14&oe=608226E0&_nc_sid=6136e7&ig_cache_key=MTc5MzU2ODU1ODIyMTcyNjgzNA%3D%3D.2-ccb7-4,21.0,77.0
12,1792805542005985047,1792805542005985047_5354927189,1527939096,1,640,426,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/32778499_476649119458698_7758297815322722304_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=sCAu9SCkiCkAX-kd5t3&ccb=7-4&oh=ca0031314739755bfb4e369d3a86d3d9&oe=60831027&_nc_sid=6136e7&ig_cache_key=MTc5MjgwNTU0MjAwNTk4NTA0Nw%3D%3D.2-ccb7-4,,
13,1792785805322531884,1792785805322531884_5354927189,1527936743,1,720,900,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/33535416_1724207160961911_5033173669107466240_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=_759HpdBGM8AX8Phypc&ccb=7-4&oh=d18c852b7a1b66a06b7fcc57107140e6&oe=60816CDE&_nc_sid=6136e7&ig_cache_key=MTc5Mjc4NTgwNTMyMjUzMTg4NA%3D%3D.2-ccb7-4,23.216666666667,72.683333333333
14,1789640648536594674,1789640648536594674_5354927189,1527562287,2,640,640,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/32491192_196884894287154_8328394121878175744_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=6cB_yHuPYYAAX85OmAa&ccb=7-4&oh=f62aa55d5b9c23bd81670172ac7e7e0e&oe=605B0E6B&_nc_sid=6136e7,,
15,1788233641048763161,1788233641048763161_5354927189,1527394131,2,640,336,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/32244154_233032234127615_8601067838720966656_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=SuFfaQOdPu4AX-jxYJ0&ccb=7-4&oh=62968cb58a6c098adc2dd69e645e909d&oe=605B0985&_nc_sid=6136e7,,
