,pk,id,taken_at,media_type,width,height,url,lat,lng
0,1601961850865338393,1601961850865338393_5444438668,1505188755,1,640,425,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/21480402_1673507602682035_6854948613949227008_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=Lm7B9NffLO8AX8l9yUW&ccb=7-4&oh=a9fa23fa97a1260a788b83ede83acd55&oe=60836929&_nc_sid=6136e7&ig_cache_key=MTYwMTk2MTg1MDg2NTMzODM5Mw%3D%3D.2-ccb7-4,18.96,72.82
1,1575837241736718595,1575837241736718595_5444438668,1502074459,1,640,798,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/20590008_1386388928135086_6248116928125075456_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=Uc_E9vRhZhIAX_XTplo&ccb=7-4&oh=0a07c2ac4a6d9c9322e4968193a09bb3&oe=608129DA&_nc_sid=6136e7&ig_cache_key=MTU3NTgzNzI0MTczNjcxODU5NQ%3D%3D.2-ccb7-4,18.96,72.82
2,1571478614880196880,1571478614880196880_5444438668,1501554870,1,612,612,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/20184805_1706758219630603_7055659990538780672_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=2jDqLdrHVLEAX_lbjLi&ccb=7-4&oh=635b25ba08470fa2cb61dd287d95a919&oe=6081A9EF&_nc_sid=6136e7&ig_cache_key=MTU3MTQ3ODYxNDg4MDE5Njg4MA%3D%3D.2-ccb7-4,18.96,72.82
3,1565910893660726971,1565910893660726971_5444438668,1500891146,1,612,407,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/20225930_119851185304229_8326166691708928000_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=G8AoSEoOhw0AX97KFCk&ccb=7-4&oh=68c371bc2a164c9d048adcc0e0c96fd9&oe=6083FEB0&_nc_sid=6136e7&ig_cache_key=MTU2NTkxMDg5MzY2MDcyNjk3MQ%3D%3D.2-ccb7-4,18.96,72.82
4,1565685729186305012,1565685729186305012_5444438668,1500864305,1,612,765,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/20213943_1575738622460563_5036166067311869952_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=D-tcO58QBU8AX_xkQUU&ccb=7-4&oh=6ec7b0b078b4efdcaf92ce842eb08a6a&oe=6081FF19&_nc_sid=6136e7&ig_cache_key=MTU2NTY4NTcyOTE4NjMwNTAxMg%3D%3D.2-ccb7-4,18.96,72.82
5,1565044260981388786,1565044260981388786_5444438668,1500787836,1,612,612,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/20184209_377999835951511_1646761096318550016_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=rqp0Eo0XBk8AX_6WlKm&ccb=7-4&oh=824d22df8193997f415ee42818a3428e&oe=60832566&_nc_sid=6136e7&ig_cache_key=MTU2NTA0NDI2MDk4MTM4ODc4Ng%3D%3D.2-ccb7-4,18.96,72.82
6,1564308567703407736,1564308567703407736_5444438668,1500700134,1,805,1006,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/20214421_256545824847650_2506134690189017088_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=5pIkLQvhaLYAX-eNFWj&ccb=7-4&oh=be0e58a4eabbb43e0f97394fd4fc8c50&oe=60836BB3&_nc_sid=6136e7&ig_cache_key=MTU2NDMwODU2NzcwMzQwNzczNg%3D%3D.2-ccb7-4,18.96,72.82
7,1562860027386951417,1562860027386951417_5444438668,1500527455,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/20067456_353048288446164_5792257607657848832_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=-8tyhzxslSsAX_l16Wu&ccb=7-4&oh=0ea7e89025c5b0f46e8f93bbb1505e86&oe=6083EBF5&_nc_sid=6136e7&ig_cache_key=MTU2Mjg2MDAyNzM4Njk1MTQxNw%3D%3D.2-ccb7-4,18.96,72.82
8,1561378024225351147,1561378024225351147_5444438668,1500350786,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/20180923_270557623351184_7465298032607625216_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=u54KbCbRYA0AX93QxUL&ccb=7-4&oh=3c8af275719b82a08c367572757f9208&oe=6081CF78&_nc_sid=6136e7&ig_cache_key=MTU2MTM3ODAyNDIyNTM1MTE0Nw%3D%3D.2-ccb7-4,18.96,72.82
9,1560649045877070040,1560649045877070040_5444438668,1500263885,1,640,640,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/20066942_471411723226242_6057910350051803136_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=t6dhZzsJJ4sAX-N9yuQ&ccb=7-4&oh=84c205f0e4c30bac12eae46ef40d7c34&oe=6082D6F1&_nc_sid=6136e7&ig_cache_key=MTU2MDY0OTA0NTg3NzA3MDA0MA%3D%3D.2-ccb7-4,18.96,72.82
