,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2303845771987377932,2303845771987377932_5452196632,1588859839,1,480,600,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/96252570_2754298531364552_6433564360006560529_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=onihCNiKIy8AX_U7XAW&ccb=7-4&oh=c89e5af975c0a6c3098c60e15a1b2ed0&oe=6081AE67&ig_cache_key=MjMwMzg0NTc3MTk4NzM3NzkzMg%3D%3D.2-ccb7-4,,
1,2284025574585718703,2284025574585718703_5452196632,1586497087,1,486,486,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/92828633_207114220738500_897932658277135311_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=DQPrM2A6UtwAX_RUmtY&ccb=7-4&oh=171c84ed0208722630087e4b6e2a0c3f&oe=607FDAFC&ig_cache_key=MjI4NDAyNTU3NDU4NTcxODcwMw%3D%3D.2-ccb7-4,,
2,2272443645415563466,2272443645415563466_5452196632,1585116414,1,500,625,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/90639511_260436701625580_2438098471701378152_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=ZHriRgqs2bMAX95jTYr&ccb=7-4&oh=fc2c0e66e65afaac45bfaf50d8d0dff9&oe=607F85CA&ig_cache_key=MjI3MjQ0MzY0NTQxNTU2MzQ2Ng%3D%3D.2-ccb7-4,,
3,2272442498692854703,2272442498692854703_5452196632,1585116277,1,480,581,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/91189466_1287557311633378_5130354134020361826_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=H_dza3UMc6MAX8WtSfW&ccb=7-4&oh=fec4a9c352949ab366fc5f409295e38f&oe=60809ED9&ig_cache_key=MjI3MjQ0MjQ5ODY5Mjg1NDcwMw%3D%3D.2-ccb7-4,,
4,2268736848036980679,2268736848036980679_5452196632,1584674529,1,1080,1350,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/90087791_2555019934753867_1090691336488358675_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=U67dz19rsTQAX9Q0W1E&ccb=7-4&oh=20578fe043589a09fc674133017f9239&oe=608213D6&ig_cache_key=MjI2ODczNjg0ODAzNjk4MDY3OQ%3D%3D.2-ccb7-4,,
5,2268237522554606316,2268237522554606316_5452196632,1584615005,1,1080,810,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/90085929_160940151657783_6082423684356815068_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=cle6_Xj5hOMAX8VwstW&ccb=7-4&oh=4daed51bd3845949e8ff05f74837644b&oe=60801C21&ig_cache_key=MjI2ODIzNzUyMjU1NDYwNjMxNg%3D%3D.2-ccb7-4,,
6,2268233277491185018,2268233277491185018_5452196632,1584614499,1,432,540,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/90094718_504482190225035_5381878416941600243_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=UsAQEJnpBgwAX_gRtkz&ccb=7-4&oh=00d86e12f5acd69bcc1883cc590fe944&oe=607F7BDA&ig_cache_key=MjI2ODIzMzI3NzQ5MTE4NTAxOA%3D%3D.2-ccb7-4,,
7,2267593394414166817,2267593394414166817_5452196632,1584538219,1,468,585,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/90087388_646069986190283_2244950283321055685_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=WJIfAmMj6O0AX83MQJg&ccb=7-4&oh=0c81cddfbe59dee4084dd2ea2283df59&oe=607F026B&ig_cache_key=MjI2NzU5MzM5NDQxNDE2NjgxNw%3D%3D.2-ccb7-4,,
8,2267309449000993146,2267309449000993146_5452196632,1584504370,1,1080,1055,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/90089977_3071636976202233_5106853496235511965_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=8wx-2GGrZ7EAX8YLe2V&ccb=7-4&oh=0905bcc545a596ae28db9faabbc0aa60&oe=607F46E0&ig_cache_key=MjI2NzMwOTQ0OTAwMDk5MzE0Ng%3D%3D.2-ccb7-4,,
9,2266576583027602566,2266576583027602566_5452196632,1584417005,1,750,820,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/90500267_787748665047992_1097416452087809112_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=rskPkBiRHwUAX9mDvvP&ccb=7-4&oh=f4803700dfb7bef5c8ef57ef16a8593e&oe=6081DB21&ig_cache_key=MjI2NjU3NjU4MzAyNzYwMjU2Ng%3D%3D.2-ccb7-4,,
