,pk,id,taken_at,media_type,width,height,url,lat,lng
0,1575885773333116568,1575885773333116568_5647143560,1502080245,1,720,900,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/20686428_1495667617138286_6236815907096625152_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=j7c0N77c8V8AX9uA0VM&ccb=7-4&oh=cc62e44a9abd24cd7c11587a88b015ca&oe=60841E51&_nc_sid=6136e7&ig_cache_key=MTU3NTg4NTc3MzMzMzExNjU2OA%3D%3D.2-ccb7-4,,
1,1567416123385647791,1567416123385647791_5647143560,1501070584,1,1080,928,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/20226016_106057296746598_2159195104693190656_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=nIL9qeImuQsAX9qjDXu&ccb=7-4&oh=7cef5632d6aeca9870064a5c4f85ba01&oe=6082A49D&_nc_sid=6136e7&ig_cache_key=MTU2NzQxNjEyMzM4NTY0Nzc5MQ%3D%3D.2-ccb7-4,,
2,1567413728614257422,1567413728614257422_5647143560,1501070298,1,1023,1279,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/20225509_580502179005590_1341481297729552384_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=1Ss0MZ1C8BwAX8itugi&ccb=7-4&oh=daf36965e587e2b5d93f3c060ea793bb&oe=60824E41&_nc_sid=6136e7&ig_cache_key=MTU2NzQxMzcyODYxNDI1NzQyMg%3D%3D.2-ccb7-4,,
3,1567401028295129791,1567401028295129791_5647143560,1501068784,1,720,716,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/20225281_1907986476136551_5926953283913515008_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=56-Rk7roe64AX8rXhTy&ccb=7-4&oh=1b585df1a993b397a2314b342017b9bc&oe=60831223&_nc_sid=6136e7&ig_cache_key=MTU2NzQwMTAyODI5NTEyOTc5MQ%3D%3D.2-ccb7-4,,
4,1554333382242928355,1554333382242928355_5647143560,1499510999,1,640,800,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/19765076_1772430882771779_283639103356928000_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=nK-uWRVdlgMAX_HTj1R&ccb=7-4&oh=ad79922dc1556b6b88ea6815771bbf23&oe=608157F3&_nc_sid=6136e7&ig_cache_key=MTU1NDMzMzM4MjI0MjkyODM1NQ%3D%3D.2-ccb7-4,,
5,1553430699990409153,1553430699990409153_5647143560,1499403391,1,612,612,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/19761630_149719078911631_1333897734104547328_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=O7H60bmoerIAX_cJURq&ccb=7-4&oh=d92df5c65e6e9d1b4b9003d0ef1555b8&oe=6082515F&_nc_sid=6136e7&ig_cache_key=MTU1MzQzMDY5OTk5MDQwOTE1Mw%3D%3D.2-ccb7-4,,
6,1552904264079015577,1552904264079015577_5647143560,1499340635,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/19764906_1236108736514883_5254988943031533568_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=CDa_WkrxHUcAX-vA28n&ccb=7-4&oh=034f381e91804e3f76264148ccc6d9b7&oe=60810C00&_nc_sid=6136e7&ig_cache_key=MTU1MjkwNDI2NDA3OTAxNTU3Nw%3D%3D.2-ccb7-4,,
7,1549199356813144281,1549199356813144281_5647143560,1498898976,1,640,640,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/19437057_1508159122539019_9128936563693060096_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=IRFwEGM9SisAX-TvvVl&ccb=7-4&oh=d839306502bbaa473595179edd70a05f&oe=60829201&_nc_sid=6136e7&ig_cache_key=MTU0OTE5OTM1NjgxMzE0NDI4MQ%3D%3D.2-ccb7-4,,
8,1548576298440240004,1548576298440240004_5647143560,1498824702,1,640,640,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/19534941_239962709833983_3929543627256102912_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=oG_JiiedYooAX-MSJsJ&ccb=7-4&oh=eb510aef8109515c1845e5c36c5d9e7d&oe=6080FCE0&_nc_sid=6136e7&ig_cache_key=MTU0ODU3NjI5ODQ0MDI0MDAwNA%3D%3D.2-ccb7-4,,
9,1547864277495181834,1547864277495181834_5647143560,1498739822,1,853,1067,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/19429257_820823804734766_3422896490312368128_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=XCsbX5I7kwgAX8Ae8_2&ccb=7-4&oh=3bc7222aae2573f9ab9c7d38e0352340&oe=6082C119&_nc_sid=6136e7&ig_cache_key=MTU0Nzg2NDI3NzQ5NTE4MTgzNA%3D%3D.2-ccb7-4,,
10,1546984882438038188,1546984882438038188_5647143560,1498634990,1,720,900,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/19533961_476882222656581_6249534125598834688_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=IUynyOSZigsAX8Pnwei&ccb=7-4&oh=54fd45eec1631f1710d28fb54c3c6ac7&oe=6081CE8D&_nc_sid=6136e7&ig_cache_key=MTU0Njk4NDg4MjQzODAzODE4OA%3D%3D.2-ccb7-4,,
11,1546972640044721565,1546972640044721565_5647143560,1498633531,1,720,720,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/19535436_251873961963196_3852235951094890496_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=YnTPrfaiuQgAX8ShAIT&ccb=7-4&oh=ca182b4e86c10f189eecd59ea8cbf73c&oe=60814650&_nc_sid=6136e7&ig_cache_key=MTU0Njk3MjY0MDA0NDcyMTU2NQ%3D%3D.2-ccb7-4,,
12,1546896183964518924,1546896183964518924_5647143560,1498624416,1,1080,719,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/19534156_824520377704231_7528666864856072192_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=ONM2M0ytvQIAX9l8JL7&ccb=7-4&oh=19be15557006779c3dc51bc7eefb98ec&oe=6084010B&_nc_sid=6136e7&ig_cache_key=MTU0Njg5NjE4Mzk2NDUxODkyNA%3D%3D.2-ccb7-4,,
13,1546577404487482417,1546577404487482417_5647143560,1498586415,1,612,610,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/19437171_484887151870135_6386199808863895552_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=UzXbDsXfzRIAX_HK0BO&ccb=7-4&oh=40a9101979cdbe11903ab56b95b5e588&oe=6082DFEF&_nc_sid=6136e7&ig_cache_key=MTU0NjU3NzQwNDQ4NzQ4MjQxNw%3D%3D.2-ccb7-4,,
14,1546569209421466092,1546569209421466092_5647143560,1498585438,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/19436592_1899665430292622_3915899448164614144_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=4CvLpBduiAgAX_nC-BQ&ccb=7-4&oh=28122ca28aa82952a8071dc418ae73ca&oe=60823FAC&_nc_sid=6136e7&ig_cache_key=MTU0NjU2OTIwOTQyMTQ2NjA5Mg%3D%3D.2-ccb7-4,,
15,1546555721135279416,1546555721135279416_5647143560,1498583830,1,720,900,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/19428896_324172474692654_4937967476949385216_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=3tlkrLJGs0UAX9pCl6a&ccb=7-4&oh=04a63e760f6caf66774c1a85887c547d&oe=60827BB4&_nc_sid=6136e7&ig_cache_key=MTU0NjU1NTcyMTEzNTI3OTQxNg%3D%3D.2-ccb7-4,,
16,1545451753999041242,1545451753999041242_5647143560,1498452227,1,720,900,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/19424606_1708758089429855_5631651888354033664_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=wfoa3lfXTmoAX_daVhm&ccb=7-4&oh=c9a1a295fb28541843fbf5a65b5c9ae0&oe=60845FCA&_nc_sid=6136e7&ig_cache_key=MTU0NTQ1MTc1Mzk5OTA0MTI0Mg%3D%3D.2-ccb7-4,,
17,1545144065570264203,1545144065570264203_5647143560,1498415548,1,1080,720,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/19533939_255835204896179_6333792489069084672_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=TY3MnQGAAB0AX_dciH_&ccb=7-4&oh=ba678db15b3a3aed42ee7d341599dfcd&oe=608394B6&_nc_sid=6136e7&ig_cache_key=MTU0NTE0NDA2NTU3MDI2NDIwMw%3D%3D.2-ccb7-4,,
18,1544897548808825454,1544897548808825454_5647143560,1498386160,1,1034,1034,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/19429485_1516133911784975_3611458692911726592_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=z8ea8vpKj1IAX-ubhal&ccb=7-4&oh=4ed2b3c86a0f2273a5d07541d321340c&oe=6080FEED&_nc_sid=6136e7&ig_cache_key=MTU0NDg5NzU0ODgwODgyNTQ1NA%3D%3D.2-ccb7-4,,
19,1544893332434399920,1544893332434399920_5647143560,1498385658,1,750,750,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/19425186_129224744327795_3181972855348789248_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=r3ZcDECn1LUAX-4yecM&ccb=7-4&oh=44cac36f2caf73a739c20e2c41c46f6c&oe=608129BE&_nc_sid=6136e7&ig_cache_key=MTU0NDg5MzMzMjQzNDM5OTkyMA%3D%3D.2-ccb7-4,,
20,1544769546804456435,1544769546804456435_5647143560,1498370901,1,853,853,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/19424700_241154229718645_4964867733297561600_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=JYlMCVbkSIwAX-dAwj6&ccb=7-4&oh=d7b2d02aa39669479e91f662240ff1ca&oe=60813065&_nc_sid=6136e7&ig_cache_key=MTU0NDc2OTU0NjgwNDQ1NjQzNQ%3D%3D.2-ccb7-4,,
