,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2448463841097836595,2448463841097836595_5707180437,1606099656,1,512,512,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/126820603_423795459025854_7071118702124078856_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=cyZkuRCpIJAAX_wtEnK&ccb=7-4&oh=dc3e7491e36402c818f962a19be120ca&oe=607F6AF0&ig_cache_key=MjQ0ODQ2Mzg0MTA5NzgzNjU5NQ%3D%3D.2-ccb7-4,,
1,2298789010912621284,2298789010912621284_5707180437,1588257026,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/94942501_233755401185572_4606622645330770593_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=w9b86cvIVPYAX9vuyeu&ccb=7-4&oh=70103478c388ab8fdff7ab8837b10ae7&oe=608147FF&ig_cache_key=MjI5ODc4OTAxMDkxMjYyMTI4NA%3D%3D.2-ccb7-4,,
2,2295569043027207379,2295569043027207379_5707180437,1587873176,1,500,500,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/94691560_2808979685896989_1354297420055388540_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=LLCoSFKqSegAX9POsm1&ccb=7-4&oh=1f8fab9908264b1bd4314506c47a1b69&oe=60809987&ig_cache_key=MjI5NTU2OTA0MzAyNzIwNzM3OQ%3D%3D.2-ccb7-4,,
3,2295195034993489091,2295195034993489091_5707180437,1587828591,1,540,540,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/94358550_151106583061018_8297255804169950414_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=oojlMaXgtucAX8B9KLa&ccb=7-4&oh=b1879c8649ac82a601a8bdfe8f9dd442&oe=6080E272&ig_cache_key=MjI5NTE5NTAzNDk5MzQ4OTA5MQ%3D%3D.2-ccb7-4,,
4,2295185736062068034,2295185736062068034_5707180437,1587827482,1,673,673,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/94358793_667238414059663_7283138806577910245_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=62LLeS7le-QAX_021DV&ccb=7-4&oh=f7752cd8cd38864be90dbfed6f19615f&oe=607EE64A&ig_cache_key=MjI5NTE4NTczNjA2MjA2ODAzNA%3D%3D.2-ccb7-4,,
5,2295179075775742076,2295179075775742076_5707180437,1587826688,1,720,900,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/94228494_510144862986365_3357012998155938857_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=--oC3Ou_7B4AX-GBJLB&ccb=7-4&oh=d29fc35777379178fc20301c5a39c4d3&oe=607F4E83&ig_cache_key=MjI5NTE3OTA3NTc3NTc0MjA3Ng%3D%3D.2-ccb7-4,,
6,2295086181974871957,2295086181974871957_5707180437,1587815626,2,480,600,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/94425216_1539941912833209_3096217687351629984_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=5YaLlcUZJ5wAX_g4x52&ccb=7-4&oh=dfdacf3b3a55d620688f4ed5794c8fd6&oe=608084D1&ig_cache_key=MjI5NTA4NjE4MTk3NDg3MTk1Nw%3D%3D.2-ccb7-4,,
7,2294983204236745837,2294983204236745837_5707180437,1587803351,2,480,601,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/94424152_1738781352927657_6689054422336081592_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=OeFoBosXUasAX8G3-Lg&ccb=7-4&oh=ee85608f869cb587b198d07cb340ea82&oe=607DE7D5&ig_cache_key=MjI5NDk4MzIwNDIzNjc0NTgzNw%3D%3D.2-ccb7-4,,
8,2288332929052880556,2288332929052880556_5707180437,1587010564,1,707,707,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/93863049_210590983721222_2874147722648270243_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=bnrrkW0vVPwAX-1ofPp&ccb=7-4&oh=28b85ca30be4f200b156ed90793880fe&oe=607F02A5&ig_cache_key=MjI4ODMzMjkyOTA1Mjg4MDU1Ng%3D%3D.2-ccb7-4,,
9,2281123371305796824,2281123371305796824_5707180437,1586151118,1,750,938,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/91806386_555547855080171_4867459574031071046_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=jcotaoeU4lIAX_kPc92&ccb=7-4&oh=1905b4030c20228c7571d9eeb3527392&oe=60811BD0&ig_cache_key=MjI4MTEyMzM3MTMwNTc5NjgyNA%3D%3D.2-ccb7-4,,
10,2096648388056823716,2096648388056823716_5707180437,1564159986,1,540,665,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/66031528_2132835653682171_8929539913551903190_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=7LHZaB8gdUAAX96Vvpp&ccb=7-4&oh=84ae8ea77fdb166d76689eeafbc90c91&oe=60810BAE&ig_cache_key=MjA5NjY0ODM4ODA1NjgyMzcxNg%3D%3D.2-ccb7-4,,
11,2058046105236870782,2058046105236870782_5707180437,1559558340,2,480,480,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/61859616_118122462746205_7499221372826028060_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=Moz8QmSNPWoAX_ESAdq&ccb=7-4&oh=4d098cea60cf22807816041581796f3c&oe=60817648&ig_cache_key=MjA1ODA0NjEwNTIzNjg3MDc4Mg%3D%3D.2-ccb7-4,,
12,2058045937867450871,2058045937867450871_5707180437,1559558215,1,540,647,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/61561053_374359666516974_1977860691625483332_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=DA8Tg4YfMosAX-tkg5q&ccb=7-4&oh=a890d614a4b5da4d725737c095fdbc04&oe=608065B8&ig_cache_key=MjA1ODA0NTkzNzg2NzQ1MDg3MQ%3D%3D.2-ccb7-4,,
13,2056746660113159560,2056746660113159560_5707180437,1559403329,1,540,675,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/61162756_821326188247198_7851306870159899897_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=ufZ-YWKBQngAX8kLgTA&ccb=7-4&oh=0c491e351ebc5c34cc744ddc7376674f&oe=608199C1&ig_cache_key=MjA1Njc0NjY2MDExMzE1OTU2MA%3D%3D.2-ccb7-4,,
14,2056102743424564834,2056102743424564834_5707180437,1559326569,1,535,535,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/60940691_140522497010687_267763359669271103_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=JbxcMLfkqWAAX-xkvtb&ccb=7-4&oh=358326c82b5147ff10c408da4b917c9e&oe=607DE58C&ig_cache_key=MjA1NjEwMjc0MzQyNDU2NDgzNA%3D%3D.2-ccb7-4,,
15,2056102321292951684,2056102321292951684_5707180437,1559326518,1,514,514,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/61691486_2281642468757143_8723295833302478373_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=5ez2T8q0lxAAX8PO0aR&ccb=7-4&oh=b42dd4672784589e8513b29f363e7355&oe=6080ADF0&ig_cache_key=MjA1NjEwMjMyMTI5Mjk1MTY4NA%3D%3D.2-ccb7-4,,
16,2056101625206395979,2056101625206395979_5707180437,1559326435,1,540,669,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/61076825_433415294109425_1907076841007878083_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=QYHBgxCrcYMAX89TnFr&ccb=7-4&oh=99d49575cdd49f5ca86fe8211bd510d4&oe=608050C5&ig_cache_key=MjA1NjEwMTYyNTIwNjM5NTk3OQ%3D%3D.2-ccb7-4,,
17,2056100651431381897,2056100651431381897_5707180437,1559326319,1,527,527,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/61372108_434688193984003_9134798072570873241_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=a2QSwUtoxCAAX8IwDDA&ccb=7-4&oh=1ddfe984b2fc678cd595f10ce0a08672&oe=607E0324&ig_cache_key=MjA1NjEwMDY1MTQzMTM4MTg5Nw%3D%3D.2-ccb7-4,,
18,2051793432414229698,2051793432414229698_5707180437,1558812859,1,480,480,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/59759251_656712931433884_38481798165802524_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=v5VbLzPlqZEAX9ag0js&ccb=7-4&oh=92a50eb140c31a03c44f666ca33ea002&oe=608026E2&ig_cache_key=MjA1MTc5MzQzMjQxNDIyOTY5OA%3D%3D.2-ccb7-4,,
19,2037535697203759870,2037535697203759870_5707180437,1557113204,1,480,599,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/58779188_2373561552878829_5894862489272754281_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=AonEEbQC3-sAX8dnhdU&ccb=7-4&oh=a13f7a39a06f62dc7a7b9a1ada1d8cbc&oe=607F29E2&ig_cache_key=MjAzNzUzNTY5NzIwMzc1OTg3MA%3D%3D.2-ccb7-4,,
20,2034320448874951515,2034320448874951515_5707180437,1556729917,1,540,668,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/59837560_783151035402581_2385852447283864620_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=VXwi1eybA7wAX_lI33w&ccb=7-4&oh=b25384df3b4c687571fd9e3200e68ac2&oe=607E3A7B&ig_cache_key=MjAzNDMyMDQ0ODg3NDk1MTUxNQ%3D%3D.2-ccb7-4,,
21,2022728453727456088,2022728453727456088_5707180437,1555348043,1,480,600,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/55869115_2316817618565482_7660958429039617296_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=_tD8B34ftoAAX9HjbaC&ccb=7-4&oh=13398254d92e33f53df3f0e63f658712&oe=607FF7A0&ig_cache_key=MjAyMjcyODQ1MzcyNzQ1NjA4OA%3D%3D.2-ccb7-4,,
22,2020931845100845024,2020931845100845024_5707180437,1555133871,1,540,675,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/54800761_812755999102732_5096738645002344360_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=6fawEhzM10UAX8-afTl&ccb=7-4&oh=0438ac5ea9d9313ce88a5422bc29bf65&oe=607E5410&ig_cache_key=MjAyMDkzMTg0NTEwMDg0NTAyNA%3D%3D.2-ccb7-4,,
23,2018773953312611996,2018773953312611996_5707180437,1554876630,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/54731854_2621439194539939_803123235978471208_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=7319oreLegUAX_2aDeo&ccb=7-4&oh=fd9d44d8712c43145d07d218e88649ae&oe=60816068&ig_cache_key=MjAxODc3Mzk1MzMxMjYxMTk5Ng%3D%3D.2-ccb7-4,,
24,2013546084919423998,2013546084919423998_5707180437,1554253419,1,1080,1339,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/54510997_683326645418297_7437341962976823345_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=I9N6lPw_qHYAX8Q3OBq&ccb=7-4&oh=ef7b9c0dee0c885c8f9450b56db9303e&oe=607DEB1F&ig_cache_key=MjAxMzU0NjA4NDkxOTQyMzk5OA%3D%3D.2-ccb7-4,,
