,pk,id,taken_at,media_type,width,height,url,lat,lng
0,1872729454722062691,1872729454722062691_5960828233,1537466769,1,640.0,640.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/41312638_2185851088325333_1484979525063574452_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=yJjiQ7y3T7EAX8xYg8U&ccb=7-4&oh=65b472cf201a68940af06bdb93d0a2b5&oe=6080D871&ig_cache_key=MTg3MjcyOTQ1NDcyMjA2MjY5MQ%3D%3D.2-ccb7-4,,
1,1818682634140391792,1818682634140391792_5960828233,1531023886,1,835.0,930.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/36816646_2113474938908896_208733705483583488_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=FqS_x7m0_PEAX8r7Z5C&ccb=7-4&oh=a372c50a7adf579c06a047bf2b595572&oe=607F1785&ig_cache_key=MTgxODY4MjYzNDE0MDM5MTc5Mg%3D%3D.2-ccb7-4,,
2,1816642671509055488,1816642671509055488_5960828233,1530780829,2,640.0,640.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/35998971_481877842254087_671894818246361088_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=L27Je7k8sXkAX9JdZYt&ccb=7-4&oh=654a4fd038f8fe4c642e75cb9e77a6d9&oe=60586631,,
3,1815770276921596569,1815770276921596569_5960828233,1530676760,2,640.0,640.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/34983182_255211005060142_5810372856294408192_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=hB0V-GPqtmAAX-aIup3&ccb=7-4&oh=1857a5dfb0c9f1e947dcc89be8f9705a&oe=6058F56F,,
4,1815768861075391827,1815768861075391827_5960828233,1530676606,2,640.0,640.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/36045371_403501746807694_1102532140836323328_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=15MbRvlgmM0AX8DQA0E&ccb=7-4&oh=c29e08b7b248ad69c9280b5facb77b6f&oe=6058F118,,
5,1813979180826623315,1813979180826623315_5960828233,1530463229,2,640.0,640.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/36135747_360724260998418_7465911577275793408_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=n_eLC6xUmtIAX8HhbCw&ccb=7-4&oh=f35209169e203ab9e6048955fa2d7dfc&oe=60586C37,,
6,1813843021244790975,1813843021244790975_5960828233,1530446959,1,1080.0,1142.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/35616522_163199867881037_2231822104020385792_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=fedraIxs5IQAX_JPeYv&ccb=7-4&oh=2765668ab4b842c606d9e61e2349a73e&oe=60810AA2&ig_cache_key=MTgxMzg0MzAyMTI0NDc5MDk3NQ%3D%3D.2-ccb7-4,,
7,1789174039472717746,1789174039472717746_5960828233,1527506187,1,1080.0,1350.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/32738082_597057390650083_4493054834118754304_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=0Z7uwrGisdgAX-9GilS&ccb=7-4&oh=a6a46607c28de1c8e20301630e84451f&oe=607E438D&ig_cache_key=MTc4OTE3NDAzOTQ3MjcxNzc0Ng%3D%3D.2-ccb7-4,,
8,1777300993818591245,1777300993818591245_5960828233,1526090810,1,1054.0,1054.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/31298032_187332332082051_5938471063351459840_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=OxonpwEAmGoAX--aqoe&ccb=7-4&oh=6e3a9af772b0d7f1dac294c5f9db315d&oe=607E9E45&ig_cache_key=MTc3NzMwMDk5MzgxODU5MTI0NQ%3D%3D.2-ccb7-4,,
9,1773895999069281123,1773895999069281123_5960828233,1525684903,1,1032.0,1032.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/32006481_611297585880357_6523422841445023744_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=sq-3KEHu3OMAX9WLo8w&ccb=7-4&oh=fab2bdb07cffba5013162ea0c2eba087&oe=608030EF&ig_cache_key=MTc3Mzg5NTk5OTA2OTI4MTEyMw%3D%3D.2-ccb7-4,,
10,1772478851339786448,1772478851339786448_5960828233,1525515966,1,612.0,612.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/30957236_2077194915825687_6616466002173493248_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=o_gwRJAnIYUAX8BtOXA&ccb=7-4&oh=534b0ec37668b58bcd48fa696677c311&oe=6081320A&ig_cache_key=MTc3MjQ3ODg1MTMzOTc4NjQ0OA%3D%3D.2-ccb7-4,,
11,1771625505561462427,1771625505561462427_5960828233,1525414239,1,1064.0,1064.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/31157006_1683210921747850_5789341196014845952_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=lZXO_NRJF2UAX_6DVXA&ccb=7-4&oh=0eabe38028e47558e7bf26ff99f1afbe&oe=607EE8D6&ig_cache_key=MTc3MTYyNTUwNTU2MTQ2MjQyNw%3D%3D.2-ccb7-4,,
12,1767464357945605271,1767464357945605271_5960828233,1524918192,1,1080.0,1017.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/30841527_225547151550045_2243701562654326784_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=Q8V5z89Bl14AX_J6bJu&ccb=7-4&oh=587963781c53f31179616d588334897c&oe=60814763&ig_cache_key=MTc2NzQ2NDM1Nzk0NTYwNTI3MQ%3D%3D.2-ccb7-4,,
13,1766724860777669760,1766724860777669760_5960828233,1524830037,1,1038.0,1038.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/30903700_622927878050301_7698165322536189952_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=6O2fmGqkKw8AX98YLWI&ccb=7-4&oh=541173c37d53fef656496ab0607ed4aa&oe=60811FF9&ig_cache_key=MTc2NjcyNDg2MDc3NzY2OTc2MA%3D%3D.2-ccb7-4,,
14,1764461763262165381,1764461763262165381_5960828233,1524560254,1,612.0,765.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/30900009_2122789474599120_1567556406117138432_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=TookChjVMXcAX-VRiXp&ccb=7-4&oh=43e4ba03128b4de8155767f19a4e0ebd&oe=60811972&ig_cache_key=MTc2NDQ2MTc2MzI2MjE2NTM4MQ%3D%3D.2-ccb7-4,,
15,1763769326973888597,1763769326973888597_5960828233,1524477710,1,640.0,798.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/30604105_1521585714634433_3385461602605072384_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=yK1naVRmDkoAX9Tal20&ccb=7-4&oh=0c3cdda1da09095cc1d4d61ce9896a3b&oe=607FF9F0&ig_cache_key=MTc2Mzc2OTMyNjk3Mzg4ODU5Nw%3D%3D.2-ccb7-4,,
16,1762815440490495572,1762815440490495572_5960828233,1524363997,8,,,,,
17,1761680443524106856,1761680443524106856_5960828233,1524228695,1,612.0,765.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/30087927_1974866832829716_4258956035332505600_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=Aj9WX2SodhUAX_2-Vl9&ccb=7-4&oh=6fdc4c610465c97146d77d77351ff378&oe=607EF696&ig_cache_key=MTc2MTY4MDQ0MzUyNDEwNjg1Ng%3D%3D.2-ccb7-4,,
18,1761030388261835482,1761030388261835482_5960828233,1524151203,8,,,,,
19,1761016814520988992,1761016814520988992_5960828233,1524149585,1,640.0,554.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/30086714_419614375130641_333466204368797696_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=XDthJf7ESCcAX_zzyOq&ccb=7-4&oh=b4e21bff8b97b6120a5cfdfa4c8f3738&oe=60813E09&ig_cache_key=MTc2MTAxNjgxNDUyMDk4ODk5Mg%3D%3D.2-ccb7-4,,
20,1760274715258391583,1760274715258391583_5960828233,1524061119,1,1080.0,1350.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/30602478_241998789681949_6511111884626722816_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=xuCymbDvuh8AX-TFPSz&ccb=7-4&oh=7c515fb5630cc3b0f62e65a845e329d0&oe=607E481F&ig_cache_key=MTc2MDI3NDcxNTI1ODM5MTU4Mw%3D%3D.2-ccb7-4,,
