,pk,id,taken_at,media_type,width,height,url,lat,lng
0,1756581642153276333,1756581642153276333_6007792589,1523620871,1,835,835,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/29740102_1662694693810082_4111105673113108480_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=eFeXzo0HErAAX8ftwtb&ccb=7-4&oh=b44a06e3af71c9657536ec5ae43a4c1b&oe=607FC0F6&ig_cache_key=MTc1NjU4MTY0MjE1MzI3NjMzMw%3D%3D.2-ccb7-4,,
1,1752913427498920751,1752913427498920751_6007792589,1523183586,1,1080,1187,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/30085404_369801660173626_3269332189501718528_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=lWCYFeDh_ZEAX9OzLox&ccb=7-4&oh=f76e1f1803a5a10bf629a6393dd47776&oe=6080CB2D&ig_cache_key=MTc1MjkxMzQyNzQ5ODkyMDc1MQ%3D%3D.2-ccb7-4,28.6139,77.2089
2,1752120191842864695,1752120191842864695_6007792589,1523089024,1,1065,1066,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/29715696_550597028673874_5340910395148206080_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=m7T915mtV9QAX8L6FeY&ccb=7-4&oh=f5d2f852a34458f5f71ccefefb4ff165&oe=607F30E9&ig_cache_key=MTc1MjEyMDE5MTg0Mjg2NDY5NQ%3D%3D.2-ccb7-4,28.6139,77.2089
3,1631905422087820121,1631905422087820121_6007792589,1508758307,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/22709473_208467513028177_6093697937412456448_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=8sfGZbjo0VoAX8mvL31&ccb=7-4&oh=17ac0c2b53d352f2ea1079fb49bf9aae&oe=608162E3&ig_cache_key=MTYzMTkwNTQyMjA4NzgyMDEyMQ%3D%3D.2-ccb7-4,28.6139,77.2089
4,1631893568875726510,1631893568875726510_6007792589,1508756894,1,640,800,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/22709051_182444672326079_5627512703816826880_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=iPj9RHY94GcAX_FD79D&ccb=7-4&oh=b67ac5abf8468308e10a67799c6c11aa&oe=607FF92B&ig_cache_key=MTYzMTg5MzU2ODg3NTcyNjUxMA%3D%3D.2-ccb7-4,28.6139,77.2089
5,1609998526032861951,1609998526032861951_6007792589,1506146802,1,1080,1231,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/21909258_276559782847998_6312640123028635648_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=GSn39zcm95EAX-YVr0I&ccb=7-4&oh=8e778c9767a4d7f7745178469ef71b28&oe=6081ECFE&ig_cache_key=MTYwOTk5ODUyNjAzMjg2MTk1MQ%3D%3D.2-ccb7-4,28.6139,77.2089
6,1609260004594236005,1609260004594236005_6007792589,1506058763,1,1080,1326,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/21980288_1684444481575188_8796100048774496256_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=pjywCPa1LlsAX_-Exp0&ccb=7-4&oh=ad0c13aebd2ddedc7b97eb032694c8b7&oe=608088C9&ig_cache_key=MTYwOTI2MDAwNDU5NDIzNjAwNQ%3D%3D.2-ccb7-4,28.6139,77.2089
7,1609257210189631327,1609257210189631327_6007792589,1506058430,1,712,712,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/21879734_353804238376853_7817194233701335040_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=X0phyyVDXMoAX9-FI38&ccb=7-4&oh=3ecdaf2fa038718effe0f7d23b97a8c3&oe=6081CA5D&ig_cache_key=MTYwOTI1NzIxMDE4OTYzMTMyNw%3D%3D.2-ccb7-4,28.6139,77.2089
8,1608628303379618096,1608628303379618096_6007792589,1505983458,1,1080,1236,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/21820226_502438490106921_3049321141144387584_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=IJIukZAiAGMAX__2mYM&ccb=7-4&oh=c0400b359dbff308f544347e6d30b683&oe=6080F17A&ig_cache_key=MTYwODYyODMwMzM3OTYxODA5Ng%3D%3D.2-ccb7-4,28.6139,77.2089
9,1608626351593901563,1608626351593901563_6007792589,1505983226,1,1080,1106,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/21827096_1451814914872349_8721702170006650880_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=NDU5Q4ku6SoAX93Hxju&ccb=7-4&oh=a37dd31babde022110b74cb1231f4c7b&oe=607F6BCA&ig_cache_key=MTYwODYyNjM1MTU5MzkwMTU2Mw%3D%3D.2-ccb7-4,28.6139,77.2089
10,1607225269038789957,1607225269038789957_6007792589,1505816204,1,1074,1074,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/21820490_686491538211616_377700201399320576_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=I4XLIyqvwWkAX_HJS55&ccb=7-4&oh=8ae75e8c0b2ab9719dcad722e8db65cb&oe=6080E97F&ig_cache_key=MTYwNzIyNTI2OTAzODc4OTk1Nw%3D%3D.2-ccb7-4,28.6139,77.2089
11,1607222297022001420,1607222297022001420_6007792589,1505815849,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/21820073_347154239074352_7546163195820376064_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=keDiZKy-EGsAX8PeiHZ&ccb=7-4&oh=a15ad8a201f237e02c03b6edd4d48755&oe=60828021&ig_cache_key=MTYwNzIyMjI5NzAyMjAwMTQyMA%3D%3D.2-ccb7-4,28.6139,77.2089
