,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2020920542601958680,2020920542601958680_6010223715,1555132523,1,750,750,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/56349306_287543792139923_1408967616108828966_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=yh0bQxvJGBoAX8jG3uk&ccb=7-4&oh=df8f2c2f7c37fde6993e382bedb125a2&oe=6080C5A5&ig_cache_key=MjAyMDkyMDU0MjYwMTk1ODY4MA%3D%3D.2-ccb7-4,,
1,1724564965715039445,1724564965715039445_6010223715,1519804186,1,480,480,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/28156060_336924976820165_9115555511477993472_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=8SKlfz47WdwAX8fL4m1&ccb=7-4&oh=67a173fe96a844da2a5711da80df3a55&oe=607E9D7C&ig_cache_key=MTcyNDU2NDk2NTcxNTAzOTQ0NQ%3D%3D.2-ccb7-4,29.99084,75.39997
2,1712456305446582120,1712456305446582120_6010223715,1518360721,1,480,600,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/27573942_148551415825463_8715866649481183232_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=5izLAc2yOGAAX9IJO8N&ccb=7-4&oh=1ee744cb89390c5b5d7c0c0508c4c324&oe=60815EF6&ig_cache_key=MTcxMjQ1NjMwNTQ0NjU4MjEyMA%3D%3D.2-ccb7-4,29.99084,75.39997
3,1697206608389811402,1697206608389811402_6010223715,1516542815,1,552,690,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/26341011_592758954388799_908026429348773888_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=tqa7uNlm594AX_gwK9c&ccb=7-4&oh=c0f0f3901d2b6c1d00173ba436013475&oe=607E2C77&ig_cache_key=MTY5NzIwNjYwODM4OTgxMTQwMg%3D%3D.2-ccb7-4,29.99084,75.39997
4,1694919238688911304,1694919238688911304_6010223715,1516270140,1,480,272,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/26871604_152256198892044_8036249454266810368_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=1KDvEI7fhg4AX-4K7Z9&ccb=7-4&oh=567706fc602791df842be10c51e6a6ff&oe=60809A0E&ig_cache_key=MTY5NDkxOTIzODY4ODkxMTMwNA%3D%3D.2-ccb7-4,29.99084,75.39997
5,1680567340590515960,1680567340590515960_6010223715,1514559260,1,612,612,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e15/26068270_140806163302865_6344743100895723520_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=3drUbMl034oAX8eF2Tz&ccb=7-4&oh=600485a52c93db3dddd15ca0724079a7&oe=607EA9A1&ig_cache_key=MTY4MDU2NzM0MDU5MDUxNTk2MA%3D%3D.2-ccb7-4,29.99084,75.39997
6,1679492548537885616,1679492548537885616_6010223715,1514431135,1,552,690,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/26066423_205455036685068_7874947494994509824_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=8kDRDOgHFXIAX_txR_c&ccb=7-4&oh=f5cf942f656cbb08f748d2748ce01568&oe=607EC31E&ig_cache_key=MTY3OTQ5MjU0ODUzNzg4NTYxNg%3D%3D.2-ccb7-4,29.99084,75.39997
7,1676958483121429004,1676958483121429004_6010223715,1514129051,1,370,370,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/25039142_312210349279735_7014469068031787008_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=8fvJBVNul3QAX-f_X7f&ccb=7-4&oh=a2e9c981a2f88de38049a3593fe004ed&oe=607EB405&ig_cache_key=MTY3Njk1ODQ4MzEyMTQyOTAwNA%3D%3D.2-ccb7-4,31.0,74.0
8,1675844848181560323,1675844848181560323_6010223715,1513996295,1,480,480,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/25012331_920234301476930_8225946494599954432_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=P-2yaCCa5D0AX_TZP5h&ccb=7-4&oh=32e449e8c5e7c865a325529d6de14eec&oe=6081D040&ig_cache_key=MTY3NTg0NDg0ODE4MTU2MDMyMw%3D%3D.2-ccb7-4,30.0667,75.5333
9,1673972444672857006,1673972444672857006_6010223715,1513773087,1,640,640,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/25010423_1993588333999741_6445290789261017088_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=sFv6SBCdAKUAX8-0Ukk&ccb=7-4&oh=9754443884506c318a8939c802930526&oe=6081C535&ig_cache_key=MTY3Mzk3MjQ0NDY3Mjg1NzAwNg%3D%3D.2-ccb7-4,30.652094365357,76.3921701075
