,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2461161020652105611,2461161020652105611_6724138972,1607613278,1,1080,1350,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/130233004_432693881471277_6492759103408645853_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=NBVAccwC6XkAX8WT-9Z&ccb=7-4&oh=d0c44dde39e112e62b4b65cdb1236b6c&oe=6082B81E&_nc_sid=6136e7&ig_cache_key=MjQ2MTE2MTAyMDY1MjEwNTYxMQ%3D%3D.2-ccb7-4,21.0,77.0
1,2456606322095891771,2456606322095891771_6724138972,1607070316,1,1080,1350,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/129421896_215995519975102_6333654367122285348_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=Kyc0sMrrgCQAX_hnOtp&ccb=7-4&oh=6b391ee5663cf1e5e66f1d14df61a500&oe=608436F1&_nc_sid=6136e7&ig_cache_key=MjQ1NjYwNjMyMjA5NTg5MTc3MQ%3D%3D.2-ccb7-4,15.401944,74.043333
2,2449284716059413776,2449284716059413776_6724138972,1606197512,1,1080,1350,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/127059919_178989183882394_4736449321278081233_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=Unxm1CBPppoAX_YoLVk&ccb=7-4&oh=46b0737cc5c7307d50e0368a17ab67fc&oe=6083E5F5&_nc_sid=6136e7&ig_cache_key=MjQ0OTI4NDcxNjA1OTQxMzc3Ng%3D%3D.2-ccb7-4,21.0,77.0
3,2427103495770393210,2427103495770393210_6724138972,1603553305,1,768,960,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/122394594_1019063031942319_2815622631163527711_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=SjOkTPdQxvwAX_1yozJ&ccb=7-4&oh=8191bf300b74ec5c8f8b739a5ef01088&oe=60815BFB&_nc_sid=6136e7&ig_cache_key=MjQyNzEwMzQ5NTc3MDM5MzIxMA%3D%3D.2-ccb7-4,21.0,77.0
4,2398055452442205731,2398055452442205731_6724138972,1600090508,1,1080,1350,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/119233536_995957607485002_6342552071777992911_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=9M9dFL50Nc4AX89QL9d&ccb=7-4&oh=f1086da82b510557849bb44e58356209&oe=6081E306&_nc_sid=6136e7&ig_cache_key=MjM5ODA1NTQ1MjQ0MjIwNTczMQ%3D%3D.2-ccb7-4,15.401944,74.043333
5,2392990919558368696,2392990919558368696_6724138972,1599486769,1,1027,1280,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/118810008_1018951368525185_876063911807890239_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=qdBeHYKYyOgAX9HmP73&ccb=7-4&oh=4479b8ee69b48fb3cd8ba44ea192e66b&oe=6083E6F6&_nc_sid=6136e7&ig_cache_key=MjM5Mjk5MDkxOTU1ODM2ODY5Ng%3D%3D.2-ccb7-4,21.0,77.0
6,2391572263439719837,2391572263439719837_6724138972,1599317652,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/118778291_3835860486429007_7202815787040120288_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=eSYz0laSrPEAX8HZ0AS&ccb=7-4&oh=a217ac055483679ad81ab9e3a4eaa445&oe=6083CFB4&_nc_sid=6136e7&ig_cache_key=MjM5MTU3MjI2MzQzOTcxOTgzNw%3D%3D.2-ccb7-4,15.492704394598,73.943562545966
7,2390151111223968005,2390151111223968005_6724138972,1599148237,1,1080,1350,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/118696256_1562075650636378_5669654116304468962_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=7kWhW133Rq4AX-Ht-Md&ccb=7-4&oh=3e383231a48bd0a2ac7ad2027fd34b7b&oe=60838AE5&_nc_sid=6136e7&ig_cache_key=MjM5MDE1MTExMTIyMzk2ODAwNQ%3D%3D.2-ccb7-4,15.401944,74.043333
8,2388643461654923763,2388643461654923763_6724138972,1598968511,1,960,960,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/118403643_1439813672884150_5289157059900366354_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=ZhaDzRaCZRgAX9Mi4t7&ccb=7-4&oh=ca511595442f4e01c241fe40663a16ef&oe=608269EA&_nc_sid=6136e7&ig_cache_key=MjM4ODY0MzQ2MTY1NDkyMzc2Mw%3D%3D.2-ccb7-4,,
9,2377821247212989321,2377821247212989321_6724138972,1597678403,1,853,1066,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/117974306_218334982954706_2386106504725723224_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=APg_uDMza54AX_ORRGX&ccb=7-4&oh=c1ef4ac461a8589402dbf143cf854598&oe=6083A74D&_nc_sid=6136e7&ig_cache_key=MjM3NzgyMTI0NzIxMjk4OTMyMQ%3D%3D.2-ccb7-4,15.401944,74.043333
10,2376350229470439709,2376350229470439709_6724138972,1597503044,1,1080,1350,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/117603114_784081982399579_6846901100896305242_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=YWP6tzSojqIAX9BSg3c&ccb=7-4&oh=e528e7f960dd55fee0c995f92697ce59&oe=60833052&_nc_sid=6136e7&ig_cache_key=MjM3NjM1MDIyOTQ3MDQzOTcwOQ%3D%3D.2-ccb7-4,21.0,77.0
11,2375646390807257107,2375646390807257107_6724138972,1597419140,1,960,1200,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/117359327_323685302163625_3526011523525544994_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=dGwAQQAwwb4AX_QjfzK&ccb=7-4&oh=6fd90d7cb64b055e5a382e55c6d448d8&oe=6080B8B8&_nc_sid=6136e7&ig_cache_key=MjM3NTY0NjM5MDgwNzI1NzEwNw%3D%3D.2-ccb7-4,15.401944,74.043333
12,2372012187435807802,2372012187435807802_6724138972,1596985909,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/117169010_940878119743401_2267115752049205925_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=0mBdGlx_YYIAX--Mp8T&ccb=7-4&oh=021f18defdb36ad7fd42bc486e27b7a4&oe=6081239C&_nc_sid=6136e7&ig_cache_key=MjM3MjAxMjE4NzQzNTgwNzgwMg%3D%3D.2-ccb7-4,,
13,2362604227181919209,2362604227181919209_6724138972,1595864393,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/116245652_229417491479270_7993197555081134693_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=UKDqsq_7GmkAX-GSCND&ccb=7-4&oh=2a9831ad1684a3bd17373536170dc58e&oe=608105DC&_nc_sid=6136e7&ig_cache_key=MjM2MjYwNDIyNzE4MTkxOTIwOQ%3D%3D.2-ccb7-4,15.492704394598,73.943562545966
14,2360420658728425593,2360420658728425593_6724138972,1595604091,1,1080,1350,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/110264107_163810091900036_4642658701720934107_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=I1OTnZEK7AgAX_62SvC&ccb=7-4&oh=67a36787b978c8d00f9c32623997c95b&oe=60814DD7&_nc_sid=6136e7&ig_cache_key=MjM2MDQyMDY1ODcyODQyNTU5Mw%3D%3D.2-ccb7-4,15.401944,74.043333
15,2359658020041948521,2359658020041948521_6724138972,1595513177,1,1080,1338,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/115823214_686634478559207_177501433978188763_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=60HEvWkGqycAX-i0oiZ&ccb=7-4&oh=28eaffe525ca28f11790c5fc22042721&oe=6081D5AE&_nc_sid=6136e7&ig_cache_key=MjM1OTY1ODAyMDA0MTk0ODUyMQ%3D%3D.2-ccb7-4,15.492704394598,73.943562545966
16,2357508179681661663,2357508179681661663_6724138972,1595256896,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/109835042_876339172858796_4657079899849753629_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=WoxCtp8Yv_EAX-OpnMz&ccb=7-4&oh=8ac6cdf136fb64368a4cd8c96e762177&oe=60840DAB&_nc_sid=6136e7&ig_cache_key=MjM1NzUwODE3OTY4MTY2MTY2Mw%3D%3D.2-ccb7-4,15.492704394598,73.943562545966
17,2356082507918608809,2356082507918608809_6724138972,1595086943,1,1080,1350,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/109542669_111299583867687_9069614450788430555_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=MSWzkzQ-diwAX_Iq9Dg&ccb=7-4&oh=0191a449523502c8d94e5540e45f5270&oe=6083E967&_nc_sid=6136e7&ig_cache_key=MjM1NjA4MjUwNzkxODYwODgwOQ%3D%3D.2-ccb7-4,15.492704394598,73.943562545966
18,2355303507025946625,2355303507025946625_6724138972,1594994079,1,1080,1350,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/109309904_141989120851977_8205661334552709370_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=vdprozSjWCMAX_ggZRD&ccb=7-4&oh=915079f6746262423230cade98e56215&oe=6081DE12&_nc_sid=6136e7&ig_cache_key=MjM1NTMwMzUwNzAyNTk0NjYyNQ%3D%3D.2-ccb7-4,15.492704394598,73.943562545966
19,2354570065761893228,2354570065761893228_6724138972,1594906646,1,1080,720,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/108078615_155712229373650_2997108218698792542_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=q84uEU7Vdu8AX_KOIPo&ccb=7-4&oh=b8aa61aa52afc50250652e61ab24d0f5&oe=6080E2A6&_nc_sid=6136e7&ig_cache_key=MjM1NDU3MDA2NTc2MTg5MzIyOA%3D%3D.2-ccb7-4,15.492704394598,73.943562545966
20,2353927085577391386,2353927085577391386_6724138972,1594829997,1,1080,1350,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/107872790_570003703667989_6351775944181915428_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=Ibla4lQd10kAX_LkkNr&ccb=7-4&oh=9f1f6cd144906f210edfdf6d2f47eab9&oe=608215BC&_nc_sid=6136e7&ig_cache_key=MjM1MzkyNzA4NTU3NzM5MTM4Ng%3D%3D.2-ccb7-4,15.492704394598,73.943562545966
21,2353196295289814156,2353196295289814156_6724138972,1594742880,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/108174430_164881505097406_346421293735159750_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=pO7LAd9VlHYAX9weKBB&ccb=7-4&oh=9e882de78f377e95be276dad0f86d12c&oe=6083D22A&_nc_sid=6136e7&ig_cache_key=MjM1MzE5NjI5NTI4OTgxNDE1Ng%3D%3D.2-ccb7-4,15.492704394598,73.943562545966
22,2352395825272929945,2352395825272929945_6724138972,1594647456,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/108120956_296484345042314_5289686148056043129_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=VJ72pvsqGUkAX8O9KYV&ccb=7-4&oh=312a6527f6552b137efafb66d18382f6&oe=6082D12E&_nc_sid=6136e7&ig_cache_key=MjM1MjM5NTgyNTI3MjkyOTk0NQ%3D%3D.2-ccb7-4,15.620938236324,73.772166638908
23,2351682721694178415,2351682721694178415_6724138972,1594562448,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/107963380_628743784406686_5073393194085347651_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=tvpBCkowD-cAX845Nbu&ccb=7-4&oh=455706bc50d7aac5481b661330891250&oe=6082AE8E&_nc_sid=6136e7&ig_cache_key=MjM1MTY4MjcyMTY5NDE3ODQxNQ%3D%3D.2-ccb7-4,15.492704394598,73.943562545966
24,2350966207575969032,2350966207575969032_6724138972,1594477033,1,960,1200,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/107905429_917210178797989_8495619349418892616_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=-qrBXoo2SgEAX_VZUlu&ccb=7-4&oh=4a482e45c6fcea5a44dd68f7c0975134&oe=60831E0F&_nc_sid=6136e7&ig_cache_key=MjM1MDk2NjIwNzU3NTk2OTAzMg%3D%3D.2-ccb7-4,21.0,77.0
25,2350232287171379051,2350232287171379051_6724138972,1594389542,1,768,960,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/106714314_2898622877031994_4597690088326259036_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=6rdTP8EdhNQAX-qa79F&ccb=7-4&oh=fe28b18b9fe48bff12cb74163f315298&oe=6081A9CE&_nc_sid=6136e7&ig_cache_key=MjM1MDIzMjI4NzE3MTM3OTA1MQ%3D%3D.2-ccb7-4,15.401944,74.043333
