,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2540923955386403866,2540923955386403866_6791130299,1617121761,1,1080.0,1229.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166747242_262145388923850_708962883813506703_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=CmS_rja10G0AX8j_8He&ccb=7-4&oh=9990cd9ecbbaf33b5a83829f10c0f16a&oe=608C54DD&_nc_sid=6136e7&ig_cache_key=MjU0MDkyMzk1NTM4NjQwMzg2Ng%3D%3D.2-ccb7-4,30.3338,76.4042
1,2540908847922873534,2540908847922873534_6791130299,1617119960,1,1080.0,1084.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166820612_227661759047416_8054698730137609878_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=nuDRilHKAt8AX-Z59Ky&ccb=7-4&oh=3de7cc8e6430ec7ecdc9086aea7b30ef&oe=608CC552&_nc_sid=6136e7&ig_cache_key=MjU0MDkwODg0NzkyMjg3MzUzNA%3D%3D.2-ccb7-4,30.3338,76.4042
2,2540896940956355521,2540896940956355521_6791130299,1617118540,8,,,,30.901237563037,75.832730694963
3,2540786066031650987,2540786066031650987_6791130299,1617105323,1,1080.0,1343.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165704253_457810372308779_9993401561190807_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=xiW51g2Dv0QAX_JX5xK&ccb=7-4&oh=a93fadc1a032e0c781da52db9f26c42e&oe=608B3443&_nc_sid=6136e7&ig_cache_key=MjU0MDc4NjA2NjAzMTY1MDk4Nw%3D%3D.2-ccb7-4,30.3338,76.4042
4,2540691043940321350,2540691043940321350_6791130299,1617093996,8,,,,30.64919644396,76.387687325478
5,2540687353288585899,2540687353288585899_6791130299,1617093556,1,1079.0,1273.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166092764_454777792394624_1743189707043420774_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=HBcGaX9HLawAX9Jz8Bb&ccb=7-4&oh=f747797146677b90cfe06777b706358a&oe=608C9993&_nc_sid=6136e7&ig_cache_key=MjU0MDY4NzM1MzI4ODU4NTg5OQ%3D%3D.2-ccb7-4,30.3338,76.4042
6,2540622969690182665,2540622969690182665_6791130299,1617085880,1,1080.0,1350.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166252666_170445024912092_7230164058659561822_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=aT8YAri8AfMAX_jf7Xb&ccb=7-4&oh=4c054f623fa9f2a7b97b04204aa87260&oe=608EFC19&_nc_sid=6136e7&ig_cache_key=MjU0MDYyMjk2OTY5MDE4MjY2NQ%3D%3D.2-ccb7-4,30.3338,76.4042
7,2540608071337784829,2540608071337784829_6791130299,1617084104,1,1080.0,1080.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166250930_447939922962182_2966549016561561178_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=TG_-pTTqEM4AX89Zd-T&ccb=7-4&oh=35f884661232c7966c356bbc1eb6af59&oe=608CC93A&_nc_sid=6136e7&ig_cache_key=MjU0MDYwODA3MTMzNzc4NDgyOQ%3D%3D.2-ccb7-4,30.901237563037,75.832730694963
8,2540606331330772798,2540606331330772798_6791130299,1617083897,1,720.0,864.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166453076_444890630100218_2186881270285525869_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=v1ghm_4Spd0AX-PSqdg&ccb=7-4&oh=b41d65a6ec411e205465c138e690dda1&oe=608D1838&_nc_sid=6136e7&ig_cache_key=MjU0MDYwNjMzMTMzMDc3Mjc5OA%3D%3D.2-ccb7-4,30.3338,76.4042
9,2540537406601714011,2540537406601714011_6791130299,1617075681,1,1080.0,1315.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166137977_263717425472814_704218872213509228_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=eg58NMeheSkAX-KfNMj&ccb=7-4&oh=96e885084bcba1597437b964a059b1c5&oe=608BF864&_nc_sid=6136e7&ig_cache_key=MjU0MDUzNzQwNjYwMTcxNDAxMQ%3D%3D.2-ccb7-4,30.901237563037,75.832730694963
10,2540534957186774383,2540534957186774383_6791130299,1617075389,1,1079.0,1349.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166825460_813830946153668_921459986543089232_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=juUONrub4AUAX-Crss6&ccb=7-4&oh=a80a52e296b71f8dc91c1ab40ccad9e4&oe=608BA15A&_nc_sid=6136e7&ig_cache_key=MjU0MDUzNDk1NzE4Njc3NDM4Mw%3D%3D.2-ccb7-4,30.3338,76.4042
11,2540127660732247827,2540127660732247827_6791130299,1617026835,8,,,,31.33082,75.59008
12,2540054750500375708,2540054750500375708_6791130299,1617018438,2,480.0,960.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/166256357_181860643594079_833655159274143351_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=fJpLMjeuBgcAX-tebCT&ccb=7-4&oh=05916301c4d075987e3c24e2f9390fb3&oe=608BE707&_nc_sid=6136e7&ig_cache_key=MjU0MDA1NDc1MDUwMDM3NTcwOA%3D%3D.2-ccb7-4,,
13,2540037333484583473,2540037333484583473_6791130299,1617016067,1,1080.0,1350.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166315875_3830369200381956_8280574457391367140_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=2BQ_7uGLQMcAX8u8eIs&ccb=7-4&oh=57e9fbd5e02b8688a647f4f708cd5aca&oe=608ECA41&_nc_sid=6136e7&ig_cache_key=MjU0MDAzNzMzMzQ4NDU4MzQ3Mw%3D%3D.2-ccb7-4,31.33082,75.59008
14,2539990878380127203,2539990878380127203_6791130299,1617010529,1,1080.0,1350.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166160666_116606397173177_5119018472071717957_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=OzTCqy5gHKoAX-0gcrP&ccb=7-4&oh=11d755da5b68bbc901bd02939f1902bb&oe=608E6243&_nc_sid=6136e7&ig_cache_key=MjUzOTk5MDg3ODM4MDEyNzIwMw%3D%3D.2-ccb7-4,30.64919644396,76.387687325478
15,2539927700367661610,2539927700367661610_6791130299,1617002998,8,,,,,
16,2539904325092045930,2539904325092045930_6791130299,1617000211,8,,,,30.3338,76.4042
17,2539863619405096212,2539863619405096212_6791130299,1616995359,1,1080.0,1350.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165845056_1172755846487829_787910287866496911_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=XJVcUpxcMJ0AX_PHS98&ccb=7-4&oh=367a5bf14a80241e910c55b902e4cbe5&oe=608DD2DF&_nc_sid=6136e7&ig_cache_key=MjUzOTg2MzYxOTQwNTA5NjIxMg%3D%3D.2-ccb7-4,30.3338,76.4042
18,2539845364082974889,2539845364082974889_6791130299,1616993183,1,698.0,872.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165555934_271756371265609_7462234568692892932_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=hZJd7slvWzcAX-KaXmG&ccb=7-4&oh=a338953724ba8e33662ea430f5208071&oe=608B756A&_nc_sid=6136e7&ig_cache_key=MjUzOTg0NTM2NDA4Mjk3NDg4OQ%3D%3D.2-ccb7-4,30.3338,76.4042
19,2539838267018539785,2539838267018539785_6791130299,1616992337,8,,,,30.3338,76.4042
20,2539837787936845392,2539837787936845392_6791130299,1616992279,1,857.0,856.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165308364_1094807177676636_7148556324723163680_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=riBEfCsJo6gAX-laYjr&ccb=7-4&oh=18bf71ce4b0de86f230cacedd00cfcd7&oe=608D0063&_nc_sid=6136e7&ig_cache_key=MjUzOTgzNzc4NzkzNjg0NTM5Mg%3D%3D.2-ccb7-4,30.3338,76.4042
21,2539429658400931027,2539429658400931027_6791130299,1616943627,8,,,,30.3338,76.4042
