,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2518358027367815332,2518358027367815332_6937670615,1614431692,1,1080,1350,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/154318276_427729421840590_6119150831421112524_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=MiEiTfGGOQkAX9Roz5o&ccb=7-4&oh=833fe02fa725a4b0dc24ff27ce14c9ce&oe=607F82A1&ig_cache_key=MjUxODM1ODAyNzM2NzgxNTMzMg%3D%3D.2-ccb7-4,,
1,2517383189060858727,2517383189060858727_6937670615,1614315483,1,1080,810,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/153608556_134204018579597_1093345791237069626_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=FwWOrtu1SnAAX8Pmgu8&ccb=7-4&oh=ee84cef634b8626e2e10451daa3738f9&oe=6082C99D&ig_cache_key=MjUxNzM4MzE4OTA2MDg1ODcyNw%3D%3D.2-ccb7-4,34.022254445,-6.8465219585
2,2516007328491446562,2516007328491446562_6937670615,1614151467,1,1000,1250,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/152471848_1135922440190400_2332092578021611479_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=kLVDAdqCGyYAX_UC44X&ccb=7-4&oh=3d829982b71ae1acab4baf182ef809c5&oe=60826C42&ig_cache_key=MjUxNjAwNzMyODQ5MTQ0NjU2Mg%3D%3D.2-ccb7-4,,
3,2510108928478669992,2510108928478669992_6937670615,1613448323,1,708,885,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/150579192_2338033726340704_8051008783236053830_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=cELxyQSKw2MAX-S70O9&ccb=7-4&oh=c7e8529e4a802b2a8cf2b875f4c7e44a&oe=608053FF&ig_cache_key=MjUxMDEwODkyODQ3ODY2OTk5Mg%3D%3D.2-ccb7-4,0.93433291936906,99.516263008118
4,2509451856481162292,2509451856481162292_6937670615,1613369994,8,,,,,
5,2480449724449143379,2480449724449143379_6937670615,1609912671,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/136398524_1354222234921824_7547202570152929303_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=qgOJHNmzX4kAX-HlKyr&ccb=7-4&oh=cbad5421eac179fd07c0cbaef64b508d&oe=6080DD6A&ig_cache_key=MjQ4MDQ0OTcyNDQ0OTE0MzM3OQ%3D%3D.2-ccb7-4,,
6,2474858739807586906,2474858739807586906_6937670615,1609246173,1,1080,1350,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/133723123_805901126624011_1133130826559253638_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=hirKufU2t60AX_6OVNM&ccb=7-4&oh=5529c0e9ff4fcae72fd4bb38aa94f201&oe=608275FF&ig_cache_key=MjQ3NDg1ODczOTgwNzU4NjkwNg%3D%3D.2-ccb7-4,,
7,2473931397883020627,2473931397883020627_6937670615,1609135626,1,770,951,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/133515769_691103141599121_3235748853937954137_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=jD4ZTrZlCegAX-k_GK8&ccb=7-4&oh=4137e89fa126834b2311123ad9225639&oe=6082A1EB&ig_cache_key=MjQ3MzkzMTM5Nzg4MzAyMDYyNw%3D%3D.2-ccb7-4,,
8,2472455173440627619,2472455173440627619_6937670615,1608959646,1,1080,1331,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/132580877_1132499980537938_6480604409882366936_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=AtWqgsezGAYAX_8Yu0d&ccb=7-4&oh=0850750a1ebfec49bc94fecb4ccd10f1&oe=608070DC&ig_cache_key=MjQ3MjQ1NTE3MzQ0MDYyNzYxOQ%3D%3D.2-ccb7-4,,
9,2471959362458029001,2471959362458029001_6937670615,1608900541,1,1060,1060,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/132448529_1024719324689211_6946839234792613246_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=AwlkLcnjLjkAX8FiYCr&ccb=7-4&oh=d7a549246b8d8e09f743929256b3ceff&oe=607FA685&ig_cache_key=MjQ3MTk1OTM2MjQ1ODAyOTAwMQ%3D%3D.2-ccb7-4,,
