,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2496420080939475285,2496420080939475285_7804914886,1611816485,1,720,881,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/143364781_1014770075681088_3712295848600777940_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=0INs2lTPcTEAX8f-PYA&ccb=7-4&oh=08a93f61d2d3da949edbfa9c889ece26&oe=6080D3AB&_nc_sid=6136e7&ig_cache_key=MjQ5NjQyMDA4MDkzOTQ3NTI4NQ%3D%3D.2-ccb7-4,,
1,2495679837168749903,2495679837168749903_7804914886,1611728242,1,720,720,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/143587111_477399343423921_5821269026062156427_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=J0UfeW220ysAX9luzZ1&ccb=7-4&oh=9472f54e0d3856fb45e71cd5b8f048f0&oe=6081D307&_nc_sid=6136e7&ig_cache_key=MjQ5NTY3OTgzNzE2ODc0OTkwMw%3D%3D.2-ccb7-4,-3.73525,-38.56223
2,2492100941584305120,2492100941584305120_7804914886,1611301604,1,720,802,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/140663226_160634038933795_4151701611102914313_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=WlW7NcLvJvIAX8FS0dT&ccb=7-4&oh=c5d2c0d1b2699a019d8bf40a88d1148d&oe=6084033B&_nc_sid=6136e7&ig_cache_key=MjQ5MjEwMDk0MTU4NDMwNTEyMA%3D%3D.2-ccb7-4,26.839237,75.80036
3,2490597511317625062,2490597511317625062_7804914886,1611122381,1,719,891,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/139595024_913530282808959_2686540738874790710_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=n7tqJtH0NfcAX-kInzE&ccb=7-4&oh=ec25f2f723eae6aeabfbc029ccf44294&oe=6081FE5A&_nc_sid=6136e7&ig_cache_key=MjQ5MDU5NzUxMTMxNzYyNTA2Mg%3D%3D.2-ccb7-4,,
4,2483384945180754779,2483384945180754779_7804914886,1610262576,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/136386186_1876492872508376_6247366576174326977_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=6gMnxzkelhIAX_3I_Xk&ccb=7-4&oh=94b79d839fa9be073150f78ae041ce33&oe=608296BF&_nc_sid=6136e7&ig_cache_key=MjQ4MzM4NDk0NTE4MDc1NDc3OQ%3D%3D.2-ccb7-4,28.36983,77.32962
5,2477598023552541312,2477598023552541312_7804914886,1609572721,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/134462597_692986051361313_330999806696760292_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=F7r2QKwxhgkAX8VsfKc&ccb=7-4&oh=c25be4da64489dce67bfca9fdd82c2a0&oe=6082F923&_nc_sid=6136e7&ig_cache_key=MjQ3NzU5ODAyMzU1MjU0MTMxMg%3D%3D.2-ccb7-4,-3.73525,-38.56223
6,2476176037139814098,2476176037139814098_7804914886,1609403207,1,750,938,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/133911304_1301531973543691_3608568285304071870_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=8n_SYaxBKz0AX8qGpxh&ccb=7-4&oh=0ac6053887b044d2ca6ba3fcd46bde62&oe=6081BC08&_nc_sid=6136e7&ig_cache_key=MjQ3NjE3NjAzNzEzOTgxNDA5OA%3D%3D.2-ccb7-4,31.94386,35.7669799
7,2474686601621403164,2474686601621403164_7804914886,1609225653,1,720,900,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/133238156_121117579761551_6388677727668493364_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=Q37ODmcRAP0AX8fvSWe&ccb=7-4&oh=d3710cc6c11addd8367530e0a3fb2057&oe=6082D08A&_nc_sid=6136e7&ig_cache_key=MjQ3NDY4NjYwMTYyMTQwMzE2NA%3D%3D.2-ccb7-4,27.663610376155,79.956025569054
8,2473283713275569449,2473283713275569449_7804914886,1609058416,1,720,736,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/132966106_893936671375545_5715280887184466849_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=M9klilJB-SYAX9ls-4y&ccb=7-4&oh=5f05cf6cc56d51cdafabb7c453492bff&oe=608347DF&_nc_sid=6136e7&ig_cache_key=MjQ3MzI4MzcxMzI3NTU2OTQ0OQ%3D%3D.2-ccb7-4,,
9,2472505942211405454,2472505942211405454_7804914886,1608965698,1,720,890,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/132898356_2795170364055624_9216862070062614068_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=E6ALzGIDq9UAX_Fq2DD&ccb=7-4&oh=9fd6dec3a759fcabb48e8e5d624c92f8&oe=6081D63B&_nc_sid=6136e7&ig_cache_key=MjQ3MjUwNTk0MjIxMTQwNTQ1NA%3D%3D.2-ccb7-4,-3.73525,-38.56223
10,2461687860232615428,2461687860232615428_7804914886,1607676082,1,750,937,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/130999643_304451440819391_1823316867286727098_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=vLZUKZq1HRIAX8I9y8U&ccb=7-4&oh=834f2ff819dc07f6ff4ef8d97a52a6b3&oe=60833188&_nc_sid=6136e7&ig_cache_key=MjQ2MTY4Nzg2MDIzMjYxNTQyOA%3D%3D.2-ccb7-4,-3.73525,-38.56223
11,2460893541959608130,2460893541959608130_7804914886,1607581392,1,720,869,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/130473666_224643729095662_910060189841208990_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=6el5crRb9MkAX9qEJqy&ccb=7-4&oh=44b64bfe16c826996b179351eb521281&oe=608096A2&_nc_sid=6136e7&ig_cache_key=MjQ2MDg5MzU0MTk1OTYwODEzMA%3D%3D.2-ccb7-4,25.31289,83.00435
12,2460129467806021376,2460129467806021376_7804914886,1607490307,1,750,937,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/130263349_2931673583760516_4380089973002007365_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=5LfxH72z35QAX9jT_kT&ccb=7-4&oh=b979cb7d639d85d1f3048367c1614e09&oe=608347A1&_nc_sid=6136e7&ig_cache_key=MjQ2MDEyOTQ2NzgwNjAyMTM3Ng%3D%3D.2-ccb7-4,31.94386,35.7669799
13,2458761574434685139,2458761574434685139_7804914886,1607327242,1,720,779,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/129775836_3681241411960926_4362152097547032416_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=xj0_gsV5GtcAX_eCIoF&ccb=7-4&oh=c500480c446fe79384d909d9cb20cc86&oe=6082A2B7&_nc_sid=6136e7&ig_cache_key=MjQ1ODc2MTU3NDQzNDY4NTEzOQ%3D%3D.2-ccb7-4,26.95535,75.7407999
14,2458008442062601226,2458008442062601226_7804914886,1607237461,1,720,900,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/129717756_709383720002404_2332082738924444463_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=iLy-qdQDmZkAX-Bk4sG&ccb=7-4&oh=48c600ddf595ae8c2b6de1a2b2a517e5&oe=6080B1EB&_nc_sid=6136e7&ig_cache_key=MjQ1ODAwODQ0MjA2MjYwMTIyNg%3D%3D.2-ccb7-4,,
15,2456550968138805039,2456550968138805039_7804914886,1607063717,1,720,799,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/129177539_870407763781155_8202414072425243950_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=AUvqQsinwqEAX9CSHkb&ccb=7-4&oh=058a79792cfbb11311896e6b5afc3693&oe=6083D50D&_nc_sid=6136e7&ig_cache_key=MjQ1NjU1MDk2ODEzODgwNTAzOQ%3D%3D.2-ccb7-4,26.95535,75.7407999
16,2455825742946002207,2455825742946002207_7804914886,1606977263,1,720,900,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/129608815_211362113836954_137966710439087051_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=CNpIwbiGgBUAX9C6Zye&ccb=7-4&oh=cf25e6479bbbd9cc3ac7a2f5f400baaa&oe=60824919&_nc_sid=6136e7&ig_cache_key=MjQ1NTgyNTc0Mjk0NjAwMjIwNw%3D%3D.2-ccb7-4,26.918623883515,75.736983528697
17,2455118831149662591,2455118831149662591_7804914886,1606892993,1,720,831,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/129214583_854244695376736_8840248890945860231_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=wlBcaJU_BvAAX-o6Tc2&ccb=7-4&oh=75b095cff27284770f25ee03b7b5bc95&oe=60836AC8&_nc_sid=6136e7&ig_cache_key=MjQ1NTExODgzMTE0OTY2MjU5MQ%3D%3D.2-ccb7-4,25.31289,83.00435
18,2454348737146612324,2454348737146612324_7804914886,1606801190,1,960,960,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/128946536_654329288596920_7923093285106744552_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=qbPsTyIrkFcAX9CfbMQ&ccb=7-4&oh=be4a8362063e54702f0c6535ad10059a&oe=6081178D&_nc_sid=6136e7&ig_cache_key=MjQ1NDM0ODczNzE0NjYxMjMyNA%3D%3D.2-ccb7-4,26.99444,75.8803
19,2453669826456922133,2453669826456922133_7804914886,1606720258,1,720,896,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/128574044_3885249328172525_4172880709604342575_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=aCeq8dgxi4EAX_gRWWC&ccb=7-4&oh=531fa24a5b79902e2548e0ce254e1f7c&oe=6081432B&_nc_sid=6136e7&ig_cache_key=MjQ1MzY2OTgyNjQ1NjkyMjEzMw%3D%3D.2-ccb7-4,31.94386,35.7669799
20,2452913955422564743,2452913955422564743_7804914886,1606630151,1,720,892,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/128646553_1033016020530376_7745599259107839354_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=5eTRtGIyivgAX8ILD8S&ccb=7-4&oh=a61c4e961ac069e55e14f48e38e294ef&oe=60829B03&_nc_sid=6136e7&ig_cache_key=MjQ1MjkxMzk1NTQyMjU2NDc0Mw%3D%3D.2-ccb7-4,26.918623883515,75.736983528697
21,2452180119591873237,2452180119591873237_7804914886,1606542671,1,720,900,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/128461557_1031685643972057_5447568727140712692_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=1XSO7xSJIFUAX-gBEDL&ccb=7-4&oh=6278a4ff48e8a33ea2c96ffb0ef7da6d&oe=60824777&_nc_sid=6136e7&ig_cache_key=MjQ1MjE4MDExOTU5MTg3MzIzNw%3D%3D.2-ccb7-4,23.26471,77.40519
22,2451498849916600220,2451498849916600220_7804914886,1606461457,1,750,600,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/127278315_134171261798275_8129701532884418801_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=hr838V2MMCAAX92A12g&ccb=7-4&oh=cb99c198caca8c702b3d6bc0f74c3b0b&oe=608297F2&_nc_sid=6136e7&ig_cache_key=MjQ1MTQ5ODg0OTkxNjYwMDIyMA%3D%3D.2-ccb7-4,-3.73525,-38.56223
23,2450789875462222002,2450789875462222002_7804914886,1606376941,1,1080,1080,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/127411481_441816240555059_8510012756433633990_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=sLdyoLh2huQAX9Gj6r-&ccb=7-4&oh=c3a2c5fc319738fb0adb525c311051d6&oe=608316DA&_nc_sid=6136e7&ig_cache_key=MjQ1MDc4OTg3NTQ2MjIyMjAwMg%3D%3D.2-ccb7-4,26.918623883515,75.736983528697
24,2450032971974766094,2450032971974766094_7804914886,1606286711,1,750,614,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/127099791_3679830202039640_6322740640837080017_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=4tHoC1iSVTIAX8iCh5F&ccb=7-4&oh=e79bca2c39d998ddfeadcaec10bf08f8&oe=6083D28E&_nc_sid=6136e7&ig_cache_key=MjQ1MDAzMjk3MTk3NDc2NjA5NA%3D%3D.2-ccb7-4,26.918623883515,75.736983528697
