,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2306525423047493511,2306525423047493511_8088069333,1589179278,1,1241.0,1233.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/96249959_164827028297501_2179159610917753660_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=Q146mwPAvrMAX_R4hen&ccb=7-4&oh=575fe8d4d28e3342d2c62d05a9f23a82&oe=607E70E2&ig_cache_key=MjMwNjUyNTQyMzA0NzQ5MzUxMQ%3D%3D.2-ccb7-4,,
1,2306524172062755595,2306524172062755595_8088069333,1589179129,1,1349.0,1687.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/96187173_259320582104110_4847640979285942535_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=FNnnXIokWuQAX9rl93T&ccb=7-4&oh=64ae080c101b9f34b6d3844cc3dbf7aa&oe=607E9BE8&ig_cache_key=MjMwNjUyNDE3MjA2Mjc1NTU5NQ%3D%3D.2-ccb7-4,,
2,2305268583772928080,2305268583772928080_8088069333,1589029451,1,813.0,882.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/96285903_138772421076869_3905709427877516559_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=TtR6Al0R8DMAX_A0TaH&ccb=7-4&oh=182247fe82f3f9195ba1d3bc65d858fb&oe=607F2950&ig_cache_key=MjMwNTI2ODU4Mzc3MjkyODA4MA%3D%3D.2-ccb7-4,,
3,2174913070972096146,2174913070972096146_8088069333,1573489863,1,1219.0,1219.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/74948897_472674953342176_7400643904736422870_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=lqDvPy7ItaQAX8X0nVg&ccb=7-4&oh=118eef082385184c5523b6ec4fbb56f0&oe=60811860&ig_cache_key=MjE3NDkxMzA3MDk3MjA5NjE0Ng%3D%3D.2-ccb7-4,,
4,2174911459419960205,2174911459419960205_8088069333,1573489671,1,1440.0,1796.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/72637748_572506620164556_6553381838901423868_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=yt1CuLxgVSsAX9lI2ma&ccb=7-4&oh=dd93b931caf12c28c24635cb7e2b5d67&oe=60805D22&ig_cache_key=MjE3NDkxMTQ1OTQxOTk2MDIwNQ%3D%3D.2-ccb7-4,,
5,2102845202214777217,2102845202214777217_8088069333,1564898704,1,1440.0,1785.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/64334139_123189218668991_3929641729189538790_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=_sav7slBNroAX_GeTUS&ccb=7-4&oh=5b8abd5bd1db45632c22f26bba5f2954&oe=60807138&ig_cache_key=MjEwMjg0NTIwMjIxNDc3NzIxNw%3D%3D.2-ccb7-4,,
6,2093283688080212044,2093283688080212044_8088069333,1563758883,1,1440.0,1799.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/67264180_2578038945563823_6585957402566826182_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=5HGtMzn4-PwAX80enSp&ccb=7-4&oh=f3f55e72db15a2c30204b1339352e72b&oe=607F3E00&ig_cache_key=MjA5MzI4MzY4ODA4MDIxMjA0NA%3D%3D.2-ccb7-4,,
7,2093266914160972117,2093266914160972117_8088069333,1563756883,1,1440.0,1780.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/65871735_182613029423972_2434360290303294687_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=Ti8_fXIxlJIAX-0u_JV&ccb=7-4&oh=19a19e05d494d6d2bc1f66f2d8a2cc83&oe=6080C5AC&ig_cache_key=MjA5MzI2NjkxNDE2MDk3MjExNw%3D%3D.2-ccb7-4,,
8,2093256980765775290,2093256980765775290_8088069333,1563755699,1,1080.0,1080.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/66781401_467255244065838_7117784101742623571_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=QhR2sO9y1zoAX9nLpJC&ccb=7-4&oh=c34d15ea7e06917a6b37e2f6324e8f14&oe=60809D76&ig_cache_key=MjA5MzI1Njk4MDc2NTc3NTI5MA%3D%3D.2-ccb7-4,,
9,2086962360046004997,2086962360046004997_8088069333,1563005321,1,1241.0,1241.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/65440881_138376327363722_8432015632317646826_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=-uFExgRbfv8AX-tTg_o&ccb=7-4&oh=6191c5cc8b6ca18cefe5caccaaaa2d33&oe=608068A7&ig_cache_key=MjA4Njk2MjM2MDA0NjAwNDk5Nw%3D%3D.2-ccb7-4,,
