,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2540038446887979397,2540038446887979397_8202710076,1617016200,1,828.0,1035.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166028317_755483148442480_4876006210267997768_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=8TDweVmdrGIAX97u-f0&ccb=7-4&oh=2b0270b1310ce711cf2648eef552ab47&oe=608B4275&_nc_sid=6136e7&ig_cache_key=MjU0MDAzODQ0Njg4Nzk3OTM5Nw%3D%3D.2-ccb7-4,,
1,2540037979139154570,2540037979139154570_8202710076,1617016144,1,958.0,1198.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165777774_1089964064834732_8352007158470510083_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=RGpEPIQuGTUAX_2Ke-V&ccb=7-4&oh=95a4dc562d47be68671b0a593f192244&oe=608F1896&_nc_sid=6136e7&ig_cache_key=MjU0MDAzNzk3OTEzOTE1NDU3MA%3D%3D.2-ccb7-4,,
2,2539899519258335026,2539899519258335026_8202710076,1616999638,1,828.0,1035.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165704256_112939350887514_3653767800149037841_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=lx--DkYXSE8AX9Kcknz&ccb=7-4&oh=6470dc7c3ec9caa51607b7b86fa4bd83&oe=608C1B9F&_nc_sid=6136e7&ig_cache_key=MjUzOTg5OTUxOTI1ODMzNTAyNg%3D%3D.2-ccb7-4,,
3,2539894542692764013,2539894542692764013_8202710076,1616999069,2,480.0,853.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/166171697_170743644885666_8602691632765186310_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=JprOyNP-op4AX974HCu&ccb=7-4&oh=f1d0ed2a1084e3a37e988a2468df3077&oe=608C3EE8&_nc_sid=6136e7&ig_cache_key=MjUzOTg5NDU0MjY5Mjc2NDAxMw%3D%3D.2-ccb7-4,,
4,2539892849989021055,2539892849989021055_8202710076,1616998869,2,480.0,853.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/165785769_263509365432360_2320863830783478149_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=fpeMlGbQT60AX_SkT6h&ccb=7-4&oh=4e7badadaeaa048ad045c26141d5b275&oe=608BDC17&_nc_sid=6136e7&ig_cache_key=MjUzOTg5Mjg0OTk4OTAyMTA1NQ%3D%3D.2-ccb7-4,,
5,2539890985242365087,2539890985242365087_8202710076,1616998621,1,405.0,506.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165757026_462389861676525_1244169196927439062_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=c_OQ1UQRpv4AX_uw6fO&ccb=7-4&oh=8023e90062c3cc3ade2f056c85e77c30&oe=608C9FBA&_nc_sid=6136e7&ig_cache_key=MjUzOTg5MDk4NTI0MjM2NTA4Nw%3D%3D.2-ccb7-4,,
6,2539888080762298666,2539888080762298666_8202710076,1616998275,1,1080.0,1080.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165620346_1133560190420067_6879458776911001290_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=yiKQgrIhoMUAX9NFRVl&ccb=7-4&oh=022b2723f2ad0069b584e527ab82b92c&oe=608EB519&_nc_sid=6136e7&ig_cache_key=MjUzOTg4ODA4MDc2MjI5ODY2Ng%3D%3D.2-ccb7-4,,
7,2539887003975518470,2539887003975518470_8202710076,1616998147,1,378.0,472.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165879223_480830339622269_1174279443022066534_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=FWqAKFj6sLAAX9stS52&ccb=7-4&oh=4009f548e044fdde0321e0ea32eed329&oe=608CC708&_nc_sid=6136e7&ig_cache_key=MjUzOTg4NzAwMzk3NTUxODQ3MA%3D%3D.2-ccb7-4,,
8,2539875531555786481,2539875531555786481_8202710076,1616996779,1,1080.0,1350.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166367330_483148252722081_4106515334360552794_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=b9AnBpbGPp0AX9ZO2MZ&ccb=7-4&oh=35efde9cfca504533c1b82689918ea84&oe=608B8127&_nc_sid=6136e7&ig_cache_key=MjUzOTg3NTUzMTU1NTc4NjQ4MQ%3D%3D.2-ccb7-4,,
9,2539821116510446602,2539821116510446602_8202710076,1616994191,2,480.0,853.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/165616988_1111119036067658_6671437639760140074_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=8iXV8uHIC2MAX-rO7r8&ccb=7-4&oh=f921ee0dd15f1e614658f0e1342aea5e&oe=608B9763&_nc_sid=6136e7&ig_cache_key=MjUzOTgyMTExNjUxMDQ0NjYwMg%3D%3D.2-ccb7-4,,
10,2539213211703830125,2539213211703830125_8202710076,1616917824,1,826.0,1032.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165237981_455383249017685_1265752060852989760_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=dh_0ST7O7ZoAX8fJkh0&ccb=7-4&oh=7dccb27ab4d421864db0f74d7abacfa2&oe=608EE5A2&_nc_sid=6136e7&ig_cache_key=MjUzOTIxMzIxMTcwMzgzMDEyNQ%3D%3D.2-ccb7-4,,
11,2538735689958586479,2538735689958586479_8202710076,1616860899,1,756.0,756.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165333575_376482046669425_2662238118066546360_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=K01MrKR_QWAAX8rlEdz&ccb=7-4&oh=f46b1fd9379bca61b8e4bfeb41788c7b&oe=608C9C8E&_nc_sid=6136e7&ig_cache_key=MjUzODczNTY4OTk1ODU4NjQ3OQ%3D%3D.2-ccb7-4,,
12,2538721075343608411,2538721075343608411_8202710076,1616859181,2,480.0,853.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/166053204_798986501050474_4934590167867688079_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=m8ly-LLoaRUAX_gNUXB&ccb=7-4&oh=350da9fad9139d1abccb0a6e5fe6fb65&oe=608D582F&_nc_sid=6136e7&ig_cache_key=MjUzODcyMTA3NTM0MzYwODQxMQ%3D%3D.2-ccb7-4,,
13,2538537592418483172,2538537592418483172_8202710076,1616837284,1,479.0,599.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165152422_145533324060498_104227161670741895_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=q2TyoeozRP4AX_T0YAi&ccb=7-4&oh=93100977afe66677e5aa222d78971446&oe=608E5EE4&_nc_sid=6136e7&ig_cache_key=MjUzODUzNzU5MjQxODQ4MzE3Mg%3D%3D.2-ccb7-4,,
14,2538536203130980137,2538536203130980137_8202710076,1616837118,1,534.0,667.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165185696_346266527071134_3811470576974322085_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=QsOT_8YvYbQAX9O3cWv&ccb=7-4&oh=6883b7dfcd85fe1835d1f0dbbe979d65&oe=608E7E71&_nc_sid=6136e7&ig_cache_key=MjUzODUzNjIwMzEzMDk4MDEzNw%3D%3D.2-ccb7-4,,
15,2538530296376399556,2538530296376399556_8202710076,1616836414,1,730.0,912.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/164879851_231916848671855_285967263499734803_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=t1JZwwQKEqoAX_0WSxG&ccb=7-4&oh=892782f59c51d96dac646d5d08afbc1b&oe=608E844D&_nc_sid=6136e7&ig_cache_key=MjUzODUzMDI5NjM3NjM5OTU1Ng%3D%3D.2-ccb7-4,,
