,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2540512760116504556,2540512760116504556_8416493737,1617072742,1,826.0,1032.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165975294_3993899470648995_1581134906916399512_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=bWdbe6ohVicAX-hGHia&ccb=7-4&oh=496e2c8a9424bebe33d96889d92cd2d8&oe=608C75F8&_nc_sid=6136e7&ig_cache_key=MjU0MDUxMjc2MDExNjUwNDU1Ng%3D%3D.2-ccb7-4,,
1,2539947305349788145,2539947305349788145_8416493737,1617005335,1,652.0,815.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/166584402_3631566223632222_389658581371649777_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=SDE2qUz1RoUAX-F1hiu&ccb=7-4&oh=fd16a432bc1cfcc333b83c6064fa67eb&oe=608C379A&_nc_sid=6136e7&ig_cache_key=MjUzOTk0NzMwNTM0OTc4ODE0NQ%3D%3D.2-ccb7-4,,
2,2539753045061047552,2539753045061047552_8416493737,1616982177,1,1080.0,1205.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165304073_272259521036404_3793708675878474253_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=-Vm2yNvYBPUAX_RutcK&ccb=7-4&oh=b2937c28f81ab74f704a0332d3cbd766&oe=608CBE02&_nc_sid=6136e7&ig_cache_key=MjUzOTc1MzA0NTA2MTA0NzU1Mg%3D%3D.2-ccb7-4,,
3,2538787957881708037,2538787957881708037_8416493737,1616867130,1,853.0,1067.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/165671969_450647405993454_5010173629411705125_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=GclrB2y0aIEAX80WW3-&ccb=7-4&oh=8c2f3837a7401b6262ef8d410d825794&oe=608C4256&_nc_sid=6136e7&ig_cache_key=MjUzODc4Nzk1Nzg4MTcwODAzNw%3D%3D.2-ccb7-4,,
4,2533665713933392048,2533665713933392048_8416493737,1616256511,1,1080.0,1080.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/161836118_815006139417334_7671260442918496790_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=wTWmbWNiZ04AX9SHUIt&ccb=7-4&oh=78cdd37e152d07ed530eedad157124fe&oe=60801020&ig_cache_key=MjUzMzY2NTcxMzkzMzM5MjA0OA%3D%3D.2-ccb7-4,,
5,2531931600729835979,2531931600729835979_8416493737,1616049789,1,1080.0,1350.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/161001788_294940198875873_4049528657281482745_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=7_rz-GyHyPcAX-d-TFq&ccb=7-4&oh=98e23a18aa75c4f37b76132ded11c7ec&oe=607E1773&ig_cache_key=MjUzMTkzMTYwMDcyOTgzNTk3OQ%3D%3D.2-ccb7-4,,
6,2531095915370650426,2531095915370650426_8416493737,1615950177,2,480.0,600.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/160888959_426876348412349_4604565809503267896_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=B5T77WJMHhcAX-sKBKn&ccb=7-4&oh=5bf1aadac922ac998f54bd56e01ec3ec&oe=6080A6BD&ig_cache_key=MjUzMTA5NTkxNTM3MDY1MDQyNg%3D%3D.2-ccb7-4,,
7,2529817820847759240,2529817820847759240_8416493737,1615797806,1,828.0,1035.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/159975533_166576531856114_159943815153618244_n.jpg?se=8&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=RlTlR7JDqN4AX-ggWX-&ccb=7-4&oh=099bb462c6217e4f60204a715d3626e6&oe=607F7F3E&ig_cache_key=MjUyOTgxNzgyMDg0Nzc1OTI0MA%3D%3D.2-ccb7-4,30.901237563037,75.832730694963
8,2528250624107470175,2528250624107470175_8416493737,1615610982,8,,,,,
9,2527502793008633492,2527502793008633492_8416493737,1615521834,8,,,,,
10,2526103385541499754,2526103385541499754_8416493737,1615355126,2,480.0,600.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/p480x480/158806405_2925082344434346_1589044558400529136_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=NC5fra0NTL4AX-p3chE&ccb=7-4&oh=171eb1ae2c182486a686d88564d3d902&oe=607F07BA&ig_cache_key=MjUyNjEwMzM4NTU0MTQ5OTc1NA%3D%3D.2-ccb7-4,,
11,2525311772745222046,2525311772745222046_8416493737,1615260644,8,,,,,
12,2524785207481323057,2524785207481323057_8416493737,1615197872,1,1080.0,1350.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/158240635_184444836505310_6357408001173999569_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=sOMD7e__uUYAX_evOJT&ccb=7-4&oh=4da54144e3b6b4f2fe68181df9938acf&oe=608124A8&ig_cache_key=MjUyNDc4NTIwNzQ4MTMyMzA1Nw%3D%3D.2-ccb7-4,,
13,2524465639584603735,2524465639584603735_8416493737,1615159796,2,480.0,480.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/157789763_208024941103820_8392808175658958429_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=Ww1B-Nnp4QgAX-QVzuZ&ccb=7-4&oh=632fd360a090327e12cb109a7999306e&oe=6080BFEE&ig_cache_key=MjUyNDQ2NTYzOTU4NDYwMzczNQ%3D%3D.2-ccb7-4,,
14,2523916930005824979,2523916930005824979_8416493737,1615094365,1,1080.0,1350.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/157124760_720060302210220_226739843970673380_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=3Y_xMavSTpYAX_QAtrf&ccb=7-4&oh=7f0241655bfc1a8f21d2fbc9ae505c8d&oe=60810BB2&ig_cache_key=MjUyMzkxNjkzMDAwNTgyNDk3OQ%3D%3D.2-ccb7-4,,
15,2523132041148860544,2523132041148860544_8416493737,1615000799,1,1080.0,1350.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/156768079_459124865289805_985512898582175722_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=BRRcGH-EJ0oAX8LT0qC&ccb=7-4&oh=e76e505c4ad3f32720d63a42e75f9a5e&oe=6081517B&ig_cache_key=MjUyMzEzMjA0MTE0ODg2MDU0NA%3D%3D.2-ccb7-4,,
