,pk,id,taken_at,media_type,width,height,url,lat,lng
0,2540652389603759111,2540652389603759111_9539014780,1617089388,8,,,,31.6331,74.8656
1,2537977391554683724,2537977391554683724_9539014780,1616770503,8,,,,28.635308,77.22496
2,2537893709628147133,2537893709628147133_9539014780,1616760527,8,,,,30.901237563037,75.832730694963
3,2537060260512096772,2537060260512096772_9539014780,1616661172,1,750.0,750.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/164109477_907599283308857_6976337167041837396_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=OuabzpZlc00AX8Rz9qb&ccb=7-4&oh=66296e83fe974dbeff244fe5339c7315&oe=608E2030&_nc_sid=6136e7&ig_cache_key=MjUzNzA2MDI2MDUxMjA5Njc3Mg%3D%3D.2-ccb7-4,30.8736,75.5035
4,2535652532099079006,2535652532099079006_9539014780,1616493358,8,,,,28.635308,77.22496
5,2535638147515511877,2535638147515511877_9539014780,1616491643,1,711.0,711.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/163607963_188662166144180_2656477510123934146_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=ifNKY9RQbSMAX8nKbFU&ccb=7-4&oh=d3688487e7df67d75a6684d912364b32&oe=608D9589&_nc_sid=6136e7&ig_cache_key=MjUzNTYzODE0NzUxNTUxMTg3Nw%3D%3D.2-ccb7-4,28.635308,77.22496
6,2535573613635199389,2535573613635199389_9539014780,1616483950,8,,,,18.0498358,74.3444233
7,2534935298347238234,2534935298347238234_9539014780,1616407857,1,429.0,429.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/163170608_241788514332145_7270919706874597264_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=kjkUn9bzeiwAX8XOKjC&ccb=7-4&oh=6237e6e5d55fcb3bb0417567439e7584&oe=6083C88B&_nc_sid=6136e7&ig_cache_key=MjUzNDkzNTI5ODM0NzIzODIzNA%3D%3D.2-ccb7-4,28.4469888,77.0155978
8,2534378034762656728,2534378034762656728_9539014780,1616341426,1,1080.0,1349.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/162909858_123832576369609_2636389701205519391_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=kQ7rflM2KfIAX9Ombmb&ccb=7-4&oh=170a56646e6016ee8ee6f5fd86f2ad67&oe=60814A2C&ig_cache_key=MjUzNDM3ODAzNDc2MjY1NjcyOA%3D%3D.2-ccb7-4,30.901237563037,75.832730694963
9,2534256060359186449,2534256060359186449_9539014780,1616326886,1,1080.0,1350.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/162932110_251141036654710_2808850616473320301_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=WvBAuENP09cAX-HqqkF&ccb=7-4&oh=849567e72ef387c61003af2845c820b1&oe=6080D4B6&ig_cache_key=MjUzNDI1NjA2MDM1OTE4NjQ0OQ%3D%3D.2-ccb7-4,29.071625925235,76.385165533737
10,2533612308355599805,2533612308355599805_9539014780,1616250144,8,,,,28.479311098438,77.085796285413
11,2532874394788998670,2532874394788998670_9539014780,1616162178,1,1080.0,1350.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/161516887_289855299223134_5334744020934937766_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=yMA6ULjOZm8AX8UKKTF&ccb=7-4&oh=f3e5e595a6856b25cadbd0e8da018467&oe=60800C4F&ig_cache_key=MjUzMjg3NDM5NDc4ODk5ODY3MA%3D%3D.2-ccb7-4,29.725328423095,75.904729599301
12,2532688752889209278,2532688752889209278_9539014780,1616140048,1,1080.0,1350.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/161779917_1042606279597585_7804714168251352323_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=v-dvF9ZqH5IAX9xQ61j&ccb=7-4&oh=024f323578d94b3d5ab4fd09798369c1&oe=6082ABC9&ig_cache_key=MjUzMjY4ODc1Mjg4OTIwOTI3OA%3D%3D.2-ccb7-4,28.479311098438,77.085796285413
13,2531903380697382997,2531903380697382997_9539014780,1616046424,1,1080.0,1080.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/161788462_467643941352475_5978165300996882518_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=etxKYNgClAEAX8GQ0al&ccb=7-4&oh=cbac107213ca4d76c2dc4e75bf4fa933&oe=607F1F9E&ig_cache_key=MjUzMTkwMzM4MDY5NzM4Mjk5Nw%3D%3D.2-ccb7-4,28.39247,77.31276
14,2531276268856918126,2531276268856918126_9539014780,1615971667,8,,,,29.725328423095,75.904729599301
15,2530498383162151520,2530498383162151520_9539014780,1615878936,1,1080.0,1307.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/160391048_2766659530264565_7638598267027998337_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=lSJF_skJJBcAX-OSGKI&ccb=7-4&oh=972801354cd0f1c3f95e97a3868acf14&oe=60806037&ig_cache_key=MjUzMDQ5ODM4MzE2MjE1MTUyMA%3D%3D.2-ccb7-4,29.72272,75.90719
16,2529284835270553797,2529284835270553797_9539014780,1615734270,1,1080.0,1271.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/160558351_275364967430945_6031536899397478530_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=zpa3c4LUyrsAX__S5W_&ccb=7-4&oh=16820a06dcc22885a4c18dd3838494ac&oe=60828EE6&ig_cache_key=MjUyOTI4NDgzNTI3MDU1Mzc5Nw%3D%3D.2-ccb7-4,29.847600273333,76.66143248
17,2529194322928570945,2529194322928570945_9539014780,1615723480,1,1032.0,1193.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/159630206_2922244684688097_6250907155241238899_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=MagKji3cEpQAX8f2B6J&ccb=7-4&oh=d06ee5b454788dde77ce93f14d8429d5&oe=60828169&ig_cache_key=MjUyOTE5NDMyMjkyODU3MDk0NQ%3D%3D.2-ccb7-4,28.479311098438,77.085796285413
18,2528300218472296754,2528300218472296754_9539014780,1615616894,1,720.0,763.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/160127792_251061426756825_8161933771895626680_n.jpg?tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=14X97hLlt_QAX85A5yo&ccb=7-4&oh=bbdc51c273b00575eddcf8bf211d86be&oe=607F149E&ig_cache_key=MjUyODMwMDIxODQ3MjI5Njc1NA%3D%3D.2-ccb7-4,29.72272,75.90719
19,2527736562508445318,2527736562508445318_9539014780,1615549701,8,,,,24.33637076,86.51459759
20,2527734500840353798,2527734500840353798_9539014780,1615549455,1,1080.0,1080.0,https://instagram.fluh1-1.fna.fbcdn.net/v/t51.2885-15/e35/159280288_249396246900199_5648152593115431673_n.jpg?se=7&tp=1&_nc_ht=instagram.fluh1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=QiCEqZ2OAqsAX-I0hrP&ccb=7-4&oh=28c210d0f48736a6c45a080c9b07b4db&oe=6080107E&ig_cache_key=MjUyNzczNDUwMDg0MDM1Mzc5OA%3D%3D.2-ccb7-4,29.068416886307,77.060320959109
